id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2442647427,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-08-06T15:31:25.014Z,2022-08-06T15:31:25Z,3687886085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3687886087,194,8zz5lnxo7twq8ntb7e0qfvbv9,3687886079,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3687886089,197,11586,3687886091,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3687886077,30,"btyk45f7gmz3ck2dafpp22yg9, 6n1rvd0axpp159h9wkkd7lwfe, 4pbx40gvdmacim2n0k2qt41cl, 7t9bynn5mbmy3b0v9cduifxex, ae26s08xs4l50sfm0r6jbsley, 3bhmh2ks5ma4rqda9zff6w251, 7xw0h0pegzhoix5hb4hipj2l1, e2nb1takpw6q7f6txp8xbfkk5, bz77hr28a1yskifpuvzu8smsq, 7a7fh24imj9q522a58dsg6up5, 8zz5lnxo7twq8ntb7e0qfvbv9, aspoedbe2vkfbqaz67fc2ftg5, 5ecklu1u6t21rhh8fh4zoq2cq, 87d73x3gkomc4soukr5uweqc5, 14xb29tv90y8uataijmh03rah, eb1rih67f03kwljbge37id1ck, 39bcswfqnpa07b4afevezejo4, 8o0a3k1bbim9y2kd6ljyoiwpg",3687886081,59,"16, 28, 12, 5, 21, 3, 8, 44, 10, 70, 26, 1, 6, 7, 18, 31, 38, 45",3687886083,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442655565,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-08-06T15:36:21.189Z,2022-08-06T16:28:33Z,3687930329,59,"28, 29, 18, 3, 33, 2, 23, 10, 68, 34, 77, 7, 9, 16, 24, 36, 90, 91",3687930339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3687930319,30,"99eumu17h5sxriw5vfczvdb6d, 5ghjnuqhf7kvbwqlo8jqv0bqi, 2rn8mnhlrtrbm6du97f54zckq, 243h2yiww7rrz20i0le43jtux, 2hj88r72bbwnhqx12tv13jmqx, ew1thxs8j5mwwqh075kzsjq0a, 8thfkx6q306ewh6mlba8ztqzt, 92resfejh2m1oygglkjdk0u7d, 65js4yds9vyg0iyck8xh10frp, 58qrdtv5emnvcojqkmnpx5ffu, 9m3bkbdedtddfeix57rj2f7c9, 3m13ipluel0m6cotha7n7vrop, 28mpvdhcf5jycnaj5kxsdu1yi, 3s0tyude1pghox634ij87srft, 8g5ms6uacdkgfcbxt4crlr4ve, 973qhpd6czw3u8h0788uq9ez8, 3are60mt98ibeazgcyjvuy7tg, esmy83j1yd7qob44jombm6cd0",3687930351,197,11815,3687930335,130,13,3687930325,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3687930361,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3687930345,194,58qrdtv5emnvcojqkmnpx5ffu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442702893,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-08-06T16:20:08.446Z,2022-08-07T08:45:39Z,3688185071,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442702863,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-08-06T16:20:08.446Z,2022-08-06T16:20:08Z,3688184925,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442702907,3,1,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,50,50,2022-08-06T16:20:08.507Z,2022-08-07T09:00:39Z,3688185127,141,52.1,3688185125,140,29.9,3690705105,178,,3688185129,212,21.2,3688185131,213,3.1,3688185123,56,Back,3688185133,279,S,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442702961,4,1,1,0,2,2b57rbw94i9ohnbch52owvqtq,0,37.3,51.1,2022-08-06T16:20:11.147Z,2022-08-07T13:12:14Z,3688185349,213,0.5,3688185351,1,,3688185341,56,Center,3690705229,178,,3688185343,140,68.0,3688185339,155,,3688185345,141,75.9,3688185347,212,36.4,2hj88r72bbwnhqx12tv13jmqx,A. Tanghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442702965,3,44,1,0,5,920raeoumft3q2wmvc296uceo,1,29.4,25.8,2022-08-06T16:20:13.888Z,2022-08-07T13:12:14Z,3688185379,56,Back,3688185405,233,5,3688185381,285,,,,,,,,,,,,,,,,,e2nb1takpw6q7f6txp8xbfkk5,R. Morioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442702967,5,44,1,0,5,2b57rbw94i9ohnbch52owvqtq,0,70.6,74.2,2022-08-06T16:20:13.889Z,2022-08-07T13:12:14Z,3688185389,286,,3688185387,56,Center,3688185437,233,3,,,,,,,,,,,,,,,,9m3bkbdedtddfeix57rj2f7c9,D. Atanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442702971,4,1,1,0,5,920raeoumft3q2wmvc296uceo,1,28.8,25.2,2022-08-06T16:20:13.936Z,2022-08-07T13:12:13Z,3688185417,212,19.5,3688185415,141,16.4,3688185411,56,Back,3688185413,140,46.5,3688185419,213,6.0,3688185409,3,,3690705465,388,,,,,e2nb1takpw6q7f6txp8xbfkk5,R. Morioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442702983,5,49,1,0,6,920raeoumft3q2wmvc296uceo,1,33.6,18.6,2022-08-06T16:20:15.307Z,2022-08-07T13:12:13Z,,,,,,,,,,,,,,,,,,,,,,,,,7xw0h0pegzhoix5hb4hipj2l1,A. Gholizadeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
