id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/16/value
2497445041,1,34,16,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-01-14T18:56:23.763Z,2023-01-14T21:53:02Z,3978292401,59,"1, 14, 7, 26, 4, 22, 20, 6, 12, 93, 25, 3, 11, 16, 23, 27, 69, 46",3978292407,194,59doy2i09c6fgoh7w9m3l5tcl,3978292409,197,12041,3978292403,130,12,3978292399,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3978292405,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3978292411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978292397,30,"59doy2i09c6fgoh7w9m3l5tcl, 2s28r7f625hrj5fioyxn6apd5, 5f13ro5hgmago2bmqtzjw5ey, 8xr7cy8cy89qfxyi1n3egt82c, 6w1hily3yj7vvidhhgi4fqdat, 7u76uh9164fs8tx6zqw0icqtx, cg748vqllo7gdcz5id1gvqggl, 77wkqbxkqix367lc0ccnym86h, a375qgbjxnpucpz3hprf2fkr9, 5l6a4uxq1vzo91ugdcjq3jw7p, bhn5mxfek9byb7m8sovpizzkl, c3jbxepn3kto8fqtdewnghp05, 8jn4wq3d1ro8f89lttw4b9rzd, 5i4hanhs1igx4grc5rt6cj4oa, 9e6u0dxjpjoyfc0f87vtem85x, 55uupregn272wdtpnundb8z1m, 7ojr3svfuiak6zm6pjrc18mhh, trfphpn8we6pjhp5dm8dp2j8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497447639,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2023-01-14T19:02:23.552Z,2023-01-14T21:53:03Z,3978307651,59,"26, 77, 5, 10, 46, 2, 8, 17, 7, 14, 11, 3, 4, 15, 18, 22, 27, 34, 40",3978307657,194,a8k3ubqsi0duc3g4u5jnvcoa1,3978307659,197,3313,3978307653,130,4,3978307655,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3978307661,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978307647,30,"jflu7a5n4f3ezoj20z0kje5m, c8m4ox6n1v89qbbjq73s5ezmx, d1rgv9cgncdgr1h61phrxoc89, 14w9q2mu6yq235ic55fxs0w2y, 68vmg4qgr11vppc48hs8402jt, 5enjhxrx2jrjqtgb9wwq0baax, a8k3ubqsi0duc3g4u5jnvcoa1, ama1ibpjcfu206icrfmkgfavp, 5qpyf80if6m1o5vkwf1yt034l, 19htxtc8lmbfsv83py7hzqb8q, 9pvc7e65cfgtuipfen5zt463t, a3on8aipuz77wn25jm2r312lm, cma24hkdklib8007a42cso38q, e8iedufshdq58novt3uevsrqi, 7wh91ajt4v3w9kfdpp5hf5mmt, an7okg1fciccqu6300k8phisq, 3ypxn1nvgv8e321sq5394w3my, 7jpasvui43tnyao6ijyuuyuqc, 7zmgaactx19n77j9fl08pahyi",3978307649,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466339,2,32,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,0,0,2023-01-14T19:47:19.803Z,2023-01-14T19:47:19Z,3978414433,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466345,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2023-01-14T19:47:19.803Z,2023-01-15T07:27:38Z,3978414453,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466359,3,1,1,0,0,547zzwqbiugzphhnrhj3z5k5i,1,50,50,2023-01-14T19:47:19.825Z,2023-01-15T07:57:46Z,3978414527,212,14.6,3978414531,279,S,3978414521,56,Back,3978414523,140,36.1,3979071863,178,,3978414529,213,3.1,3978414525,141,50.7,,,,5l6a4uxq1vzo91ugdcjq3jw7p,Zinho Gano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466379,4,1,1,0,2,547zzwqbiugzphhnrhj3z5k5i,1,38.6,51,2023-01-14T19:47:22.055Z,2023-01-15T11:07:14Z,3978414595,212,22.1,3978414597,213,4.3,3978414589,56,Back,3978414591,140,29.4,3978414593,141,21.8,3979071893,178,,,,,,,,cg748vqllo7gdcz5id1gvqggl,N. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466395,5,1,1,0,5,547zzwqbiugzphhnrhj3z5k5i,0,29.3,27.5,2023-01-14T19:47:24.900Z,2023-01-15T11:07:13Z,3978414671,56,Left,3978414669,196,,3978414677,212,60.3,3978414679,213,1.0,3978414673,140,61.1,3978414667,155,,3979071937,178,,3978414675,141,100.0,7u76uh9164fs8tx6zqw0icqtx,B. Sørmo,3978414681,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466481,3,5,1,0,9,89xivtxk59uzvhdsd6miao6tm,1,41.6,-1.4,2023-01-14T19:47:29.127Z,2023-01-15T07:57:55Z,3978415129,347,,3978415131,233,6,3978415127,56,Back,,,,,,,,,,,,,,,,9pvc7e65cfgtuipfen5zt463t,M. Trésor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466397,6,5,1,0,9,547zzwqbiugzphhnrhj3z5k5i,0,58.4,101.4,2023-01-14T19:47:29.127Z,2023-01-15T07:57:56Z,3978415145,233,3,3978414683,56,Left,3978414685,347,,,,,,,,,,,,,,,,,7u76uh9164fs8tx6zqw0icqtx,B. Sørmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466529,4,1,1,0,21,89xivtxk59uzvhdsd6miao6tm,1,43.5,0,2023-01-14T19:47:41.318Z,2023-01-15T11:07:12Z,3978415371,212,19.4,3978415369,141,8.3,3978415363,107,,3978415367,140,60.9,3978415373,213,0.3,3978415365,56,Right,,,,,,,c8m4ox6n1v89qbbjq73s5ezmx,A. Preciado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466533,5,1,1,0,25,89xivtxk59uzvhdsd6miao6tm,0,67.1,21.7,2023-01-14T19:47:45.641Z,2023-01-15T11:07:11Z,3979072029,178,,3978415395,212,9.9,3978415393,141,14.6,3978415389,56,Right,3978415391,140,75.3,3978415397,213,5.8,,,,,,,9pvc7e65cfgtuipfen5zt463t,M. Trésor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466519,7,49,1,0,26,547zzwqbiugzphhnrhj3z5k5i,1,24.8,78.1,2023-01-14T19:47:46.159Z,2023-01-15T11:07:10Z,,,,,,,,,,,,,,,,,,,,,,,,,8xr7cy8cy89qfxyi1n3egt82c,N. Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466547,8,1,1,0,28,547zzwqbiugzphhnrhj3z5k5i,1,25,73.6,2023-01-14T19:47:47.828Z,2023-01-15T11:07:08Z,3978415495,56,Back,3979072065,178,,3978415497,140,32.2,3978415503,213,1.1,3978415499,141,94.1,3978415501,212,15.9,,,,,,,8xr7cy8cy89qfxyi1n3egt82c,N. Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466549,9,61,1,0,30,547zzwqbiugzphhnrhj3z5k5i,0,34.8,91.8,2023-01-14T19:47:49.803Z,2023-01-15T11:07:07Z,3978415507,56,Back,3979072107,178,,,,,,,,,,,,,,,,,,,,5f13ro5hgmago2bmqtzjw5ey,A. Fadera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497466585,6,5,1,0,31,89xivtxk59uzvhdsd6miao6tm,1,63.2,-1.4,2023-01-14T19:47:51.124Z,2023-01-15T07:58:18Z,3978415629,56,Right,3978415631,347,,3978415651,233,10,,,,,,,,,,,,,,,,19htxtc8lmbfsv83py7hzqb8q,Y. Sor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
