id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/17/value,assist,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2453857351,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-08-31T17:43:50.957Z,2022-09-01T07:49:27Z,3747549391,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3747549385,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3747549395,197,8159,3747549389,130,12,3747549383,30,"a8kdcx3797ityilpw31jaj4r9, aajft01g5yggw0is5fbfh3105, e44w6g1c1ojf854svzswpl0x5, 1i1xcco82x0ppbac6j5z59x49, 5w0ohhrm0ojscyjh3e0o8ffmd, f0ean6buvvp9l4rh1ayvnnill, 5j13tgvpwi7m3y6rjd8q08tt5, 6xam5bquregefbepxd9rwfdh, a6cke0ad2pvuyahweuch772ay, 7vv4ef3y8swdekozwaent3ai1, 39tod1iad3ztq17qveh8pwp9l, dhpxeejqzlhnm1vu0f8xjzw7p, 7a6hqi5iy91onh9u7l7t88tbe, 7lfocbri1eyj151wuqodpnnpx, ai5p5wgft6c09bjbldz9sfeac, ths196pehnfyf4f4scmqj8ph, 1a9u2g4hynrz2e93sz1evhpzp, 7bwjxz6bwt7h070dbv1l8woyy",3747549393,194,6xam5bquregefbepxd9rwfdh,3747549397,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747549387,59,"49, 2, 94, 44, 16, 26, 8, 10, 7, 13, 20, 4, 6, 9, 11, 19, 21, 59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453857731,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2022-08-31T17:44:34.287Z,2022-08-31T18:34:44Z,3747551435,197,3769,3747551431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3747551427,59,"1, 34, 21, 51, 23, 61, 16, 8, 18, 19, 24, 2, 4, 17, 22, 26, 38, 55",3747551429,130,10,3747551423,30,"r0hm6ahwcvdu57bgfi5zkslx, cyh16toqa9wxmxepg635ecgve, 5u6h6cptsad9e6n4uv76q0fl5, ecwzzrkn1snbua5yu4gehxm2, 9tc6mprxpu2rc5ptlp5ljw7h1, 8yo1cv2wlhnk1lu50cu3iul79, 5jywyphhwu9j4bphz0720kb9, cefs6b83ei4gcyuscfopw32ay, eg4piy0kcdtdopqpd3lcl5j2t, 5tsrmx2p5f3mrpwt8gpx4x979, d19yalwh3i2olvpwoi89feqjt, 1h9jdj5ag99myeoirxzh92od1, awsiaxyma4vmsrpthdyep2ket, 2hr7skflmxmpiiauz04h185ey, 70h2g33o2w7f32dtx76wji99m, 4114auk4o8n6higc918qymc4p, cmgixlole5rprw34uf80r5jp, 1v75zo1ivju4o2xwgwn9az88a",3747551425,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3747551437,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747551433,194,9tc6mprxpu2rc5ptlp5ljw7h1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453875951,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-08-31T18:30:09.410Z,2022-08-31T18:30:09Z,3747658983,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453875955,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2022-08-31T18:30:09.410Z,2022-09-01T01:56:25Z,3747658989,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453875987,3,1,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,49.4,50.7,2022-08-31T18:30:09.488Z,2022-09-01T06:43:22Z,3747659139,56,Back,3749056729,178,,3747659147,213,3.1,3747659145,212,24.6,3747659141,140,26.1,3747659143,141,54.0,3747659149,279,S,,,,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876025,4,1,1,0,2,7zibyotq1x1hq6pmgibhr0e6s,1,29,51.3,2022-08-31T18:30:11.998Z,2022-09-01T10:59:21Z,3747659351,141,25.2,3749056781,178,,3747659347,56,Back,3747659353,212,17.9,3747659357,213,4.6,3747659349,140,26.6,,,,,,,9tc6mprxpu2rc5ptlp5ljw7h1,T. Alderweireld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876045,5,1,1,0,5,7zibyotq1x1hq6pmgibhr0e6s,1,31,16.2,2022-08-31T18:30:14.848Z,2022-09-01T10:59:20Z,3747659457,140,32.2,3749056853,178,,3747659463,213,4.9,3747659459,141,6.2,3747659455,56,Back,3747659461,212,6.9,,,,,,,8yo1cv2wlhnk1lu50cu3iul79,Dinis Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876073,6,1,1,0,7,7zibyotq1x1hq6pmgibhr0e6s,1,37.5,3.5,2022-08-31T18:30:16.450Z,2022-09-01T10:59:19Z,3747659635,140,21.5,3747659639,212,20.2,3747659633,56,Back,3749056881,178,,3747659641,213,2.5,3747659637,141,20.1,,,,,,,cyh16toqa9wxmxepg635ecgve,J. Bataille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876113,7,1,1,0,9,7zibyotq1x1hq6pmgibhr0e6s,1,24.4,21,2022-08-31T18:30:18.730Z,2022-09-01T10:59:19Z,3747659859,140,20.6,3747659863,212,13.1,3747659861,141,39.4,3747659855,56,Back,3747659865,213,1.9,3749056943,178,,,,,,,,8yo1cv2wlhnk1lu50cu3iul79,Dinis Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876139,8,1,1,0,12,7zibyotq1x1hq6pmgibhr0e6s,1,20.4,47.3,2022-08-31T18:30:21.577Z,2022-09-01T10:59:18Z,3747660023,213,1.3,3747660019,141,83.0,3747660015,56,Back,3747660021,212,24.9,3747660017,140,25.6,3749057137,178,,,,,,,,9tc6mprxpu2rc5ptlp5ljw7h1,T. Alderweireld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
