id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/11/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2499765627,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-01-22T16:32:50.414Z,2023-01-22T16:36:49Z,3990539469,130,12,3990539463,30,"btyk45f7gmz3ck2dafpp22yg9, 6n1rvd0axpp159h9wkkd7lwfe, 4pbx40gvdmacim2n0k2qt41cl, 27rm84dcrfa7ypfmpgbe37cic, c4brcsqfli5mds4vhma627yl1, 7hi9yit8aifyojt7i0kg69as5, 14xb29tv90y8uataijmh03rah, 5ecklu1u6t21rhh8fh4zoq2cq, 87d73x3gkomc4soukr5uweqc5, bz77hr28a1yskifpuvzu8smsq, 8zz5lnxo7twq8ntb7e0qfvbv9, aspoedbe2vkfbqaz67fc2ftg5, 3bhmh2ks5ma4rqda9zff6w251, dbtjmpfrscwqv0xvqk3krqa5l, d7ml58kwwpetvnw46qja9ru5m, 39bcswfqnpa07b4afevezejo4, e2nb1takpw6q7f6txp8xbfkk5, 72xzl0yjdetvqp2n1pmzyqvze",3990539477,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990539473,194,8zz5lnxo7twq8ntb7e0qfvbv9,3990539467,59,"16, 28, 12, 32, 25, 2, 18, 6, 7, 10, 26, 1, 3, 4, 15, 38, 44, 99",3990539475,197,9121,3990539471,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3990539465,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499774617,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-01-22T16:45:33.876Z,2023-01-23T10:08:53Z,3990586965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3990586971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990586955,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3990586953,30,"byfrgpc6tgz8lto1gor03y5sl, acx78ftnm61hm01wpmme77hbe, 16o074zua15qkk7x0me7gi1w4, mkq18lpl3d44wxq974mci5wq, bgzvhtk50gvmq6noheadmc34l, l6y4o9t2b0jxaxo85oztok45, ecnh65kkhku5mdkr3il4fl6tx, x3g0yyxs0j4o8fxphxtf0st1, 32eyq4xvy8s1ng11jnavvh32t, 8mkkchf0ysdf78r0lncd73klw, 7ew7g18qo649t8ld44omgib55, 5asv6uc3a4xxsr9u30kdfc0ve, 9mlj7fxon5zy1qmktvvcwjrl6, 4f8xb5sbyksacxmifi375h7qi, 3q6jhwert6ah0ll2wq69k93ah, 13d7ao0j091449ia61cuut87p, 6tvnsmtj9mma96e8famksevv9, cn6uwymow3ewbnr6niqumao0k",3990586963,130,4,3990586967,194,x3g0yyxs0j4o8fxphxtf0st1,3990586969,197,16049,3990586959,59,"22, 17, 14, 15, 6, 44, 27, 20, 70, 32, 10, 7, 9, 19, 21, 26, 77, 94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795347,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-01-22T17:30:23.798Z,2023-01-22T17:30:26Z,3990697835,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795341,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-01-22T17:30:23.798Z,2023-01-22T19:50:39Z,3990697803,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795355,3,1,1,0,0,920raeoumft3q2wmvc296uceo,1,50,49.5,2023-01-22T17:30:23.875Z,2023-01-23T07:13:04Z,3990697883,56,Back,3990697887,141,49.3,3990697885,140,28.8,3991620005,178,,3990697893,279,S,3990697889,212,22.3,3990697891,213,3.1,,,,14xb29tv90y8uataijmh03rah,D. Heymans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795377,4,1,1,0,1,920raeoumft3q2wmvc296uceo,1,41.3,51.1,2023-01-22T17:30:25.522Z,2023-01-23T12:41:43Z,3990697987,140,39.9,3990697993,213,1.7,3990697989,141,69.0,3990697985,56,Back,3990697991,212,12.3,3991620147,178,,,,,,,,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795385,5,1,1,0,3,920raeoumft3q2wmvc296uceo,1,41.4,70,2023-01-22T17:30:27.418Z,2023-01-23T12:41:42Z,3990698033,141,67.8,3990698037,213,6.0,3990698031,140,45.6,3990698035,212,4.7,3990698029,56,Back,3991620173,178,,,,,,,,5ecklu1u6t21rhh8fh4zoq2cq,A. Zorgane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795421,6,1,1,0,4,920raeoumft3q2wmvc296uceo,1,49.2,70.2,2023-01-22T17:30:28.224Z,2023-01-23T12:41:41Z,3990698199,212,9.6,3990698201,213,2.7,3990698193,56,Back,3990698197,141,76.6,3991620199,178,,3990698195,140,41.1,,,,,,,87d73x3gkomc4soukr5uweqc5,I. Mbenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795443,7,1,1,0,9,920raeoumft3q2wmvc296uceo,1,48.5,76.5,2023-01-22T17:30:33.117Z,2023-01-23T12:41:39Z,3990698287,56,Center,3991620241,178,,3990698293,212,11.6,3990698289,140,56.0,3990698291,141,63.9,3990698295,213,5.5,,,,,,,5ecklu1u6t21rhh8fh4zoq2cq,A. Zorgane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795471,8,1,1,0,11,920raeoumft3q2wmvc296uceo,1,60.4,59.6,2023-01-22T17:30:35.249Z,2023-01-23T12:41:38Z,3990698433,140,52.0,3990698437,212,22.5,3990698439,213,4.3,3990698431,56,Center,3990698435,141,29.1,3991620281,178,,,,,,,,bz77hr28a1yskifpuvzu8smsq,Y. Badji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795509,9,1,1,0,14,920raeoumft3q2wmvc296uceo,1,58,22.8,2023-01-22T17:30:38.331Z,2023-01-23T12:41:37Z,3991620363,178,,3990698639,56,Right,3990698645,212,13.5,3990698641,140,65.6,3990698647,213,5.3,3990698643,141,6.8,,,,,,,7hi9yit8aifyojt7i0kg69as5,J. Bager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795515,10,1,1,0,17,920raeoumft3q2wmvc296uceo,0,72.4,4.3,2023-01-22T17:30:41.699Z,2023-01-23T12:41:36Z,3990698683,212,4.7,3990699081,236,,3990699083,233,3,3990698681,141,5.9,3990699087,286,,3990698685,213,2.9,3990698679,140,68.0,3991620475,178,,6n1rvd0axpp159h9wkkd7lwfe,K. Nkuba,3990698677,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795517,3,74,1,0,17,1oyb7oym5nwzny8vxf03szd2h,1,27.4,96.7,2023-01-22T17:30:41.740Z,2023-01-23T12:41:35Z,3991620515,178,,3990698687,56,Back,3990698689,285,,3990699103,233,10,,,,,,,,,,,,,16o074zua15qkk7x0me7gi1w4,B. Meijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499795541,11,1,1,0,17,920raeoumft3q2wmvc296uceo,1,72.5,4.2,2023-01-22T17:30:41.777Z,2023-01-23T12:41:35Z,3990698831,56,Right,3990698835,141,4.1,3990698833,140,84.7,3990698837,212,12.8,3991620613,178,,3990698839,213,6.3,,,,,,,6n1rvd0axpp159h9wkkd7lwfe,K. Nkuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
