id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2531058087,1,34,16,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-04-09T13:09:35.647Z,2023-04-09T15:12:08Z,4176535777,197,5434,4176535773,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4176535763,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4176535767,59,"1, 41, 34, 4, 66, 5, 17, 28, 10, 36, 11, 8, 9, 14, 21, 22, 47, 76",4176535779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176535759,30,"d5ecnjd6h89iepxrvrlfn97ft, 84l7r4ud9ipuf9vc3ib5b4l0q, a0ecz4nlxrr62dcwixtmjiwyy, 52qemp1py9mm9unjvxaphv209, 5iuagsqdiiaadb5yuf7r4vzmc, bmbn4q2uorkgosgaig6migpux, 3l1v52usaf9mmi9dwowdwv3e, 7weuixp1j81ga9pjhouf2h2hh, 2xba9p5cocj599cltnabjes45, 8d0ffyx2qnnp0limf5aou92ei, ez9zc94k1nj4qxjf2hrvj5dgq, enyx6hc9mfglu3w2robv9hd9m, 1gzgkjei16r4lt2fvcedy1jvt, 8jc7tw0nw37trgyli0oyz1soa, 21ipfd9gxws9vqpw9002o8ve1, 2jhi0lbbo65dsfv4ho9pmlgix, 7c7hrep13zkuuuljs0b7yplas, 21d3mvqtl1ttuyvnl3hrsz6z8",4176535771,130,18,4176535775,194,7weuixp1j81ga9pjhouf2h2hh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531058457,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-04-09T13:09:53.363Z,2023-04-09T13:20:40Z,4176537579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4176537585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4176537581,59,"1, 2, 34, 48, 23, 51, 11, 27, 18, 14, 10, 7, 8, 22, 26, 32, 33, 52",4176537589,197,3769,4176537577,30,"r0hm6ahwcvdu57bgfi5zkslx, 1h9jdj5ag99myeoirxzh92od1, cyh16toqa9wxmxepg635ecgve, a7ip51ik4rkqcvgdsh64ln09g, 9tc6mprxpu2rc5ptlp5ljw7h1, ecwzzrkn1snbua5yu4gehxm2, cl2mi40x3gjsan1iifpbwec4p, cjf412x9sg56vos0jkj85k3ys, eg4piy0kcdtdopqpd3lcl5j2t, 9tgbdheyuooa8cfz06l577end, dcjf15sf1dbb6w17foz25uuei, 1rqpbl0ivf8qwdvi6gqpgxz9x, cefs6b83ei4gcyuscfopw32ay, 70h2g33o2w7f32dtx76wji99m, 4114auk4o8n6higc918qymc4p, 2tsn78gg5xyw81srfdn05hw8a, 9gt3izdka3a0nh7r9uazkueqc, 783gcbge6tm3dosc9jou2jqc4",4176537591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176537583,130,8,4176537587,194,9tc6mprxpu2rc5ptlp5ljw7h1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531103235,2,32,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-04-09T14:03:14.863Z,2023-04-09T14:03:18Z,4176771819,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531103223,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-04-09T14:03:14.863Z,2023-04-09T23:16:47Z,4176771767,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531103247,3,1,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,50.1,51.1,2023-04-09T14:03:14.886Z,2023-04-10T00:38:52Z,4176771877,279,S,4176771869,140,33.9,4176771873,212,17.0,4176771871,141,50.9,4176771875,213,3.1,4178563507,178,,4176771867,56,Back,,,,8d0ffyx2qnnp0limf5aou92ei,A. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531103321,4,1,1,0,4,3ix9om1svhd6obl0mbk1otgop,0,29.7,41.1,2023-04-09T14:03:19.147Z,2023-04-10T07:38:26Z,4176772259,1,,4176772255,212,55.0,4176772251,140,79.8,4176772249,56,Right,4176772257,213,6.0,4178564587,178,,4176772253,141,17.7,4176772247,155,,52qemp1py9mm9unjvxaphv209,J. Daland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531103313,3,44,1,0,7,7zibyotq1x1hq6pmgibhr0e6s,1,19,81.3,2023-04-09T14:03:22.596Z,2023-04-10T07:38:26Z,4176772385,233,5,4176772219,285,,4176772217,56,Back,,,,,,,,,,,,,,,,cyh16toqa9wxmxepg635ecgve,J. Bataille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531103331,5,44,1,0,7,3ix9om1svhd6obl0mbk1otgop,0,81,18.7,2023-04-09T14:03:22.597Z,2023-04-10T07:38:25Z,4176772293,286,,4176772413,233,3,4176772291,56,Right,,,,,,,,,,,,,,,,bmbn4q2uorkgosgaig6migpux,B. Popović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531103339,4,1,1,0,7,7zibyotq1x1hq6pmgibhr0e6s,1,18.7,81.5,2023-04-09T14:03:22.608Z,2023-04-10T07:38:25Z,4178564825,388,,4176772337,141,63.1,4176772335,140,15.7,4176772341,213,4.5,4176997231,3,,4176772339,212,12.9,4176772333,56,Back,,,,cyh16toqa9wxmxepg635ecgve,J. Bataille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531103357,5,1,1,0,9,7zibyotq1x1hq6pmgibhr0e6s,0,15.6,70.5,2023-04-09T14:03:24.697Z,2023-04-10T07:38:24Z,4176772479,141,76.9,4176772481,212,10.7,4176772475,56,Back,4178565059,178,,4176772473,3,,4176772477,140,24.9,4176772483,213,0.4,,,,cjf412x9sg56vos0jkj85k3ys,M. Keita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
