id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value
2504336377,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-02-05T11:44:05.403Z,2023-02-05T14:25:41Z,4014445757,130,8,4014445749,30,"r0hm6ahwcvdu57bgfi5zkslx, 1h9jdj5ag99myeoirxzh92od1, cyh16toqa9wxmxepg635ecgve, cjf412x9sg56vos0jkj85k3ys, 9tc6mprxpu2rc5ptlp5ljw7h1, ecwzzrkn1snbua5yu4gehxm2, cl2mi40x3gjsan1iifpbwec4p, a7ip51ik4rkqcvgdsh64ln09g, eg4piy0kcdtdopqpd3lcl5j2t, d19yalwh3i2olvpwoi89feqjt, dcjf15sf1dbb6w17foz25uuei, 1rqpbl0ivf8qwdvi6gqpgxz9x, 70h2g33o2w7f32dtx76wji99m, 4114auk4o8n6higc918qymc4p, 2tsn78gg5xyw81srfdn05hw8a, 9gt3izdka3a0nh7r9uazkueqc, 783gcbge6tm3dosc9jou2jqc4, 1v75zo1ivju4o2xwgwn9az88a",4014445765,197,3769,4014445763,194,9tc6mprxpu2rc5ptlp5ljw7h1,4014445759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4014445767,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014445755,59,"1, 2, 34, 27, 23, 51, 11, 48, 18, 24, 10, 7, 22, 26, 32, 33, 52, 55",4014445753,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504339439,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-02-05T11:50:30.103Z,2023-02-06T15:23:31Z,4014462481,197,16049,4014462477,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4014462469,30,"byfrgpc6tgz8lto1gor03y5sl, bgzvhtk50gvmq6noheadmc34l, 16o074zua15qkk7x0me7gi1w4, 13d7ao0j091449ia61cuut87p, 9ajh8tm9rl0i2sa09c9dfu0h5, l6y4o9t2b0jxaxo85oztok45, acx78ftnm61hm01wpmme77hbe, mkq18lpl3d44wxq974mci5wq, 7ew7g18qo649t8ld44omgib55, x3g0yyxs0j4o8fxphxtf0st1, 4f8xb5sbyksacxmifi375h7qi, 3q6jhwert6ah0ll2wq69k93ah, ecnh65kkhku5mdkr3il4fl6tx, 99jqn2osue4tyo1l7yb93s639, 8mkkchf0ysdf78r0lncd73klw, 32eyq4xvy8s1ng11jnavvh32t, 6tvnsmtj9mma96e8famksevv9, cn6uwymow3ewbnr6niqumao0k",4014462471,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4014462473,59,"22, 6, 14, 26, 5, 44, 17, 15, 10, 20, 19, 21, 27, 28, 32, 70, 77, 94",4014462475,130,8,4014462479,194,x3g0yyxs0j4o8fxphxtf0st1,4014462483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504361725,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-02-05T12:30:07.850Z,2023-02-06T02:04:42Z,4014578689,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504361735,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-02-05T12:30:07.850Z,2023-02-05T12:30:10Z,4014578729,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504361755,3,1,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,49.7,50.1,2023-02-05T12:30:07.885Z,2023-02-06T05:13:22Z,4016914485,178,,4014578847,140,44.3,4014578853,213,2.7,4014578855,279,S,4014578849,141,54.2,4014578851,212,6.3,4014578845,56,Back,,,,7ew7g18qo649t8ld44omgib55,N. Lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504361769,4,1,1,0,2,1oyb7oym5nwzny8vxf03szd2h,1,44.4,56.2,2023-02-05T12:30:10.096Z,2023-02-06T10:51:38Z,4014578949,140,51.7,4014578951,141,46.0,4016914547,178,,4014578947,56,Center,4014578953,212,10.3,4014578955,213,5.5,,,,,,,mkq18lpl3d44wxq974mci5wq,R. Onyedika,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504361785,5,1,1,0,3,1oyb7oym5nwzny8vxf03szd2h,0,52.8,45.4,2023-02-05T12:30:10.886Z,2023-02-06T10:51:38Z,4014579017,212,20.0,4014579011,56,Back,4014579013,140,46.7,4014579015,141,73.3,4016914625,178,,4014579019,213,1.9,,,,,,,7ew7g18qo649t8ld44omgib55,N. Lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504361809,3,3,1,0,5,7zibyotq1x1hq6pmgibhr0e6s,1,49.5,30.6,2023-02-05T12:30:13.281Z,2023-02-06T10:51:37Z,4014579135,56,Back,4014579191,233,6,4016914707,178,,4016532833,465,,4014579137,286,,,,,,,,,,,cl2mi40x3gjsan1iifpbwec4p,A. Muja,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504361807,6,45,1,0,5,1oyb7oym5nwzny8vxf03szd2h,0,50.5,69.4,2023-02-05T12:30:13.281Z,2023-02-06T10:51:38Z,4014579133,285,,4014579203,233,3,4014579129,56,Center,,,,,,,,,,,,,,,,16o074zua15qkk7x0me7gi1w4,B. Meijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504361815,4,49,1,0,8,7zibyotq1x1hq6pmgibhr0e6s,1,61.5,20.3,2023-02-05T12:30:16.438Z,2023-02-06T10:51:37Z,,,,,,,,,,,,,,,,,,,,,,,,,cl2mi40x3gjsan1iifpbwec4p,A. Muja,,,,,,,,,,,,,,,,,,,,,,,,,,,,
