id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2497637917,1,34,16,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-01-15T11:39:07.377Z,2023-01-16T11:21:14Z,3979310663,194,78fx1xqqtcqm2g4h1dj8beml1,3979310667,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979310661,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3979310657,59,"16, 62, 54, 21, 56, 14, 18, 61, 99, 10, 7, 5, 25, 27, 29, 30, 32, 76",3979310653,30,"3wwi5vf2l1qbz7e5zdjoy8yga, b3vvxolwxcukqk76hb4scvh79, 8q8qxzmb9j1vntg5llyqa35uy, 143brmwsfow8o0svtdq98tiw9, 88nmn961vtb3bnt9v9rye1h0q, 78fx1xqqtcqm2g4h1dj8beml1, 8f77xyqg4womglj1o8udq77qh, 7je01bs3a4q6c2gd02ee6da3u, 7snt4uu7f2d0g7utjm2xfis8a, bu7cw3305zs2u7uj2ed5t867e, 5don85s7097g5df42m429b8ix, 6rarodhofviwmh5jd0ly8lp4a, ev9ql3x07q7totbxl3gvlidat, dwnd8j9ok6ncbp69gmchw953o, 8lj9hc8u1351oczzu81mryluc, 3z37ancgteqhbhpygl0brzzdh, drjbms71w0kt1pidq8q17h05w, rao8xq2rg3beoc418zv1gzro",3979310659,130,4,3979310665,197,6564,3979310655,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497639443,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-01-15T11:42:04.612Z,2023-01-16T11:20:16Z,3979318511,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979318499,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3979318509,197,16049,3979318503,130,8,3979318497,30,"byfrgpc6tgz8lto1gor03y5sl, 6tvnsmtj9mma96e8famksevv9, 16o074zua15qkk7x0me7gi1w4, ecnh65kkhku5mdkr3il4fl6tx, l6y4o9t2b0jxaxo85oztok45, bgzvhtk50gvmq6noheadmc34l, acx78ftnm61hm01wpmme77hbe, mkq18lpl3d44wxq974mci5wq, 32eyq4xvy8s1ng11jnavvh32t, x3g0yyxs0j4o8fxphxtf0st1, 7ew7g18qo649t8ld44omgib55, 3qbl0ps3ms998s0apmpkre3md, 9mlj7fxon5zy1qmktvvcwjrl6, 4f8xb5sbyksacxmifi375h7qi, 13d7ao0j091449ia61cuut87p, 99jqn2osue4tyo1l7yb93s639, 8mkkchf0ysdf78r0lncd73klw, 398isvyux7zpjiwa2hzsxyc16",3979318501,59,"22, 77, 14, 27, 44, 6, 17, 15, 70, 20, 10, 3, 9, 19, 26, 28, 32, 91",3979318507,194,x3g0yyxs0j4o8fxphxtf0st1,3979318505,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497661533,2,32,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-01-15T12:32:05.290Z,2023-01-15T12:32:05Z,3979437595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497661539,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-01-15T12:32:05.290Z,2023-01-15T22:36:07Z,3979437613,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497661561,3,1,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,49.9,49.7,2023-01-15T12:32:05.376Z,2023-01-16T04:56:19Z,3979437725,212,12.8,3980988771,178,,3979437723,141,49.0,3979437727,213,3.2,3979437721,140,37.7,3979437729,279,S,3979437719,56,Back,,,,7snt4uu7f2d0g7utjm2xfis8a,Fábio Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497661573,4,1,1,0,2,6vyr13j6kbwdtxjwm1m4m8nu2,1,38.1,51.6,2023-01-15T12:32:07.686Z,2023-01-16T10:28:58Z,3979437779,213,4.3,3979437777,212,16.6,3979437771,56,Back,3979437775,141,28.8,3979437773,140,32.4,3980989133,178,,,,,,,,143brmwsfow8o0svtdq98tiw9,A. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497661601,5,1,1,0,4,6vyr13j6kbwdtxjwm1m4m8nu2,1,28.7,34.6,2023-01-15T12:32:10.288Z,2023-01-16T10:28:57Z,3980989171,178,,3979437919,141,68.4,3979437921,212,23.2,3979437923,213,1.7,3979437917,140,25.6,3979437915,56,Back,,,,,,,88nmn961vtb3bnt9v9rye1h0q,Z. Debast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497661631,6,1,1,0,8,6vyr13j6kbwdtxjwm1m4m8nu2,1,25.7,76.8,2023-01-15T12:32:13.864Z,2023-01-16T10:28:56Z,3979438059,141,49.4,3979438057,140,9.1,3979438063,213,4.0,3979438061,212,25.5,3979438055,56,Back,3980989215,178,,,,,,,,78fx1xqqtcqm2g4h1dj8beml1,J. Vertonghen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497661679,7,1,1,0,12,6vyr13j6kbwdtxjwm1m4m8nu2,1,10.5,48.7,2023-01-15T12:32:18.160Z,2023-01-16T10:28:55Z,3979438267,141,25.2,3979438265,140,4.1,3979438263,56,Back,3980989251,178,,3979438269,212,17.3,3979438271,213,4.3,,,,,,,3wwi5vf2l1qbz7e5zdjoy8yga,B. Verbruggen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497661703,8,1,1,0,16,6vyr13j6kbwdtxjwm1m4m8nu2,1,11,22,2023-01-15T12:32:21.658Z,2023-01-16T10:28:53Z,3980424531,1,,3979438381,213,0.3,3979438375,140,44.9,3980989279,178,,3979438379,212,36.9,3979438377,141,36.1,3979438373,56,Back,,,,88nmn961vtb3bnt9v9rye1h0q,Z. Debast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
