id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,keyPass,qualifier/11/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2526433737,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-04-01T13:02:03.294Z,2023-04-01T13:51:05Z,4152010309,30,"6yegi163rq5fsloppfubi3sh5, 7hdyeeejo7h9kvqt7x8jlrlec, 6vh5n14h1knmx7yut84q2f2l1, eb1rih67f03kwljbge37id1ck, 6fdwd71dx2qu7uzzs3ozm9x7u, 5n522jpifzyf9qu0z41kuf7my, 4o8lvm1ffxrywogokfztc6sb9, 5zdapzrncz7vch3yrgftfp5g, 9n5wjnjloy0c2euwhsu9u1y39, 5np1ksd9qkmc511ihzvikhy0a, 3pr51w08wkrl03rpafmsouj85, bf22is04tealb92h075c7u356, 93weoj4q60xtxdntko7hobg4q, 8b95khn8h8qz3y4u4coajs5at, eczyz1c2lgqelhp13xiqb0vhm, 6437iwpplyfh71o9b7uxdylii, bcfayigqu8oygm1xvpgl9akt1, 6t7ezta9mftdtk20pgxa30r85",4152010323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152010317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4152010321,197,13968,4152010313,59,"1, 23, 30, 21, 4, 44, 33, 25, 20, 18, 70, 5, 9, 10, 16, 17, 29, 77",4152010311,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4152010315,130,13,4152010319,194,6vh5n14h1knmx7yut84q2f2l1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526450403,1,34,16,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-04-01T13:22:11.959Z,2023-04-01T14:11:52Z,4152101679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152101675,194,7weuixp1j81ga9pjhouf2h2hh,4152101671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4152101667,130,13,4152101659,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4152101677,197,6718,4152101663,59,"1, 41, 23, 4, 66, 5, 17, 28, 36, 34, 11, 8, 10, 14, 21, 22, 24, 47",4152101655,30,"d5ecnjd6h89iepxrvrlfn97ft, 84l7r4ud9ipuf9vc3ib5b4l0q, 5wn1xudozb4s78x0m8ch7vn8q, 52qemp1py9mm9unjvxaphv209, 5iuagsqdiiaadb5yuf7r4vzmc, bmbn4q2uorkgosgaig6migpux, 3l1v52usaf9mmi9dwowdwv3e, 7weuixp1j81ga9pjhouf2h2hh, 8d0ffyx2qnnp0limf5aou92ei, a0ecz4nlxrr62dcwixtmjiwyy, ez9zc94k1nj4qxjf2hrvj5dgq, enyx6hc9mfglu3w2robv9hd9m, 2xba9p5cocj599cltnabjes45, 8jc7tw0nw37trgyli0oyz1soa, 21ipfd9gxws9vqpw9002o8ve1, 2jhi0lbbo65dsfv4ho9pmlgix, 8am2h5qc7296fima2r4wam63u, 7c7hrep13zkuuuljs0b7yplas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484975,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-04-01T14:00:35.155Z,2023-04-01T14:00:35Z,4152274373,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526485163,2,32,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-04-01T14:00:35.155Z,2023-04-02T04:01:15Z,4152275187,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486197,9,1,1,0,0,1uk609mhtsfhokhaewjapb26,1,50,48.4,2023-04-01T14:00:35.245Z,2023-04-02T09:44:29Z,4152291985,56,Back,4156087705,178,,4152291991,141,45.8,4152291989,140,36.0,4152291993,212,14.8,4152291995,213,3.3,,,,,,,3pr51w08wkrl03rpafmsouj85,M. Bruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526485325,3,1,1,0,3,1uk609mhtsfhokhaewjapb26,0,35.6,50.8,2023-04-01T14:00:38.165Z,2023-04-02T09:44:28Z,4152275851,56,Left,4152275853,140,100.0,4152275857,212,72.4,4156087833,178,,4152275849,155,,4152275855,141,84.5,4152275861,1,,4152275859,213,0.3,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526485371,3,5,1,0,8,3ix9om1svhd6obl0mbk1otgop,1,-1.2,15.6,2023-04-01T14:00:44.040Z,2023-04-02T04:15:06Z,4152276017,56,Back,4152276087,233,4,4152276019,346,,,,,,,,,,,,,,,,,8d0ffyx2qnnp0limf5aou92ei,A. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526485331,4,5,1,0,8,1uk609mhtsfhokhaewjapb26,0,101.2,84.4,2023-04-01T14:00:44.040Z,2023-04-02T04:15:06Z,4152276119,233,3,4152275879,56,Left,4152275881,346,,,,,,,,,,,,,,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526485933,4,1,1,0,27,3ix9om1svhd6obl0mbk1otgop,1,4.8,41.3,2023-04-01T14:01:03.149Z,2023-04-02T04:15:12Z,4152278737,124,,4152278749,212,55.6,4152278757,1,,4152278753,213,6.2,4152278743,141,31.3,4152278765,74,,4152278739,56,Center,4152278741,140,57.4,d5ecnjd6h89iepxrvrlfn97ft,R. Majecki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526485941,5,44,1,0,31,3ix9om1svhd6obl0mbk1otgop,1,55.3,21.9,2023-04-01T14:01:06.746Z,2023-04-02T09:53:49Z,4152278861,233,5,4152278799,56,Center,4152278805,286,,,,,,,,,,,,,,,,,3l1v52usaf9mmi9dwowdwv3e,A. Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
