id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/11/value,qualifier/13/value,qualifier/16/value
2478904917,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-10-29T15:33:14.539Z,2022-10-30T15:35:24Z,3880641563,30,"2unnytu55d7lvws7h3r86yhud, 5lbzx05vthw9nbhpmzw5e1562, 6vh5n14h1knmx7yut84q2f2l1, 6fdwd71dx2qu7uzzs3ozm9x7u, 54y1k9ysgdtdvv9ss72ruxiad, ezb815xw3yx3r3ey51zovop91, esrwjtmubaz21j01ndpollrrp, bd4cjnn4k45ry7ci5tsaawf10, 9n5wjnjloy0c2euwhsu9u1y39, 6eg8vaxpqsd6cyh736h7bq4x6, 8yy638bmdymhzkbrvho3qezft, 6yegi163rq5fsloppfubi3sh5, 93weoj4q60xtxdntko7hobg4q, 2jdqgegksd1hreeqf4phdnsru, 5zdapzrncz7vch3yrgftfp5g, 4o8lvm1ffxrywogokfztc6sb9, 5n522jpifzyf9qu0z41kuf7my, 3pr51w08wkrl03rpafmsouj85",3880641571,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3880641569,130,4,3880641573,194,6vh5n14h1knmx7yut84q2f2l1,3880641567,59,"31, 6, 30, 4, 24, 66, 26, 12, 20, 7, 22, 1, 9, 11, 25, 33, 44, 70",3880641565,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3880641577,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880641575,197,8054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478912929,1,34,16,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2022-10-29T15:37:21.386Z,2022-10-29T16:13:35Z,3880685415,59,"1, 34, 23, 4, 66, 5, 22, 14, 10, 9, 36, 7, 8, 11, 17, 19, 21, 28",3880685417,130,18,3880685409,30,"d5ecnjd6h89iepxrvrlfn97ft, a0ecz4nlxrr62dcwixtmjiwyy, 5wn1xudozb4s78x0m8ch7vn8q, 52qemp1py9mm9unjvxaphv209, 5iuagsqdiiaadb5yuf7r4vzmc, bmbn4q2uorkgosgaig6migpux, 2jhi0lbbo65dsfv4ho9pmlgix, 8jc7tw0nw37trgyli0oyz1soa, 2xba9p5cocj599cltnabjes45, 1gzgkjei16r4lt2fvcedy1jvt, 8d0ffyx2qnnp0limf5aou92ei, b13ly8cuyvgraih4y0wxuami2, enyx6hc9mfglu3w2robv9hd9m, ez9zc94k1nj4qxjf2hrvj5dgq, 3l1v52usaf9mmi9dwowdwv3e, 1e7u0otkuyc81nhumjkcrvmd, 21ipfd9gxws9vqpw9002o8ve1, 7weuixp1j81ga9pjhouf2h2hh",3880685425,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880685423,197,5434,3880685421,194,8jc7tw0nw37trgyli0oyz1soa,3880685419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3880685413,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963317,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-10-29T16:15:16.477Z,2022-10-30T04:17:38Z,3880957637,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963331,2,32,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2022-10-29T16:15:16.477Z,2022-10-29T16:15:17Z,3880957699,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963377,3,1,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,50.3,49.7,2022-10-29T16:15:16.547Z,2022-10-30T06:11:11Z,3880957923,140,29.4,3882532305,178,,3880957929,213,3.1,3880957921,56,Back,3880957931,279,S,3880957925,141,50.4,3880957927,212,22.0,,,,1gzgkjei16r4lt2fvcedy1jvt,K. Denkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963407,4,1,1,0,3,3ix9om1svhd6obl0mbk1otgop,0,33.6,43.3,2022-10-29T16:15:20.253Z,2022-10-30T12:38:54Z,3880958087,141,20.6,3880958085,140,77.9,3880958093,1,,3882532441,178,,3880958091,213,6.0,3880958081,155,,3880958083,56,Right,3880958089,212,49.0,52qemp1py9mm9unjvxaphv209,J. Daland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963427,3,44,1,0,6,1uk609mhtsfhokhaewjapb26,1,19.3,81.4,2022-10-29T16:15:23.001Z,2022-10-30T12:38:54Z,3880958223,285,,3880958221,56,Back,3880958265,233,5,,,,,,,,,,,,,,,,ezb815xw3yx3r3ey51zovop91,A. Radovanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963409,5,44,1,0,6,3ix9om1svhd6obl0mbk1otgop,0,80.7,18.6,2022-10-29T16:15:23.002Z,2022-10-30T12:38:53Z,3880958099,56,Right,3880958301,233,3,3880958101,286,,,,,,,,,,,,,,,,,a0ecz4nlxrr62dcwixtmjiwyy,T. Somers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963453,4,1,1,0,6,1uk609mhtsfhokhaewjapb26,0,20.2,80.9,2022-10-29T16:15:23.066Z,2022-10-30T12:38:53Z,3882532675,388,,3880958355,212,8.3,3880958357,213,0.4,3880958347,3,,3880958349,56,Back,3880958351,140,27.5,3880958353,141,85.6,,,,ezb815xw3yx3r3ey51zovop91,A. Radovanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963413,6,61,1,0,6,3ix9om1svhd6obl0mbk1otgop,1,81.1,18.6,2022-10-29T16:15:23.152Z,2022-10-30T12:38:53Z,3882532803,15,,3880958121,56,Right,3882532805,388,,,,,,,,,,,,,,,,,a0ecz4nlxrr62dcwixtmjiwyy,T. Somers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963613,5,5,1,0,9,1uk609mhtsfhokhaewjapb26,1,12.2,100.9,2022-10-29T16:15:25.947Z,2022-10-30T06:11:39Z,3880959191,347,,3880959197,233,7,3880959189,56,Back,,,,,,,,,,,,,,,,ezb815xw3yx3r3ey51zovop91,A. Radovanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963445,7,5,1,0,9,3ix9om1svhd6obl0mbk1otgop,0,87.8,-0.9,2022-10-29T16:15:25.947Z,2022-10-30T06:11:40Z,3880958329,56,Right,3880958331,347,,3880959217,233,5,,,,,,,,,,,,,,,,bmbn4q2uorkgosgaig6migpux,B. Popović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963637,6,1,1,0,23,1uk609mhtsfhokhaewjapb26,1,15,100,2022-10-29T16:15:39.489Z,2022-10-30T12:38:52Z,3880959329,140,15.1,3880959335,213,4.7,3880959331,141,87.7,3880959333,212,9.2,3880959327,56,Back,3880959325,107,,,,,,,,6vh5n14h1knmx7yut84q2f2l1,K. D'Haene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963641,7,1,1,0,23,1uk609mhtsfhokhaewjapb26,0,14,88.8,2022-10-29T16:15:40.320Z,2022-10-30T12:38:52Z,3880959353,212,36.1,3880959351,141,60.5,3882533263,178,,3880959349,140,43.1,3880959345,157,,3880959347,56,Back,3880959357,1,,3880959355,213,5.7,bd4cjnn4k45ry7ci5tsaawf10,H. Keïta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478963659,8,49,1,0,26,3ix9om1svhd6obl0mbk1otgop,1,57.9,45.2,2022-10-29T16:15:43.379Z,2022-10-30T12:38:51Z,,,,,,,,,,,,,,,,,,,,,,,,,52qemp1py9mm9unjvxaphv209,J. Daland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
