id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,assist,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2455881977,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-09-04T15:39:42.214Z,2022-09-04T16:39:29Z,3758303035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758303029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3758303021,30,"be0ws51ws5cm9wzmcp3ozmklx, 7s4ws0u4erq1jfobqpsj0aoes, 7dayrhr0c60zbc1b6lig8pm8l, fs5utga62tud5s06xj27qdat, etos5xv3v2ptiktdk5yuhrjkl, ettrapmxg36vw2egivejegzc9, 18pgjfpl9s8qy32mblzygsyc5, 2cc5y9hjnc8nqrh58ojz6ajth, 8fs5klbsyx06c5ds9s1i3xu96, b9wew8z92aj36vvxfj3q7kxcl, 1khy4w78z012p8z20gcp0nrvt, 6q53ei01tbb5kxjr1mhfjysph, 9hiut57u02lly1nfdixef8bth, dgwhg6g9oys6as69cqcgyi9xx, 7dnxkce4kn8qchaavv6e4tm21, cxa3j4u8eh5w947p1iba47yfo, dnt7ahwfj8endqngxwfll1tjp, eyvf8uu7jltbzalaov3qt1w5",3758303023,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3758303031,194,etos5xv3v2ptiktdk5yuhrjkl,3758303033,197,3190,3758303027,130,18,3758303025,59,"33, 18, 14, 23, 5, 2, 24, 22, 7, 29, 11, 1, 8, 9, 10, 16, 21, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455883265,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-09-04T15:41:17.948Z,2022-09-04T16:33:44Z,3758310137,197,11586,3758310135,194,8zz5lnxo7twq8ntb7e0qfvbv9,3758310129,59,"1, 28, 38, 12, 21, 2, 26, 44, 18, 7, 6, 3, 5, 8, 25, 40, 45, 99",3758310133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3758310131,130,12,3758310139,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758310127,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3758310125,30,"aspoedbe2vkfbqaz67fc2ftg5, 6n1rvd0axpp159h9wkkd7lwfe, 39bcswfqnpa07b4afevezejo4, 4pbx40gvdmacim2n0k2qt41cl, ae26s08xs4l50sfm0r6jbsley, 7hi9yit8aifyojt7i0kg69as5, 8zz5lnxo7twq8ntb7e0qfvbv9, e2nb1takpw6q7f6txp8xbfkk5, 14xb29tv90y8uataijmh03rah, 87d73x3gkomc4soukr5uweqc5, 5ecklu1u6t21rhh8fh4zoq2cq, 3bhmh2ks5ma4rqda9zff6w251, 7t9bynn5mbmy3b0v9cduifxex, 7xw0h0pegzhoix5hb4hipj2l1, c4brcsqfli5mds4vhma627yl1, 6l1wr1ny31eh85213uhxflyqc, 8o0a3k1bbim9y2kd6ljyoiwpg, 72xzl0yjdetvqp2n1pmzyqvze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455922051,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-09-04T16:30:08.695Z,2022-09-04T16:30:08Z,3758521781,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455922057,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-09-04T16:30:08.695Z,2022-09-05T06:08:14Z,3758521811,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455922149,3,1,1,0,0,8y3iucyxguipljcmf87a11bk9,1,50,50,2022-09-04T16:30:08.816Z,2022-09-05T06:16:06Z,3758522273,213,3.5,3758522271,212,11.2,3758522267,140,39.9,3758522265,56,Back,3758522275,279,S,3758522269,141,44.8,3760175669,178,,,,,1khy4w78z012p8z20gcp0nrvt,H. Cuypers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455922175,4,1,1,0,2,8y3iucyxguipljcmf87a11bk9,1,41,46.3,2022-09-04T16:30:10.888Z,2022-09-05T10:53:08Z,3758522405,141,6.1,3758522407,212,29.4,3760175749,178,,3758522409,213,5.1,3758522401,56,Right,3758522403,140,51.3,,,,,,,18pgjfpl9s8qy32mblzygsyc5,S. Kums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455922193,5,1,1,0,6,8y3iucyxguipljcmf87a11bk9,1,48.4,10.9,2022-09-04T16:30:14.831Z,2022-09-05T10:53:07Z,3758522495,56,Back,3760175869,178,,3758522497,140,35.1,3758522501,212,14.1,3758522503,213,3.0,3758522499,141,13.7,,,,,,,7s4ws0u4erq1jfobqpsj0aoes,M. Samoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455922211,6,1,1,0,8,8y3iucyxguipljcmf87a11bk9,1,34.9,18.9,2022-09-04T16:30:17.205Z,2022-09-05T10:53:06Z,3760175919,178,,3758522611,212,16.4,3758522613,213,1.9,3758522607,140,29.2,3758522605,56,Back,3758522609,141,41.3,,,,,,,ettrapmxg36vw2egivejegzc9,J. Okumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455922219,7,1,1,0,10,8y3iucyxguipljcmf87a11bk9,1,30.4,43.1,2022-09-04T16:30:19.282Z,2022-09-05T10:53:06Z,3758522655,141,11.7,3758522657,212,21.4,3760175999,178,,3758522659,213,4.7,3758522651,56,Back,3758522653,140,31.1,,,,,,,etos5xv3v2ptiktdk5yuhrjkl,M. Ngadeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455922271,8,1,1,0,13,8y3iucyxguipljcmf87a11bk9,1,34.7,14.9,2022-09-04T16:30:21.763Z,2022-09-05T10:53:05Z,3760176067,178,,3758522933,140,51.1,3758522939,212,17.4,3758522943,213,0.1,3758522935,141,18.2,3758522929,56,Right,,,,,,,ettrapmxg36vw2egivejegzc9,J. Okumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455922295,9,1,1,0,15,8y3iucyxguipljcmf87a11bk9,1,52.6,11,2022-09-04T16:30:24.066Z,2022-09-05T10:53:04Z,3758523071,56,Right,3758523073,140,57.4,3758523077,212,6.6,3758523079,213,5.6,3758523075,141,4.7,3760176131,178,,,,,,,,18pgjfpl9s8qy32mblzygsyc5,S. Kums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
