id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/14/value,assist,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/17/value
2458036143,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2022-09-10T15:19:51.349Z,2022-09-10T19:39:31Z,3769758253,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769758251,197,16669,3769758249,194,x3g0yyxs0j4o8fxphxtf0st1,3769758245,130,4,3769758241,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3769758243,59,"22, 6, 2, 20, 44, 28, 27, 3, 70, 32, 11, 7, 9, 14, 15, 19, 89, 91",3769758247,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3769758237,30,"byfrgpc6tgz8lto1gor03y5sl, bgzvhtk50gvmq6noheadmc34l, 1hlvnmu8we38d44sdexhhxcyd, x3g0yyxs0j4o8fxphxtf0st1, l6y4o9t2b0jxaxo85oztok45, 99jqn2osue4tyo1l7yb93s639, ecnh65kkhku5mdkr3il4fl6tx, 3qbl0ps3ms998s0apmpkre3md, 32eyq4xvy8s1ng11jnavvh32t, 8mkkchf0ysdf78r0lncd73klw, 3rrges782prcprsn207dk4zit, 5asv6uc3a4xxsr9u30kdfc0ve, 9mlj7fxon5zy1qmktvvcwjrl6, 16o074zua15qkk7x0me7gi1w4, mkq18lpl3d44wxq974mci5wq, 4f8xb5sbyksacxmifi375h7qi, evcq2pbyad7zn3okc33upat0q, 398isvyux7zpjiwa2hzsxyc16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458042247,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-09-10T15:28:42.465Z,2022-09-10T16:23:28Z,3769789319,59,"30, 40, 18, 2, 23, 4, 27, 20, 12, 10, 6, 1, 9, 11, 14, 21, 35, 70",3769789331,194,1acbm9228tfggjx7htxjtcvrp,3769789335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769789315,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3769789327,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3769789309,30,"7nlpu8ocv423vqaooks0hifze, 5oa6glaxweluggb6odyxb4uz9, 187qa5icsve3oak3t90r6rhsl, af8gj4w5eg8rdl4iq7fi8aa96, 1acbm9228tfggjx7htxjtcvrp, 6iu350lkyhy6tcll5gfo4vy3u, 6cztmz0yq3ifdkkz4hpe47krt, 5jxclq9dzjbbqptbzz5jnwand, 8ic5et3o15rkxyebpxy6y4mhh, 8058605f3gip7nglewe7svqzu, 4e5jvz1t60a2l67c5a9r2qne, 9ch1zw030nu94b2v7t9pzyqne, 7xfg1orfd9uq3rqzzf6vvxu96, ageous8x40a5qja50md060ull, e44sv1k4belucgkkem7qtkpd6, 9bnvh1i6mu45yvkz257c0x1at, bpxafwc30rerxmgju6rcau8kp, bhytxjryyo8du8lf0xi0tzcb8",3769789333,197,8175,3769789323,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070351,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2022-09-10T16:15:58.774Z,2022-09-10T16:15:58Z,3769946161,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070359,2,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-09-10T16:15:58.774Z,2022-09-10T21:19:12Z,3769946211,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070407,3,1,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,50.7,46.2,2022-09-10T16:15:58.834Z,2022-09-11T08:28:12Z,3769946441,212,20.1,3772153207,178,,3769946435,56,Back,3769946445,279,S,3769946439,141,38.2,3769946437,140,32.3,3769946443,213,3.4,,,,32eyq4xvy8s1ng11jnavvh32t,R. Yaremchuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070455,4,1,1,0,3,1oyb7oym5nwzny8vxf03szd2h,0,35.8,40.4,2022-09-10T16:16:02.126Z,2022-09-11T08:55:04Z,3769946687,213,0.6,3769946677,56,Left,3769946683,141,80.5,3769946681,140,73.7,3772153753,178,,3769946675,155,,3769946685,212,48.2,3769946689,1,,l6y4o9t2b0jxaxo85oztok45,B. Mechele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070515,3,12,1,0,5,jb4xejoxjfk5a0a50bo8hvst,1,28.1,21.2,2022-09-10T16:16:04.717Z,2022-09-11T08:55:03Z,3769946883,212,15.8,3769946877,56,Back,3769946879,140,27.5,3769946981,167,,3772154107,388,,3769946881,141,0.0,3769946885,213,4.7,3769946893,15,,5oa6glaxweluggb6odyxb4uz9,D. Opare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070525,4,5,1,0,8,jb4xejoxjfk5a0a50bo8hvst,0,28,-1.8,2022-09-10T16:16:07.251Z,2022-09-11T03:23:23Z,3769946951,56,Back,3769947247,233,5,3769946953,347,,,,,,,,,,,,,,,,,5oa6glaxweluggb6odyxb4uz9,D. Opare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070569,5,5,1,0,8,1oyb7oym5nwzny8vxf03szd2h,1,72,101.8,2022-09-10T16:16:07.251Z,2022-09-11T03:23:22Z,3769947221,233,4,3769947181,347,,3769947179,56,Left,,,,,,,,,,,,,,,,l6y4o9t2b0jxaxo85oztok45,B. Mechele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070591,6,1,1,0,13,1oyb7oym5nwzny8vxf03szd2h,1,59.1,100,2022-09-10T16:16:12.633Z,2022-09-11T08:55:03Z,3769947331,107,,3769947335,140,40.0,3769947341,213,3.5,3769947339,212,21.4,3769947337,141,90.2,3769947333,56,Back,3769947343,1,,,,,1hlvnmu8we38d44sdexhhxcyd,E. Sobol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
