id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,assist,qualifier/19/id,qualifier/19/qualifierId
2482715281,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-11-06T19:03:11.215Z,2022-11-06T20:03:41Z,3900693169,194,2hj88r72bbwnhqx12tv13jmqx,3900693159,30,"d0itp0eyxewvnm2shm0manw7p, 5ghjnuqhf7kvbwqlo8jqv0bqi, 2rn8mnhlrtrbm6du97f54zckq, czsmg1hjqbmzhz8x91y3b0yc5, 2hj88r72bbwnhqx12tv13jmqx, ew1thxs8j5mwwqh075kzsjq0a, 92resfejh2m1oygglkjdk0u7d, 92ajo8iiqwlmjwndtf7yt6l05, mzrka1w28qc7vgr5xmcngqg9, b3y2ov2ju75fr5u5e2rerj1ex, 65js4yds9vyg0iyck8xh10frp, 9ncn3cmp9hd451mjt54t8axn9, 3m13ipluel0m6cotha7n7vrop, 6y2s58f539ax7s9np2jao0tn8, 99eumu17h5sxriw5vfczvdb6d, 58qrdtv5emnvcojqkmnpx5ffu, 9m3bkbdedtddfeix57rj2f7c9, 78n7z9tmen93v4l0nj1vnlujt",3900693161,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3900693167,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3900693163,59,"1, 29, 18, 27, 33, 2, 10, 8, 11, 9, 68, 5, 7, 19, 28, 34, 77, 99",3900693165,130,18,3900693171,197,8908,3900693173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482718023,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-11-06T19:06:14.217Z,2022-11-06T19:59:20Z,3900707691,59,"31, 6, 30, 4, 24, 66, 10, 12, 20, 9, 70, 1, 7, 25, 32, 33, 44, 77",3900707697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3900707701,194,6vh5n14h1knmx7yut84q2f2l1,3900707705,197,9463,3900707695,130,8,3900707709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900707689,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3900707687,30,"2unnytu55d7lvws7h3r86yhud, 5lbzx05vthw9nbhpmzw5e1562, 6vh5n14h1knmx7yut84q2f2l1, 6fdwd71dx2qu7uzzs3ozm9x7u, 54y1k9ysgdtdvv9ss72ruxiad, ezb815xw3yx3r3ey51zovop91, 8b95khn8h8qz3y4u4coajs5at, bd4cjnn4k45ry7ci5tsaawf10, 9n5wjnjloy0c2euwhsu9u1y39, 93weoj4q60xtxdntko7hobg4q, 3pr51w08wkrl03rpafmsouj85, 6yegi163rq5fsloppfubi3sh5, 6eg8vaxpqsd6cyh736h7bq4x6, 5zdapzrncz7vch3yrgftfp5g, 280b4j6oidfonglcbr2vlj59m, 4o8lvm1ffxrywogokfztc6sb9, 5n522jpifzyf9qu0z41kuf7my, 6t7ezta9mftdtk20pgxa30r85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482755067,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-11-06T20:01:23.307Z,2022-11-07T01:43:12Z,3900927229,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482755079,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-11-06T20:01:23.307Z,2022-11-06T20:01:24Z,3900927277,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482755103,3,1,1,0,0,1uk609mhtsfhokhaewjapb26,1,50,50,2022-11-06T20:01:23.338Z,2022-11-07T05:22:21Z,3900927401,212,5.4,3900927403,213,3.8,3901733233,178,,3900927405,279,S,3900927397,140,46.1,3900927395,56,Back,3900927399,141,44.9,,,,9n5wjnjloy0c2euwhsu9u1y39,F. Avenatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482755109,4,1,1,0,2,1uk609mhtsfhokhaewjapb26,1,50.7,54.7,2022-11-06T20:01:25.772Z,2022-11-07T10:04:57Z,3900927453,213,2.8,3900927451,212,12.5,3900927445,56,Back,3900927447,140,39.3,3901733593,178,,3900927449,141,60.2,,,,,,,3pr51w08wkrl03rpafmsouj85,M. Bruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482755129,5,1,1,0,4,1uk609mhtsfhokhaewjapb26,1,41.8,59.8,2022-11-06T20:01:27.453Z,2022-11-07T10:04:56Z,3900927547,56,Back,3900927555,213,4.0,3900927551,141,36.9,3900927553,212,19.9,3900927549,140,30.0,3901733867,178,,,,,,,,bd4cjnn4k45ry7ci5tsaawf10,H. Keïta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482755145,6,1,1,0,7,1uk609mhtsfhokhaewjapb26,1,27,37,2022-11-06T20:01:30.988Z,2022-11-07T10:04:56Z,3901734137,178,,3900927659,213,1.6,3900927655,141,70.5,3900927651,56,Back,3900927657,212,22.8,3900927653,140,26.2,,,,,,,54y1k9ysgdtdvv9ss72ruxiad,D. Dessoleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482755169,7,1,1,0,10,1uk609mhtsfhokhaewjapb26,1,27.8,81.6,2022-11-06T20:01:34.012Z,2022-11-07T10:04:55Z,3900927791,212,11.7,3900927793,213,0.6,3901734231,178,,3900927789,141,91.5,3900927785,56,Back,3900927787,140,36.9,,,,,,,ezb815xw3yx3r3ey51zovop91,A. Radovanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482755175,8,1,1,0,13,1uk609mhtsfhokhaewjapb26,0,35.5,98,2022-11-06T20:01:36.775Z,2022-11-07T10:04:54Z,3900927823,56,Back,3900927827,141,93.6,3900927825,140,24.9,3900927877,233,3,3900927875,236,,3900927881,286,,3900927829,212,11.5,3900927831,213,3.4,8b95khn8h8qz3y4u4coajs5at,F. Selemani,3901734409,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
