id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/12/value,qualifier/14/value,assist
2451656327,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-08-27T15:40:50.013Z,2022-08-27T17:02:10Z,3735756389,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3735756377,30,"99eumu17h5sxriw5vfczvdb6d, 5ghjnuqhf7kvbwqlo8jqv0bqi, 78n7z9tmen93v4l0nj1vnlujt, ew1thxs8j5mwwqh075kzsjq0a, 2hj88r72bbwnhqx12tv13jmqx, 9ncn3cmp9hd451mjt54t8axn9, 8thfkx6q306ewh6mlba8ztqzt, 92resfejh2m1oygglkjdk0u7d, b3y2ov2ju75fr5u5e2rerj1ex, 58qrdtv5emnvcojqkmnpx5ffu, 65js4yds9vyg0iyck8xh10frp, d0itp0eyxewvnm2shm0manw7p, 243h2yiww7rrz20i0le43jtux, 92ajo8iiqwlmjwndtf7yt6l05, 2rn8mnhlrtrbm6du97f54zckq, 1yq8ig3ffq1j5imjci3g3tfdg, 973qhpd6czw3u8h0788uq9ez8, 9m3bkbdedtddfeix57rj2f7c9",3735756387,130,13,3735756391,194,2hj88r72bbwnhqx12tv13jmqx,3735756395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3735756393,197,10068,3735756385,59,"28, 29, 99, 2, 33, 5, 23, 10, 39, 34, 68, 1, 3, 8, 18, 20, 36, 77",3735756381,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451656435,1,34,16,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-08-27T15:40:53.291Z,2022-08-27T16:20:03Z,3735756989,194,f3e9qk9oz4feldhgetdpcd0ph,3735756979,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3735756977,30,"49vbniwasp2kyt27jw0cv6m6t, dmk8usvqtzv60bwkoxk7kfqxg, 9fvwcsajeousbo5o0e84cj2sp, 73z9v9oz73hlmnswrzp860yj9, 1abf0y93zbw1sw183nblqoicp, 4juerzftkeiuzctoiei6dmtp1, a8pgjuz5yrbxyf1t905gj327d, 91qd93lqgpe700ps0b6a7ntn9, cinzr4hnryu433l6z40j5x49h, f3e9qk9oz4feldhgetdpcd0ph, 1kst4u41rlyirggwoo1m8ovdh, cni0rxu9fo9lfqqhggmqrdvpx, dvomh2gx3wd5x5v1dmlnkdpzp, d1j29sgb7rmc6dxe3koyyr0et, 91sex5ir1pp4b2beotoua7mqx, 3je3s65vdag4qctd9q0ku8z8q, atkoaobhylui34grbharm41xx, 6u73l7tuxx0958ij9kvdizjrp",3735756987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3735756985,130,6,3735756993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3735756983,59,"12, 25, 20, 24, 28, 14, 11, 4, 9, 33, 7, 5, 6, 10, 15, 17, 21, 29",3735756991,197,8055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451699541,2,32,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-08-27T16:15:38.410Z,2022-08-28T07:12:58Z,3735989923,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451699521,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-08-27T16:15:38.410Z,2022-08-27T16:15:38Z,3735989841,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451699591,3,1,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,50,50,2022-08-27T16:15:38.555Z,2022-08-28T03:23:08Z,3735990227,141,61.4,3735990219,56,Back,3735990223,140,31.1,3738637173,178,,3735990237,279,S,3735990233,213,2.8,3735990229,212,21.3,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451699639,4,1,1,0,2,2b57rbw94i9ohnbch52owvqtq,0,35.3,48.2,2022-08-27T16:15:41.346Z,2022-08-28T09:52:16Z,3735990463,1,,3735990461,213,6.0,3735990459,212,43.5,3738637207,178,,3735990457,141,29.8,3735990451,155,,3735990455,140,75.0,3735990453,56,Center,2hj88r72bbwnhqx12tv13jmqx,A. Tanghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451699657,3,1,1,0,6,bw9wm8pqfzcchumhiwdt2w15c,0,21.5,79.1,2022-08-27T16:15:44.418Z,2022-08-28T09:52:15Z,3738637237,178,,3735990549,212,26.9,3735990547,141,90.9,3735990551,213,0.3,3735990545,140,46.0,3735990541,3,,3735990543,56,Back,,,,4juerzftkeiuzctoiei6dmtp1,F. Ricca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451699675,5,1,1,0,7,2b57rbw94i9ohnbch52owvqtq,0,58.4,14.5,2022-08-27T16:15:46.314Z,2022-08-28T09:52:15Z,3735990613,56,Center,3735990611,3,,3735990615,140,69.0,3735990617,141,23.4,3735990619,212,12.7,3735990621,213,0.5,3738637401,388,,,,,5ghjnuqhf7kvbwqlo8jqv0bqi,R. D'Haese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451699741,4,1,1,0,9,bw9wm8pqfzcchumhiwdt2w15c,0,34.2,76.8,2022-08-27T16:15:47.844Z,2022-08-28T09:52:14Z,3735991009,56,Center,3735991019,1,,3738637611,178,,3735991017,213,5.6,3735991013,141,36.1,3735991015,212,44.4,3735991011,140,67.3,3735991007,155,,91qd93lqgpe700ps0b6a7ntn9,K. Malinov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451699797,6,1,1,0,11,2b57rbw94i9ohnbch52owvqtq,1,39.8,50.9,2022-08-27T16:15:50.369Z,2022-08-28T09:52:14Z,3735991309,56,Back,3738637799,388,,3735991315,212,28.3,3735991311,140,42.2,3735991307,3,,3735991313,141,92.4,3735991317,213,1.5,,,,ew1thxs8j5mwwqh075kzsjq0a,O. Urhoghide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
