id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/value,assist
2516086591,1,34,16,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-03-05T16:34:51.240Z,2023-03-06T09:27:21Z,4076376431,194,78fx1xqqtcqm2g4h1dj8beml1,4076376433,197,6971,4076376435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076376419,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4076376423,130,4,4076376421,59,"16, 62, 54, 21, 56, 14, 18, 10, 13, 36, 7, 5, 9, 11, 29, 30, 32, 61",4076376417,30,"3wwi5vf2l1qbz7e5zdjoy8yga, b3vvxolwxcukqk76hb4scvh79, 8q8qxzmb9j1vntg5llyqa35uy, 143brmwsfow8o0svtdq98tiw9, 88nmn961vtb3bnt9v9rye1h0q, 78fx1xqqtcqm2g4h1dj8beml1, 8f77xyqg4womglj1o8udq77qh, bu7cw3305zs2u7uj2ed5t867e, 9jiectkc8rk0ivxn80l87ic45, 3q2ibq6hhxyht8046ib49ye39, 5don85s7097g5df42m429b8ix, 6rarodhofviwmh5jd0ly8lp4a, 8q7c0yi5x7vh7032jgbeytal1, 5yw1c3i4j9zyt52vomrfbxyol, 8lj9hc8u1351oczzu81mryluc, 3z37ancgteqhbhpygl0brzzdh, drjbms71w0kt1pidq8q17h05w, 7je01bs3a4q6c2gd02ee6da3u",4076376427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516091853,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-03-05T16:40:22.381Z,2023-03-05T16:56:04Z,4076404207,194,18pgjfpl9s8qy32mblzygsyc5,4076404197,30,"6q53ei01tbb5kxjr1mhfjysph, 7s4ws0u4erq1jfobqpsj0aoes, c517lc5fmsd9ugk638s2o9iad, fs5utga62tud5s06xj27qdat, etos5xv3v2ptiktdk5yuhrjkl, bhh6z1ezmsngsu3isbsur2mp6, 18pgjfpl9s8qy32mblzygsyc5, 99tf4co0pm09ayca13ma3lql1, 8fs5klbsyx06c5ds9s1i3xu96, adrn1x15rsehvnava8q9ofuvo, 1khy4w78z012p8z20gcp0nrvt, 9hiut57u02lly1nfdixef8bth, 7dnxkce4kn8qchaavv6e4tm21, 7dayrhr0c60zbc1b6lig8pm8l, a7l66mrnkuduvqw9y6z61j4es, 2igz499o21aihmkugktp3nyms, b9wew8z92aj36vvxfj3q7kxcl, be0ws51ws5cm9wzmcp3ozmklx",4076404205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4076404211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076404199,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4076404209,197,3312,4076404203,130,18,4076404201,59,"1, 18, 25, 23, 5, 4, 24, 13, 7, 20, 11, 8, 10, 14, 15, 19, 29, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126205,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-03-05T17:31:02.094Z,2023-03-06T00:04:39Z,4076587511,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126255,2,32,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-03-05T17:31:02.094Z,2023-03-05T17:31:08Z,4076587715,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126263,3,1,1,0,0,8y3iucyxguipljcmf87a11bk9,1,50,50,2023-03-05T17:31:02.257Z,2023-03-06T05:25:04Z,4076587763,141,51.3,4076587753,56,Back,4076587767,212,7.0,4077775637,178,,4076587771,279,S,4076587759,140,43.4,4076587769,213,3.0,,,,1khy4w78z012p8z20gcp0nrvt,H. Cuypers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126267,4,1,1,0,2,8y3iucyxguipljcmf87a11bk9,1,44.1,47.6,2023-03-05T17:31:04.259Z,2023-03-06T11:32:53Z,4076587827,213,4.3,4076587825,212,22.6,4076587819,56,Back,4077775697,178,,4076587823,141,17.3,4076587821,140,35.2,,,,,,,18pgjfpl9s8qy32mblzygsyc5,S. Kums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126303,5,1,1,0,5,8y3iucyxguipljcmf87a11bk9,1,37.2,19.3,2023-03-05T17:31:07.521Z,2023-03-06T11:32:52Z,4076587949,212,24.0,4077775735,178,,4076587951,213,2.0,4076587943,56,Back,4076587945,140,27.5,4076587947,141,51.2,,,,,,,bhh6z1ezmsngsu3isbsur2mp6,K. Piątkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126319,6,1,1,0,8,8y3iucyxguipljcmf87a11bk9,1,28.8,54.7,2023-03-05T17:31:10.587Z,2023-03-06T11:32:51Z,4077775769,178,,4076588095,56,Back,4076588097,140,10.4,4076588101,212,22.1,4076588103,213,3.6,4076588099,141,38.9,,,,,,,etos5xv3v2ptiktdk5yuhrjkl,M. Ngadeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126377,7,1,1,0,12,8y3iucyxguipljcmf87a11bk9,0,11.4,32.9,2023-03-05T17:31:14.534Z,2023-03-06T11:32:51Z,4076588439,56,Center,4076588447,213,6.1,4077775817,178,,4076588445,212,49.5,4076588441,140,58.1,4076588443,141,22.7,4077167663,155,,4076588449,1,,6q53ei01tbb5kxjr1mhfjysph,P. Nardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516126373,3,44,1,0,15,6vyr13j6kbwdtxjwm1m4m8nu2,1,47.5,79.3,2023-03-05T17:31:17.711Z,2023-03-06T11:32:50Z,4076588423,56,Back,4076588503,233,8,4076588425,285,,,,,,,,,,,,,,,,,78fx1xqqtcqm2g4h1dj8beml1,J. Vertonghen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
