id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,assist,qualifier/17/value
2473066575,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2022-10-16T15:41:16.168Z,2022-10-16T16:28:15Z,3849764777,59,"22, 7, 17, 94, 44, 6, 27, 20, 19, 9, 15, 3, 14, 32, 70, 77, 91, 98",3849764773,30,"byfrgpc6tgz8lto1gor03y5sl, 5asv6uc3a4xxsr9u30kdfc0ve, acx78ftnm61hm01wpmme77hbe, cn6uwymow3ewbnr6niqumao0k, l6y4o9t2b0jxaxo85oztok45, bgzvhtk50gvmq6noheadmc34l, ecnh65kkhku5mdkr3il4fl6tx, x3g0yyxs0j4o8fxphxtf0st1, 4f8xb5sbyksacxmifi375h7qi, 9mlj7fxon5zy1qmktvvcwjrl6, mkq18lpl3d44wxq974mci5wq, 3qbl0ps3ms998s0apmpkre3md, 16o074zua15qkk7x0me7gi1w4, 8mkkchf0ysdf78r0lncd73klw, 32eyq4xvy8s1ng11jnavvh32t, 6tvnsmtj9mma96e8famksevv9, 398isvyux7zpjiwa2hzsxyc16, 9rsuz6bumw4jyw25gpingu25m",3849764785,197,16669,3849764779,130,12,3849764775,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3849764787,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849764783,194,x3g0yyxs0j4o8fxphxtf0st1,3849764781,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473074977,1,34,16,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2022-10-16T15:50:13.085Z,2022-10-16T16:32:49Z,3849809377,59,"30, 62, 5, 14, 4, 56, 29, 61, 99, 76, 21, 3, 7, 10, 11, 18, 26, 70",3849809373,30,"3z37ancgteqhbhpygl0brzzdh, b3vvxolwxcukqk76hb4scvh79, 6rarodhofviwmh5jd0ly8lp4a, 78fx1xqqtcqm2g4h1dj8beml1, av0ok8e56osu0z8sxtlvvw9ud, 88nmn961vtb3bnt9v9rye1h0q, 8lj9hc8u1351oczzu81mryluc, 7je01bs3a4q6c2gd02ee6da3u, 7snt4uu7f2d0g7utjm2xfis8a, rao8xq2rg3beoc418zv1gzro, 143brmwsfow8o0svtdq98tiw9, 1qqhtdvpixhe5zt9mq9omsoh5, 5don85s7097g5df42m429b8ix, bu7cw3305zs2u7uj2ed5t867e, 5yw1c3i4j9zyt52vomrfbxyol, 8f77xyqg4womglj1o8udq77qh, 4x6oiw1rueiv2jzjs9k76h1p1, c4n7kjp8c47trslpssnyqjo16",3849809379,130,12,3849809385,197,3044,3849809375,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3849809387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849809383,194,3z37ancgteqhbhpygl0brzzdh,3849809381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473110699,2,32,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2022-10-16T16:30:08.596Z,2022-10-17T03:10:14Z,3849998421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473110687,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2022-10-16T16:30:08.596Z,2022-10-16T16:30:08Z,3849998353,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473110723,3,1,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,50,49.5,2022-10-16T16:30:08.798Z,2022-10-17T04:15:44Z,3849998529,213,3.1,3849998527,212,23.2,3849998521,56,Back,3849998523,140,27.9,3851580605,178,,3849998531,279,S,3849998525,141,50.5,,,,7snt4uu7f2d0g7utjm2xfis8a,Fábio Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473110783,4,1,1,0,2,6vyr13j6kbwdtxjwm1m4m8nu2,1,29,53.6,2022-10-16T16:30:11.486Z,2022-10-17T11:38:10Z,3851580669,178,,3849998835,56,Back,3849998839,141,78.2,3849998843,213,1.6,3849998837,140,28.3,3849998841,212,16.7,,,,,,,av0ok8e56osu0z8sxtlvvw9ud,W. Hoedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473110825,5,1,1,0,6,6vyr13j6kbwdtxjwm1m4m8nu2,0,34.7,87.9,2022-10-16T16:30:14.942Z,2022-10-17T11:38:09Z,3849999081,56,Left,3849999083,140,76.0,3851580739,178,,3849999087,212,43.4,3849999091,1,,3849999089,213,0.0,3849999085,141,88.3,3849999079,155,,78fx1xqqtcqm2g4h1dj8beml1,J. Vertonghen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473110819,3,44,1,0,9,1oyb7oym5nwzny8vxf03szd2h,1,26,12.7,2022-10-16T16:30:17.606Z,2022-10-17T11:38:09Z,3849999061,285,,3849999059,56,Back,3849999139,233,6,,,,,,,,,,,,,,,,l6y4o9t2b0jxaxo85oztok45,B. Mechele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473110829,6,44,1,0,9,6vyr13j6kbwdtxjwm1m4m8nu2,0,74,87.3,2022-10-16T16:30:17.607Z,2022-10-17T11:38:09Z,3849999113,286,,3849999111,56,Left,3849999155,233,3,,,,,,,,,,,,,,,,7snt4uu7f2d0g7utjm2xfis8a,Fábio Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473110849,4,1,1,0,9,1oyb7oym5nwzny8vxf03szd2h,0,26,11.9,2022-10-16T16:30:17.704Z,2022-10-17T11:38:08Z,3849999205,56,Back,3849999213,213,0,3849999211,212,12.7,3849999209,141,11.9,3851580883,388,,3849999201,3,,3849999207,140,38.1,,,,l6y4o9t2b0jxaxo85oztok45,B. Mechele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
