id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2455670293,1,34,16,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2022-09-04T10:33:49.516Z,2022-09-04T11:29:39Z,3757200129,130,12,3757200137,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757200133,194,3z37ancgteqhbhpygl0brzzdh,3757200125,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3757200123,30,"3z37ancgteqhbhpygl0brzzdh, b3vvxolwxcukqk76hb4scvh79, dwnd8j9ok6ncbp69gmchw953o, 1qqhtdvpixhe5zt9mq9omsoh5, av0ok8e56osu0z8sxtlvvw9ud, 88nmn961vtb3bnt9v9rye1h0q, 1e7snjsrbh93xt5ti1oyuqxka, 5yw1c3i4j9zyt52vomrfbxyol, 7snt4uu7f2d0g7utjm2xfis8a, c4n7kjp8c47trslpssnyqjo16, 143brmwsfow8o0svtdq98tiw9, 3wwi5vf2l1qbz7e5zdjoy8yga, 8f77xyqg4womglj1o8udq77qh, 6pnws0618dfug6udvka4wv9m2, 8q8qxzmb9j1vntg5llyqa35uy, cu3a4pb4a9g6d0qir3oakd46i, e2w5cj66plnx3kuhnehgswsus, 78fx1xqqtcqm2g4h1dj8beml1",3757200135,197,3044,3757200131,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3757200127,59,"30, 62, 27, 3, 4, 56, 46, 11, 99, 70, 21, 16, 18, 24, 54, 55, 59, 14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455673003,1,34,16,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-09-04T10:39:42.961Z,2022-09-04T11:31:25Z,3757215807,194,f3e9qk9oz4feldhgetdpcd0ph,3757215795,30,"49vbniwasp2kyt27jw0cv6m6t, dmk8usvqtzv60bwkoxk7kfqxg, 9fvwcsajeousbo5o0e84cj2sp, 91qd93lqgpe700ps0b6a7ntn9, 1abf0y93zbw1sw183nblqoicp, 91sex5ir1pp4b2beotoua7mqx, a8pgjuz5yrbxyf1t905gj327d, 73z9v9oz73hlmnswrzp860yj9, cinzr4hnryu433l6z40j5x49h, f3e9qk9oz4feldhgetdpcd0ph, 1kst4u41rlyirggwoo1m8ovdh, a7sjrqjvm8jwm64a7dxpqjii2, cni0rxu9fo9lfqqhggmqrdvpx, dvomh2gx3wd5x5v1dmlnkdpzp, d1j29sgb7rmc6dxe3koyyr0et, atkoaobhylui34grbharm41xx, 6u73l7tuxx0958ij9kvdizjrp, 73pmo92alzawlt2yo2bfartn9",3757215799,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3757215803,130,6,3757215805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3757215811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757215801,59,"12, 25, 20, 4, 28, 15, 11, 24, 9, 33, 7, 44, 5, 6, 10, 21, 29, 77",3757215809,197,8055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455699817,2,32,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2022-09-04T11:30:45.918Z,2022-09-04T21:00:30Z,3757351749,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455699809,2,32,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-09-04T11:30:45.918Z,2022-09-04T11:30:46Z,3757351731,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455699827,3,1,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,50.1,50.5,2022-09-04T11:30:45.942Z,2022-09-04T21:15:26Z,3757351799,213,3.4,3757351795,141,43.5,3757351791,56,Back,3759510805,178,,3757351793,140,34.9,3757351801,279,S,3757351797,212,16.7,,,,7snt4uu7f2d0g7utjm2xfis8a,Fábio Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455699879,4,1,1,0,2,6vyr13j6kbwdtxjwm1m4m8nu2,1,37,52.7,2022-09-04T11:30:48.101Z,2022-09-05T06:26:54Z,3757352083,213,4.6,3757352079,141,14.1,3757352075,56,Back,3757352081,212,26.5,3757352077,140,33.4,3759510983,178,,,,,,,,143brmwsfow8o0svtdq98tiw9,A. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455699925,5,1,1,0,5,6vyr13j6kbwdtxjwm1m4m8nu2,1,37.5,17.6,2022-09-04T11:30:51.815Z,2022-09-05T06:26:53Z,3757352325,212,19.2,3759511097,178,,3757352321,140,32.2,3757352319,56,Back,3757352327,213,1.9,3757352323,141,44.6,,,,,,,88nmn961vtb3bnt9v9rye1h0q,Z. Debast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455699957,6,1,1,0,8,6vyr13j6kbwdtxjwm1m4m8nu2,1,35.6,51.1,2022-09-04T11:30:54.872Z,2022-09-05T06:26:52Z,3757352433,56,Back,3757352437,141,84.7,3757352441,213,1.1,3757352439,212,25.4,3759511183,178,,3757352435,140,46.1,,,,,,,av0ok8e56osu0z8sxtlvvw9ud,W. Hoedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455699995,7,1,1,0,12,6vyr13j6kbwdtxjwm1m4m8nu2,1,47.8,88.8,2022-09-04T11:30:58.043Z,2022-09-05T06:26:51Z,3757352603,140,35.7,3759511257,178,,3757352607,212,22.9,3757352609,213,4.1,3757352605,141,60.8,3757352601,56,Back,,,,,,,1qqhtdvpixhe5zt9mq9omsoh5,H. Delcroix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455700043,8,1,1,0,15,6vyr13j6kbwdtxjwm1m4m8nu2,1,39,63.1,2022-09-04T11:31:01.315Z,2022-09-05T06:26:51Z,3757352841,212,30.6,3757352837,140,47.3,3757352843,213,5.0,3757352839,141,20.0,3759511361,178,,3757352835,56,Back,,,,,,,av0ok8e56osu0z8sxtlvvw9ud,W. Hoedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
