id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/11/value,keyPass,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value
2442469699,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-08-06T13:14:48.892Z,2022-08-07T08:36:21Z,3686966121,30,"jflu7a5n4f3ezoj20z0kje5m, 3yb66hal4fvr04bawz0y3efhl, d1rgv9cgncdgr1h61phrxoc89, a8k3ubqsi0duc3g4u5jnvcoa1, 68vmg4qgr11vppc48hs8402jt, 3l0mj1zzhytxvm9tryvqv8kix, 7jpasvui43tnyao6ijyuuyuqc, ama1ibpjcfu206icrfmkgfavp, 86603cyr3osksy73el0ncy7yt, 1b6ab1mqzvhk547p0bdzbccfd, 9pvc7e65cfgtuipfen5zt463t, 5enjhxrx2jrjqtgb9wwq0baax, cma24hkdklib8007a42cso38q, bz2k6xcfh9658rbaex82134yd, 14w9q2mu6yq235ic55fxs0w2y, 7wh91ajt4v3w9kfdpp5hf5mmt, 561pn6ha3pwbofjt8gbqhj0iy, 7zmgaactx19n77j9fl08pahyi",3686966135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686966125,59,"26, 23, 5, 8, 46, 33, 34, 17, 9, 28, 11, 2, 4, 6, 10, 18, 35, 40",3686966131,194,a8k3ubqsi0duc3g4u5jnvcoa1,3686966129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3686966123,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3686966133,197,3313,3686966127,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442470717,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-08-06T13:16:47.491Z,2022-08-06T14:11:35Z,3686972019,30,"50iwwx11r99cvce6x8cp52c16, 1fu9y7gemoii89ejj7bkex78p, 2xletuhhaxmfqbjbgq4ehpyol, 4rkl9bef513htcb8toe8lvkyx, c1grrjf29wtfgbni2qkydf9ey, 6wt29oce6gsthhpmhq705vl9m, eiqmp3nbc50r40bl86u2sj55h, 7abgw25wb5amn0uq347d4x61h, 1ekfu3u2d9vh73lw2dzdcr1wq, codwa9jioox7i007f4iazwst1, 6r9qf9hptfwyefpsk9douhnt, 6sdv4s8oz558wfhx72vwlpvu2, 8xjlysmwl5vnhcnvsynftjd62, 8nsdqb2qsmvxog6qeioaoe5be, 1s48glvpagsxfh15j8ilh0fai, 8qa4s74yhn2u9n5tm4mfi934k, bjmg69xipgocepwk89487klih, 6j27w3k7pefcyszg5b38lreac",3686972023,59,"33, 10, 3, 21, 35, 2, 8, 23, 7, 9, 14, 1, 11, 19, 20, 28, 30, 47",3686972033,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686972027,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3686972021,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3686972031,197,8121,3686972025,130,12,3686972029,194,eiqmp3nbc50r40bl86u2sj55h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442495937,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-08-06T14:01:27.078Z,2022-08-06T14:01:31Z,3687092963,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442495913,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-08-06T14:01:27.078Z,2022-08-06T22:16:42Z,3687092849,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442495993,3,1,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,50.2,50.1,2022-08-06T14:01:27.158Z,2022-08-07T02:01:53Z,3687093245,212,19.6,3687093249,279,S,3687093241,140,31.6,3687093239,56,Back,3687093247,213,3.2,3690115659,178,,3687093243,141,48.8,,,,7jpasvui43tnyao6ijyuuyuqc,B. El Khannouss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496043,4,1,1,0,2,89xivtxk59uzvhdsd6miao6tm,0,33,51.2,2022-08-06T14:01:29.823Z,2022-08-07T08:24:37Z,3687093519,213,5.2,3687093515,141,8.6,3687093511,56,Back,3690115751,178,,3687093509,155,,3687093517,212,32.7,3687093513,140,47.4,3690679333,1,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496079,3,44,1,0,4,9njsy633rh1tyri7l2jaju5o,1,49,90.2,2022-08-06T14:01:31.770Z,2022-08-07T08:50:32Z,3687093713,56,Back,3687093743,233,5,3687093717,285,,,,,,,,,,,,,,,,,2xletuhhaxmfqbjbgq4ehpyol,J. Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496047,5,44,1,0,4,89xivtxk59uzvhdsd6miao6tm,0,51,9.8,2022-08-06T14:01:31.771Z,2022-08-07T08:24:36Z,3687093899,233,3,3687093541,56,Right,3687093903,286,,,,,,,,,,,,,,,,,3yb66hal4fvr04bawz0y3efhl,D. Muñoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496121,4,1,1,0,4,9njsy633rh1tyri7l2jaju5o,0,49.4,91.5,2022-08-06T14:01:31.847Z,2022-08-07T08:50:32Z,3687093955,141,77.9,3687093959,213,5.8,3687093951,56,Center,3687093949,3,,3690115945,388,,3687093957,212,19.3,3687093953,140,65.5,,,,2xletuhhaxmfqbjbgq4ehpyol,J. Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496107,6,44,1,0,6,89xivtxk59uzvhdsd6miao6tm,1,35.5,21.2,2022-08-06T14:01:33.900Z,2022-08-07T08:50:32Z,3687093863,56,Back,3687094099,233,5,3687093867,285,,,,,,,,,,,,,,,,,68vmg4qgr11vppc48hs8402jt,C. Cuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
