id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,assist,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,keyPass,qualifier/13/value,qualifier/12/value,qualifier/16/value,qualifier/11/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2440823885,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-07-31T10:39:09.043Z,2022-07-31T11:29:00Z,3678220485,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3678220497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3678220493,194,48f3zlksc3r230qb78c5emnyt,3678220489,130,8,3678220487,59,"16, 2, 38, 8, 6, 34, 11, 26, 9, 19, 7, 10, 18, 20, 30, 51, 22, 61",3678220483,30,"bxcwnf87pf8ijzbxy70ewcfe1, ai0yljs83kdpaa6r7ri0048np, 504qkt70jvof5yzffmwwo5c5x, 187wxh3jjn8hqbu7fyw7wullh, 48f3zlksc3r230qb78c5emnyt, corn6i066rh7c7veva0sm3oid, 93hp5gm29ke90ugdimd9xf949, rmruexgp6l6ar57aq8xffg4q, 8bh749b5p635490hik1pj40yd, 1pg0b32xb9230zit0ndyd79ih, ajcblksnh113es9hzt7l5k8h5, 2bz8ey1mxuv6uo8duu7if6k4q, a1ibpks3t6lelvch5kn6u6nyt, 76y4awqbdef5yxiovt27i57th, bci3k14ed9oqcchpmtq37rnx1, eq5hfgqm32c7qmj6xwp7j9iqc, cllq8xizuqut48xxqc3btz97u, 3z1lfdoy92bq8airglbhx32tw",3678220495,197,16292,3678220491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440824811,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-07-31T10:41:45.079Z,2022-07-31T12:34:11Z,3678224991,130,4,3678224987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3678225001,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3678224999,197,3313,3678224989,59,"26, 23, 5, 8, 46, 33, 34, 17, 9, 28, 11, 2, 4, 6, 10, 35, 40, 77",3678224997,194,a8k3ubqsi0duc3g4u5jnvcoa1,3678224993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3678224985,30,"jflu7a5n4f3ezoj20z0kje5m, 3yb66hal4fvr04bawz0y3efhl, d1rgv9cgncdgr1h61phrxoc89, a8k3ubqsi0duc3g4u5jnvcoa1, 68vmg4qgr11vppc48hs8402jt, 3l0mj1zzhytxvm9tryvqv8kix, 7jpasvui43tnyao6ijyuuyuqc, ama1ibpjcfu206icrfmkgfavp, 86603cyr3osksy73el0ncy7yt, 1b6ab1mqzvhk547p0bdzbccfd, 9pvc7e65cfgtuipfen5zt463t, 5enjhxrx2jrjqtgb9wwq0baax, cma24hkdklib8007a42cso38q, bz2k6xcfh9658rbaex82134yd, 14w9q2mu6yq235ic55fxs0w2y, 561pn6ha3pwbofjt8gbqhj0iy, 7zmgaactx19n77j9fl08pahyi, c8m4ox6n1v89qbbjq73s5ezmx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440842839,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-07-31T11:30:08.589Z,2022-07-31T11:30:08Z,3678310161,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440842843,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-07-31T11:30:08.589Z,2022-08-01T01:02:15Z,3678310165,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440842867,3,1,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,50,50,2022-07-31T11:30:08.671Z,2022-08-01T01:12:10Z,3678310245,140,36.4,3678310253,279,S,3680331185,178,,3678310249,212,14.6,3678310251,213,3.4,3678310243,56,Back,3678310247,141,45.2,,,,1pg0b32xb9230zit0ndyd79ih,S. Amallah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440842895,4,1,1,0,2,5z1b7fuvpqe6vnigvopomvecu,1,37.3,50.5,2022-07-31T11:30:10.591Z,2022-08-01T07:38:28Z,3680331287,178,,3678310397,212,13.5,3678310393,140,29.0,3678310395,141,65.7,3678310391,56,Back,3678310399,213,2.3,,,,,,,rmruexgp6l6ar57aq8xffg4q,N. Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440842901,5,1,1,0,5,5z1b7fuvpqe6vnigvopomvecu,1,28.1,61.4,2022-07-31T11:30:13.645Z,2022-08-01T07:38:28Z,3678310427,212,23.9,3678310423,140,24.2,3680331327,178,,3678310429,213,4.5,3678310421,56,Back,3678310425,141,26.7,,,,,,,corn6i066rh7c7veva0sm3oid,K. Laifis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440842927,6,1,1,0,8,5z1b7fuvpqe6vnigvopomvecu,1,21.8,30.9,2022-07-31T11:30:16.879Z,2022-08-01T07:38:27Z,3678310555,212,18.6,3678310551,140,9.3,3680331363,178,,3678310557,213,2.4,3678310553,141,50.3,3678310549,56,Back,,,,,,,48f3zlksc3r230qb78c5emnyt,N. Dussenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440842955,7,1,1,0,11,5z1b7fuvpqe6vnigvopomvecu,1,7.6,59.3,2022-07-31T11:30:20.233Z,2022-08-01T07:38:26Z,3680331413,178,,3678310665,212,32.4,3678310661,140,37.8,3678310659,56,Back,3680596965,1,,3678310667,213,0.2,3678310663,141,69.1,,,,bxcwnf87pf8ijzbxy70ewcfe1,A. Bodart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440842961,8,1,1,0,14,5z1b7fuvpqe6vnigvopomvecu,0,37.5,70.7,2022-07-31T11:30:23.022Z,2022-08-01T07:38:25Z,3678310693,212,5.1,3678310713,236,,3678310715,233,3,3680331455,178,,3678310685,56,Back,3678310689,140,42.3,3678310719,286,,3678310695,213,0.2,ajcblksnh113es9hzt7l5k8h5,D. Drăguş,3678310691,141,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
