id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/9/value,qualifier/13/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2457551171,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-09-09T17:51:08.074Z,2022-09-09T19:46:01Z,3767217707,197,1957,3767217701,130,12,3767217699,59,"21, 4, 19, 3, 37, 22, 10, 44, 8, 30, 6, 7, 11, 12, 20, 27, 77, 91",3767217705,194,4fc3xit5tx2o583prbwhkq8d1,3767217703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3767217695,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, 7n75ohdnbi436je81n5f8f9m2, 3krglbuxncb1fvl3p1sezhoq2, 4fc3xit5tx2o583prbwhkq8d1, 9qafk5ke1yzqggkcmf1zqevp, 77487qauk9fkzlesgze21odsl, a375qgbjxnpucpz3hprf2fkr9, b24ytr3apnyp7z17c124tu1yi, 4rwvkp9xlyv314ceglbauou6t, 7d57au4z5cuxc5k6tu6qgp94a, bk9fq3chnhmw3u36qz5vf1vjd, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, 12lkxylg8puzxow8ewpsd0b11, 9rwn5wckqcb5inw1dhhmpj1t5, eakj3xa0pa88pajbvasbwqwdm, 9mmwn9yt1olhyr54j45e28xcl",3767217697,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3767217709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457555497,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-09-09T18:03:25.626Z,2022-09-09T21:46:55Z,3767239807,59,"16, 2, 11, 3, 20, 6, 26, 22, 7, 19, 8, 28, 77, 17, 21, 30, 38, 61",3767239813,194,48f3zlksc3r230qb78c5emnyt,3767239819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3767239805,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3767239803,30,"bxcwnf87pf8ijzbxy70ewcfe1, ai0yljs83kdpaa6r7ri0048np, 93hp5gm29ke90ugdimd9xf949, a5jrqzijth7e3uxl4phi83sdm, 76y4awqbdef5yxiovt27i57th, 48f3zlksc3r230qb78c5emnyt, rmruexgp6l6ar57aq8xffg4q, cllq8xizuqut48xxqc3btz97u, ajcblksnh113es9hzt7l5k8h5, 1pg0b32xb9230zit0ndyd79ih, 187wxh3jjn8hqbu7fyw7wullh, 6a0e28nxlyyw7ghe4wzumlzh1, d6r3vkalhudms84f6fs415wid, 464o8uslv6z2fdm269j97gt4a, bxudrqx99a3zv5gajdzxz38id, bci3k14ed9oqcchpmtq37rnx1, 504qkt70jvof5yzffmwwo5c5x, 3z1lfdoy92bq8airglbhx32tw",3767239811,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3767239815,197,16292,3767239809,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457591019,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-09-09T18:46:07.403Z,2022-09-10T01:11:54Z,3767432483,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457591023,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-09-09T18:46:07.403Z,2022-09-09T18:46:09Z,3767432503,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457591077,3,1,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,49.9,49.9,2022-09-09T18:46:07.460Z,2022-09-10T02:40:42Z,3768167141,178,,3767432763,213,3.0,3767432755,56,Back,3767432757,140,26.7,3767432759,141,55.8,3767432761,212,24.7,3767432765,279,S,,,,rmruexgp6l6ar57aq8xffg4q,N. Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457591167,4,1,1,0,2,5z1b7fuvpqe6vnigvopomvecu,0,33.9,51.7,2022-09-09T18:46:10.068Z,2022-09-10T07:34:00Z,3767433257,1,,3767433247,56,Center,3767433251,141,72.3,3767433245,155,,3768167325,178,,3767433255,213,0.3,3767433253,212,43.9,3767433249,140,73.5,76y4awqbdef5yxiovt27i57th,M. Bokadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457591149,3,1,1,0,5,2989v3kho9h5jaboe1nr7lx21,1,28.4,27.2,2022-09-09T18:46:12.567Z,2022-09-10T07:34:00Z,3767433143,212,11.3,3768167417,388,,3767433139,140,36.8,3767433141,141,37.7,3767433137,56,Back,3767433145,213,0.7,3767433135,3,,,,,7d57au4z5cuxc5k6tu6qgp94a,M. Konaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457591161,5,49,1,0,5,2989v3kho9h5jaboe1nr7lx21,1,34.8,28.4,2022-09-09T18:46:13.238Z,2022-09-10T07:34:00Z,,,,,,,,,,,,,,,,,,,,,,,,,77487qauk9fkzlesgze21odsl,S. Kagawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457591151,4,1,1,0,7,2989v3kho9h5jaboe1nr7lx21,1,34.4,35.2,2022-09-09T18:46:14.587Z,2022-09-10T07:33:59Z,3767433161,213,1.9,3767433153,140,30.2,3767433155,141,56.3,3768167747,178,,3767433157,212,15.0,3767433151,56,Back,,,,,,,77487qauk9fkzlesgze21odsl,S. Kagawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457591209,6,1,1,0,10,2989v3kho9h5jaboe1nr7lx21,1,25.9,61.5,2022-09-09T18:46:17.462Z,2022-09-10T07:33:58Z,3767433449,213,1.3,3768168001,178,,3767433443,140,32.3,3767433445,141,96.0,3767433447,212,24.4,3767433441,56,Back,,,,,,,3krglbuxncb1fvl3p1sezhoq2,A. Al-Dakhil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
