id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,assist,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/16/value,qualifier/15/value,qualifier/12/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2474673253,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-10-20T15:36:18.907Z,2022-10-20T16:50:52Z,3858241479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3858241465,59,"1, 18, 29, 3, 33, 2, 16, 10, 68, 14, 8, 7, 11, 19, 28, 34, 90, 99",3858241475,194,2hj88r72bbwnhqx12tv13jmqx,3858241469,130,13,3858241477,197,10068,3858241461,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3858241455,30,"d0itp0eyxewvnm2shm0manw7p, 2rn8mnhlrtrbm6du97f54zckq, 5ghjnuqhf7kvbwqlo8jqv0bqi, 243h2yiww7rrz20i0le43jtux, 2hj88r72bbwnhqx12tv13jmqx, ew1thxs8j5mwwqh075kzsjq0a, 3s0tyude1pghox634ij87srft, 92resfejh2m1oygglkjdk0u7d, 65js4yds9vyg0iyck8xh10frp, 3ci60t7okyb4mmoa3tf0knluy, 92ajo8iiqwlmjwndtf7yt6l05, 3m13ipluel0m6cotha7n7vrop, mzrka1w28qc7vgr5xmcngqg9, 6y2s58f539ax7s9np2jao0tn8, 99eumu17h5sxriw5vfczvdb6d, 58qrdtv5emnvcojqkmnpx5ffu, 3are60mt98ibeazgcyjvuy7tg, 78n7z9tmen93v4l0nj1vnlujt",3858241473,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474673323,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2022-10-20T15:36:36.100Z,2022-10-20T16:28:17Z,3858241903,197,3769,3858241893,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3858241891,30,"r0hm6ahwcvdu57bgfi5zkslx, 1h9jdj5ag99myeoirxzh92od1, 5u6h6cptsad9e6n4uv76q0fl5, cefs6b83ei4gcyuscfopw32ay, 9tc6mprxpu2rc5ptlp5ljw7h1, ecwzzrkn1snbua5yu4gehxm2, 9tgbdheyuooa8cfz06l577end, 5jywyphhwu9j4bphz0720kb9, eg4piy0kcdtdopqpd3lcl5j2t, d19yalwh3i2olvpwoi89feqjt, dcjf15sf1dbb6w17foz25uuei, cl2mi40x3gjsan1iifpbwec4p, 4114auk4o8n6higc918qymc4p, 2tsn78gg5xyw81srfdn05hw8a, cyh16toqa9wxmxepg635ecgve, a7ip51ik4rkqcvgdsh64ln09g, 8yo1cv2wlhnk1lu50cu3iul79, ex7y8oe78ewwmibz41qbmwhxx",3858241901,194,9tc6mprxpu2rc5ptlp5ljw7h1,3858241897,130,8,3858241905,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3858241895,59,"1, 2, 21, 8, 23, 51, 14, 16, 18, 24, 10, 11, 26, 32, 34, 48, 61, 99",3858241899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685091,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2022-10-20T16:45:08.891Z,2022-10-21T08:01:55Z,3858309023,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685093,3,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-10-20T16:45:08.891Z,2022-10-20T16:45:11Z,3858309031,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685107,4,1,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,50,50,2022-10-20T16:45:08.998Z,2022-10-21T08:15:40Z,3859331939,178,,3858309089,141,47.0,3858309085,56,Back,3858309095,279,S,3858309087,140,28.1,3858309093,213,3.2,3858309091,212,23.1,,,,92ajo8iiqwlmjwndtf7yt6l05,C. McGeehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685115,5,1,1,0,3,2b57rbw94i9ohnbch52owvqtq,1,34.7,46.6,2022-10-20T16:45:12.654Z,2022-10-21T11:43:11Z,3858309127,213,5.7,3858309121,140,71.7,3858309123,141,11.4,3858309129,1,,3858309125,212,45.6,3858309113,155,,3858309117,56,Right,3859332075,178,,2hj88r72bbwnhqx12tv13jmqx,A. Tanghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685127,7,1,1,0,7,2b57rbw94i9ohnbch52owvqtq,1,68.3,3.9,2022-10-20T16:45:15.998Z,2022-10-21T11:43:11Z,3859163451,168,,3859332707,388,,3858309199,3,,3858309209,213,0.1,3858309205,141,7.3,3858309203,140,95.6,3858309207,212,28.8,3858309201,56,Right,2rn8mnhlrtrbm6du97f54zckq,T. Sakamoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685119,6,43,1,0,9,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-10-20T16:45:18.080Z,2022-10-20T16:45:27Z,3858309147,286,0,3858309259,144,44,3858309153,233,3,3858309145,56,Right,,,,,,,,,,,,,2rn8mnhlrtrbm6du97f54zckq,T. Sakamoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685117,3,43,1,0,9,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2022-10-20T16:45:18.081Z,2022-10-20T16:45:31Z,3858309331,144,44,3858309133,56,Back,3858309135,285,0,,,,,,,,,,,,,,,,ecwzzrkn1snbua5yu4gehxm2,W. Pacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685131,8,1,1,0,11,2b57rbw94i9ohnbch52owvqtq,0,99.9,0.3,2022-10-20T16:45:19.972Z,2022-10-21T11:43:10Z,3858309757,140,94.6,3858309765,236,,3858309763,213,2.4,3858309761,212,7.7,3858309759,141,8.1,3858309767,233,5,3858309771,286,,3859333189,178,,92ajo8iiqwlmjwndtf7yt6l05,C. McGeehan,3858309227,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685143,5,74,1,0,11,7zibyotq1x1hq6pmgibhr0e6s,1,1.3,99.6,2022-10-20T16:45:20.078Z,2022-10-21T11:43:09Z,3858309773,233,8,3858309257,285,,3859333399,178,,3858309255,56,Back,,,,,,,,,,,,,5u6h6cptsad9e6n4uv76q0fl5,S. Vines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685141,4,5,1,0,12,7zibyotq1x1hq6pmgibhr0e6s,0,6.9,101.3,2022-10-20T16:45:21.489Z,2022-10-21T08:17:00Z,3858309873,233,9,3858309253,347,,3858309251,56,Back,,,,,,,,,,,,,,,,ecwzzrkn1snbua5yu4gehxm2,W. Pacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685149,9,5,1,0,12,2b57rbw94i9ohnbch52owvqtq,1,93.1,-1.3,2022-10-20T16:45:21.489Z,2022-10-21T08:17:00Z,3858309853,233,4,3858309289,347,,3858309287,56,Right,,,,,,,,,,,,,,,,92ajo8iiqwlmjwndtf7yt6l05,C. McGeehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685157,10,1,1,0,20,2b57rbw94i9ohnbch52owvqtq,1,94.6,0,2022-10-20T16:45:29.855Z,2022-10-21T11:43:09Z,3858309365,213,2.8,3858309357,56,Right,3858309363,212,15.7,3858309355,107,,3858309361,141,5.6,3858309359,140,80.5,,,,,,,2rn8mnhlrtrbm6du97f54zckq,T. Sakamoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474906253,1005,43,1,0,22,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-10-20T16:45:31.675Z,2022-10-21T09:32:12Z,3859485707,178,0,3859486089,144,82,,,,,,,,,,,,,,,,,,,92ajo8iiqwlmjwndtf7yt6l05,C. McGeehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474907325,1473,83,1,0,24,7zibyotq1x1hq6pmgibhr0e6s,1,6.1,97.4,2022-10-20T16:45:33.761Z,2022-10-21T11:43:06Z,3859491379,399,156706,,,,,,,,,,,,,,,,,,,,,,dcjf15sf1dbb6w17foz25uuei,M. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685167,11,1,1,0,26,2b57rbw94i9ohnbch52owvqtq,0,98.1,1.7,2022-10-20T16:45:35.102Z,2022-10-21T11:43:05Z,3858309417,155,,3859748593,1,,3858309415,2,,3858309419,56,Center,3858309421,140,90.1,3858309427,213,1.8,3859333729,178,,3858309423,141,47.8,92ajo8iiqwlmjwndtf7yt6l05,C. McGeehan,3859163899,20,,3858309425,212,32.5,3859163897,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685171,6,12,1,0,27,7zibyotq1x1hq6pmgibhr0e6s,1,3.8,56.6,2022-10-20T16:45:36.592Z,2022-10-21T11:43:05Z,3858309439,140,10.9,3858309441,141,93.2,3858309443,212,26.0,3858309449,15,,3859333743,388,,3858309445,213,1.3,3858309437,56,Back,,,,9tc6mprxpu2rc5ptlp5ljw7h1,T. Alderweireld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685177,7,49,1,0,29,7zibyotq1x1hq6pmgibhr0e6s,1,12.1,88.6,2022-10-20T16:45:38.493Z,2022-10-21T11:43:04Z,,,,,,,,,,,,,,,,,,,,,,,,,cefs6b83ei4gcyuscfopw32ay,A. Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685193,8,1,1,0,30,7zibyotq1x1hq6pmgibhr0e6s,0,13.2,88.3,2022-10-20T16:45:39.269Z,2022-10-21T11:43:04Z,3858309567,213,6.1,3859334817,178,,3858309559,56,Back,3858309561,140,47.5,3858309563,141,79.1,3858309569,1,,3858309565,212,36.6,3858309557,155,,cefs6b83ei4gcyuscfopw32ay,A. Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685203,9,4,1,0,32,7zibyotq1x1hq6pmgibhr0e6s,1,41.4,84.3,2022-10-20T16:45:41.173Z,2022-10-21T11:43:03Z,3858309655,233,12,3858309629,152,,3858309625,294,,3858309627,56,Back,3858309631,286,,3858309623,13,,,,,,,,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685207,12,4,1,0,32,2b57rbw94i9ohnbch52owvqtq,0,58.6,15.7,2022-10-20T16:45:41.174Z,2022-10-21T11:43:03Z,3858309653,285,,3858309651,152,,3858309659,233,9,3858309645,13,,3858309649,56,Right,3858309647,294,,3859334917,178,,,,,ew1thxs8j5mwwqh075kzsjq0a,O. Urhoghide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474685225,10,1,1,0,44,7zibyotq1x1hq6pmgibhr0e6s,1,45.2,83.3,2022-10-20T16:45:53.767Z,2022-10-21T11:43:02Z,3858309791,213,2.1,3858309783,56,Back,3858309787,141,90.9,3858309781,152,,3858309789,212,5.9,3858309785,140,42.5,3859335085,178,,3858309779,5,,cefs6b83ei4gcyuscfopw32ay,A. Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
