id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/18/value,qualifier/15/value,assist,qualifier/19/id,qualifier/19/qualifierId
2515041321,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-03-04T14:21:16.166Z,2023-03-04T14:59:49Z,4070871743,130,18,4070871741,59,"16, 28, 7, 3, 25, 4, 26, 6, 18, 9, 19, 1, 10, 21, 32, 38, 99, 15",4070871749,194,8zz5lnxo7twq8ntb7e0qfvbv9,4070871747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070871753,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070871751,197,11586,4070871737,30,"btyk45f7gmz3ck2dafpp22yg9, 6n1rvd0axpp159h9wkkd7lwfe, 87d73x3gkomc4soukr5uweqc5, 3bhmh2ks5ma4rqda9zff6w251, c4brcsqfli5mds4vhma627yl1, dbtjmpfrscwqv0xvqk3krqa5l, 8zz5lnxo7twq8ntb7e0qfvbv9, 5ecklu1u6t21rhh8fh4zoq2cq, 14xb29tv90y8uataijmh03rah, dqazrm2wmu9zqpvp8xbeeb7jd, 4gnprufs4yyf7wq9mzmkmf622, aspoedbe2vkfbqaz67fc2ftg5, bz77hr28a1yskifpuvzu8smsq, ae26s08xs4l50sfm0r6jbsley, 27rm84dcrfa7ypfmpgbe37cic, 39bcswfqnpa07b4afevezejo4, 72xzl0yjdetvqp2n1pmzyqvze, 5qaa5hrosx323tjkrvajpg5qs",4070871739,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515042565,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-03-04T14:23:15.270Z,2023-03-04T15:28:21Z,4070878443,194,6vh5n14h1knmx7yut84q2f2l1,4070878435,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4070878447,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070878441,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070878433,30,"6yegi163rq5fsloppfubi3sh5, 3pr51w08wkrl03rpafmsouj85, 6vh5n14h1knmx7yut84q2f2l1, 280b4j6oidfonglcbr2vlj59m, 6fdwd71dx2qu7uzzs3ozm9x7u, bf22is04tealb92h075c7u356, 5np1ksd9qkmc511ihzvikhy0a, 5zdapzrncz7vch3yrgftfp5g, 8b95khn8h8qz3y4u4coajs5at, bcfayigqu8oygm1xvpgl9akt1, 9n5wjnjloy0c2euwhsu9u1y39, 4ilyw37ebyvszpfjk65mddm38, 6eg8vaxpqsd6cyh736h7bq4x6, 60z63hezwwosjnhvamcwxtre1, eczyz1c2lgqelhp13xiqb0vhm, 6437iwpplyfh71o9b7uxdylii, 7hdyeeejo7h9kvqt7x8jlrlec, 4o8lvm1ffxrywogokfztc6sb9",4070878445,197,8054,4070878437,59,"1, 70, 30, 32, 4, 5, 18, 25, 10, 29, 20, 22, 7, 14, 16, 17, 23, 33",4070878439,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070731,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-03-04T15:01:08.697Z,2023-03-05T00:05:13Z,4071015553,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070761,4,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-03-04T15:01:08.697Z,2023-03-04T15:01:10Z,4071015713,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070783,5,1,1,0,0,920raeoumft3q2wmvc296uceo,1,50,50.1,2023-03-04T15:01:08.821Z,2023-03-05T02:07:41Z,4071015841,212,6.9,4071015843,213,2.3,4071015835,56,Back,4071015839,141,57.3,4071015837,140,45.4,4071015845,279,S,4074058613,178,,,,,5ecklu1u6t21rhh8fh4zoq2cq,A. Zorgane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070875,7,1,1,0,1,920raeoumft3q2wmvc296uceo,0,44.7,57.2,2023-03-04T15:01:10.557Z,2023-03-05T09:04:37Z,4071016259,56,Right,4071016257,155,,4071016265,212,63.8,4071016267,213,5.6,4074058973,178,,4071016269,1,,4071016261,140,91.9,4071016263,141,0.0,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070859,6,43,1,0,3,920raeoumft3q2wmvc296uceo,1,0,0,2023-03-04T15:01:11.716Z,2023-03-04T17:52:12Z,4071016185,213,3.6,4072499885,144,1,4071016177,56,Back,4071016179,140,33.3,4071016183,212,18.1,4071016181,141,45.4,,,,,,,dqazrm2wmu9zqpvp8xbeeb7jd,V. Bayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070871,3,5,1,0,6,1uk609mhtsfhokhaewjapb26,1,12.6,102,2023-03-04T15:01:15.333Z,2023-03-05T02:07:50Z,4071016313,233,8,4071016241,56,Back,4071016243,347,,,,,,,,,,,,,,,,,6yegi163rq5fsloppfubi3sh5,T. Vandenberghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070877,8,5,1,0,6,920raeoumft3q2wmvc296uceo,0,87.4,-2,2023-03-04T15:01:15.333Z,2023-03-05T02:07:50Z,4071016271,56,Right,4071016395,233,3,4071016275,347,,,,,,,,,,,,,,,,,c4brcsqfli5mds4vhma627yl1,D. Marcq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071063,4,1,1,0,13,1uk609mhtsfhokhaewjapb26,1,7.6,100,2023-03-04T15:01:22.054Z,2023-03-05T09:04:37Z,4071017195,212,9.0,4071017197,213,5.2,4071017191,140,11.9,4071017187,107,,4071017189,56,Back,4071017193,141,90.5,,,,,,,6vh5n14h1knmx7yut84q2f2l1,K. D'Haene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
