id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2479642089,1,34,16,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-10-30T16:35:08.788Z,2022-10-30T17:46:14Z,3884570977,30,"49vbniwasp2kyt27jw0cv6m6t, dmk8usvqtzv60bwkoxk7kfqxg, 9fvwcsajeousbo5o0e84cj2sp, 91qd93lqgpe700ps0b6a7ntn9, 4juerzftkeiuzctoiei6dmtp1, 91sex5ir1pp4b2beotoua7mqx, a8pgjuz5yrbxyf1t905gj327d, 73z9v9oz73hlmnswrzp860yj9, cinzr4hnryu433l6z40j5x49h, f3e9qk9oz4feldhgetdpcd0ph, 2vmpkyku0hwv0zdbbzunt2xux, cni0rxu9fo9lfqqhggmqrdvpx, dvomh2gx3wd5x5v1dmlnkdpzp, 1kst4u41rlyirggwoo1m8ovdh, cjf412x9sg56vos0jkj85k3ys, f5kjetb4nb0bj9ms9lxl24zfu, 58b30n3a3qc1s5tpfn8er7tw4, 73pmo92alzawlt2yo2bfartn9",3884570983,130,6,3884570989,197,8055,3884570991,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3884570981,59,"12, 25, 20, 4, 14, 15, 11, 24, 9, 33, 13, 5, 6, 7, 27, 38, 43, 77",3884570987,194,f3e9qk9oz4feldhgetdpcd0ph,3884570985,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3884570979,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479646227,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-10-30T16:38:53.307Z,2022-10-30T17:29:12Z,3884593433,59,"1, 18, 25, 31, 5, 2, 6, 24, 17, 7, 11, 8, 10, 15, 16, 22, 29, 33",3884593439,194,18pgjfpl9s8qy32mblzygsyc5,3884593447,197,1941,3884593431,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3884593451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3884593429,30,"6q53ei01tbb5kxjr1mhfjysph, 7s4ws0u4erq1jfobqpsj0aoes, c517lc5fmsd9ugk638s2o9iad, eyvf8uu7jltbzalaov3qt1w5, etos5xv3v2ptiktdk5yuhrjkl, ettrapmxg36vw2egivejegzc9, ebx4h86svfnvegspalqgxqfah, 18pgjfpl9s8qy32mblzygsyc5, 1d2fpmtdglpqwyhnc657n77it, 8fs5klbsyx06c5ds9s1i3xu96, 1khy4w78z012p8z20gcp0nrvt, 9hiut57u02lly1nfdixef8bth, 7dnxkce4kn8qchaavv6e4tm21, a7l66mrnkuduvqw9y6z61j4es, cxa3j4u8eh5w947p1iba47yfo, 2cc5y9hjnc8nqrh58ojz6ajth, b9wew8z92aj36vvxfj3q7kxcl, be0ws51ws5cm9wzmcp3ozmklx",3884593437,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3884593435,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479690755,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-10-30T17:31:11.521Z,2022-10-30T17:31:11Z,3884837871,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479690765,2,32,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-10-30T17:31:11.521Z,2022-10-31T02:42:13Z,3884837915,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479690827,3,1,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,49.9,49.9,2022-10-30T17:31:11.567Z,2022-10-31T05:42:04Z,3886042531,178,,3884838311,212,26.0,3884838315,279,S,3884838309,141,61.7,3884838307,140,26.3,3884838313,213,2.8,3884838305,56,Back,,,,f3e9qk9oz4feldhgetdpcd0ph,M. Maertens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479690839,4,1,1,0,3,bw9wm8pqfzcchumhiwdt2w15c,1,26.4,56.3,2022-10-30T17:31:14.638Z,2022-10-31T10:02:36Z,3886042645,178,,3884838369,56,Back,3884838373,141,95.9,3884838375,212,31.2,3884838377,213,1.0,3884838371,140,41.5,,,,,,,4juerzftkeiuzctoiei6dmtp1,F. Ricca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479690869,5,1,1,0,6,bw9wm8pqfzcchumhiwdt2w15c,1,41.9,97.6,2022-10-30T17:31:17.664Z,2022-10-31T10:02:36Z,3884838583,141,77.3,3884838575,56,Back,3884838591,213,4.6,3884838587,212,13.8,3886042773,178,,3884838579,140,41.0,,,,,,,9fvwcsajeousbo5o0e84cj2sp,H. Mendyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479690885,6,1,1,0,7,bw9wm8pqfzcchumhiwdt2w15c,1,42.3,80.9,2022-10-30T17:31:18.756Z,2022-10-31T10:02:35Z,3886042885,178,,3884838693,212,17.9,3884838685,140,25.4,3884838683,56,Back,3884838695,213,3.3,3884838689,141,77.6,,,,,,,73z9v9oz73hlmnswrzp860yj9,C. De Norre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479690923,7,1,1,0,9,bw9wm8pqfzcchumhiwdt2w15c,1,31,75.6,2022-10-30T17:31:21.497Z,2022-10-31T10:02:35Z,3884838973,140,25.4,3886042961,178,,3884838979,213,4.4,3884838977,212,18.6,3884838971,56,Back,3884838975,141,49.7,,,,,,,91sex5ir1pp4b2beotoua7mqx,D. Ouédraogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479690951,8,1,1,0,14,bw9wm8pqfzcchumhiwdt2w15c,1,37.5,49.8,2022-10-30T17:31:26.305Z,2022-10-31T10:02:33Z,3884839209,212,16.1,3886043009,178,,3884839211,213,1.5,3884839203,141,73.3,3884839199,56,Back,3884839201,140,39.3,,,,,,,4juerzftkeiuzctoiei6dmtp1,F. Ricca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
