id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value,qualifier/19/value
2479472019,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-10-30T14:10:49.763Z,2022-10-30T14:40:01Z,3883653119,194,6xam5bquregefbepxd9rwfdh,3883653111,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3883653109,30,"a8kdcx3797ityilpw31jaj4r9, ths196pehnfyf4f4scmqj8ph, e44w6g1c1ojf854svzswpl0x5, 1i1xcco82x0ppbac6j5z59x49, 5w0ohhrm0ojscyjh3e0o8ffmd, 7bwjxz6bwt7h070dbv1l8woyy, 39tod1iad3ztq17qveh8pwp9l, 6xam5bquregefbepxd9rwfdh, 5j13tgvpwi7m3y6rjd8q08tt5, 7vv4ef3y8swdekozwaent3ai1, a6cke0ad2pvuyahweuch772ay, dhpxeejqzlhnm1vu0f8xjzw7p, 7a6hqi5iy91onh9u7l7t88tbe, ai5p5wgft6c09bjbldz9sfeac, 1a9u2g4hynrz2e93sz1evhpzp, di9k6xr6j4arjoltl7s9yp6cq, f0ean6buvvp9l4rh1ayvnnill, 15odj8wui8136996wi2d5t7md",3883864727,197,5945,3883653113,59,"49, 19, 94, 44, 16, 59, 20, 10, 8, 13, 7, 4, 6, 11, 21, 23, 26, 29",3883653117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3883653115,130,18,3883653121,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479511605,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-10-30T14:40:08.474Z,2022-10-30T14:41:52Z,3883865795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883865785,130,18,3883865793,197,8175,3883865773,30,"9ch1zw030nu94b2v7t9pzyqne, 9bnvh1i6mu45yvkz257c0x1at, ageous8x40a5qja50md060ull, af8gj4w5eg8rdl4iq7fi8aa96, a52575bcqr3acuweauiyzsb56, 5oa6glaxweluggb6odyxb4uz9, 7sxsul4lzfxl1nzca1nq715re, 4e5jvz1t60a2l67c5a9r2qne, 6cztmz0yq3ifdkkz4hpe47krt, 8058605f3gip7nglewe7svqzu, 7ruin2kz9zjzba57tdbec7n4l, apusqhva0hdbf7zqb3twgeoa2, 7xfg1orfd9uq3rqzzf6vvxu96, 8ic5et3o15rkxyebpxy6y4mhh, 3j1vhujla834m422svmrdh3pw, cahevdu5yhhnh8qlj969b6dw, 89m2i076rpwreyl8h1o9kc6xg, bpxafwc30rerxmgju6rcau8kp",3883865789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3883865777,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3883865791,194,af8gj4w5eg8rdl4iq7fi8aa96,3883865781,59,"1, 21, 11, 2, 99, 40, 15, 6, 27, 10, 7, 5, 9, 12, 16, 17, 28, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479531727,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-10-30T15:00:21.637Z,2022-10-30T15:00:23Z,3883973963,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479531721,3,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-10-30T15:00:21.637Z,2022-10-31T02:26:18Z,3883973939,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479531751,4,1,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,49.9,50.1,2022-10-30T15:00:21.655Z,2022-10-31T04:52:09Z,3883974101,212,6.0,3883974095,56,Back,3883974103,213,2.6,3883974097,140,45.1,3885992095,178,,3883974099,141,54.8,3883974105,279,S,,,,8058605f3gip7nglewe7svqzu,M. Mouandilmadji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479531817,5,1,1,0,1,jb4xejoxjfk5a0a50bo8hvst,1,44.4,51.6,2022-10-30T15:00:23.512Z,2022-10-31T09:26:31Z,3883974477,213,5.6,3883974473,141,36.9,3883974471,140,55.5,3883974469,56,Center,3883974475,212,15.4,3885992099,178,,,,,,,,7sxsul4lzfxl1nzca1nq715re,S. Lahssaini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479531825,6,1,1,0,3,jb4xejoxjfk5a0a50bo8hvst,1,47.3,38.6,2022-10-30T15:00:25.440Z,2022-10-31T09:26:31Z,3883974585,212,21.1,3883974581,140,29.9,3883974587,213,2.6,3883974579,56,Back,3883974583,141,54.2,3885992115,178,,,,,,,,6cztmz0yq3ifdkkz4hpe47krt,S. Sissoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479531833,7,1,1,0,6,jb4xejoxjfk5a0a50bo8hvst,1,27.7,46.2,2022-10-30T15:00:27.768Z,2022-10-31T09:26:30Z,3883974637,141,88.7,3883974641,213,1.6,3883974633,56,Back,3885992121,178,,3883974639,212,28.9,3883974635,140,27.1,,,,,,,a52575bcqr3acuweauiyzsb56,M. Mbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479531855,8,1,1,0,8,jb4xejoxjfk5a0a50bo8hvst,1,30.1,81,2022-10-30T15:00:30.497Z,2022-10-31T09:26:29Z,3883974769,56,Back,3883974775,212,11.1,3883974771,140,34.6,3885992133,178,,3883974777,213,1.1,3883974773,141,95.7,,,,,,,af8gj4w5eg8rdl4iq7fi8aa96,A. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479531897,9,1,1,0,11,jb4xejoxjfk5a0a50bo8hvst,1,42,95,2022-10-30T15:00:32.714Z,2022-10-31T09:26:28Z,3883974977,141,89.6,3883974973,56,Back,3883974981,213,3.3,3883974979,212,18.8,3883974975,140,24.4,3885992193,178,,,,,,,,4e5jvz1t60a2l67c5a9r2qne,M. Cachbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
