id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/12/value,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/16/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2518473919,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-03-11T16:19:46.536Z,2023-03-12T11:26:15Z,4089043949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089043933,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4089043931,30,"6sdv4s8oz558wfhx72vwlpvu2, 6wt29oce6gsthhpmhq705vl9m, 1fu9y7gemoii89ejj7bkex78p, 2xletuhhaxmfqbjbgq4ehpyol, 90fea2mfl0soc0gsk88z2m2mt, 7t9bynn5mbmy3b0v9cduifxex, c1grrjf29wtfgbni2qkydf9ey, ditnpqgspoih5ich7c5vn44fe, eiqmp3nbc50r40bl86u2sj55h, 8xjlysmwl5vnhcnvsynftjd62, 6pmuxgyfaqn2h0x69o5l1mq22, 1oux70eo5dakzh697p0j7kpre, codwa9jioox7i007f4iazwst1, 7abgw25wb5amn0uq347d4x61h, 41gpjj5od0ww4rnopzgp1oetw, 8qa4s74yhn2u9n5tm4mfi934k, dxnhp97vrepkx0kcr0d46yb1m, 50iwwx11r99cvce6x8cp52c16",4089047317,194,eiqmp3nbc50r40bl86u2sj55h,4089043943,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4089043939,130,18,4089043945,197,4954,4089043935,59,"1, 2, 10, 3, 4, 5, 35, 15, 8, 11, 25, 13, 9, 23, 27, 28, 29, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518506381,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-03-11T16:36:40.514Z,2023-03-11T17:36:47Z,4089217373,30,"99eumu17h5sxriw5vfczvdb6d, 17x4fqsde2cdp2s9q5odmkr8p, 3m13ipluel0m6cotha7n7vrop, c8ikdrxdufewp5jzds3s24xjp, 7y7wrtvktvxfki86p41ptoell, 2hj88r72bbwnhqx12tv13jmqx, 3s0tyude1pghox634ij87srft, 92ajo8iiqwlmjwndtf7yt6l05, b3y2ov2ju75fr5u5e2rerj1ex, 2rn8mnhlrtrbm6du97f54zckq, 65js4yds9vyg0iyck8xh10frp, ew1thxs8j5mwwqh075kzsjq0a, 3zkgg98u1fvuospd2avl4qy2, 1leek57meu5ud379ll63mzdre, 8thfkx6q306ewh6mlba8ztqzt, czsmg1hjqbmzhz8x91y3b0yc5, 58qrdtv5emnvcojqkmnpx5ffu, 3are60mt98ibeazgcyjvuy7tg",4089217415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089217399,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4089217411,197,10068,4089217381,59,"28, 26, 7, 4, 88, 33, 16, 8, 9, 18, 68, 2, 17, 22, 23, 27, 34, 90",4089217375,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4089217409,194,2hj88r72bbwnhqx12tv13jmqx,4089217389,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518553647,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-03-11T17:15:08.358Z,2023-03-11T17:15:10Z,4089473987,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518553641,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-03-11T17:15:08.358Z,2023-03-12T06:23:00Z,4089473975,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518553653,3,1,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,50.1,50.1,2023-03-11T17:15:08.436Z,2023-03-12T06:28:18Z,4089474029,279,S,4089474023,141,50.3,4089474019,56,Back,4089474021,140,38.2,4091673941,178,,4089474027,213,3.1,4089474025,212,12.5,,,,92ajo8iiqwlmjwndtf7yt6l05,C. McGeehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518553709,4,1,1,0,2,2b57rbw94i9ohnbch52owvqtq,1,34.1,50,2023-03-11T17:15:10.780Z,2023-03-12T10:28:33Z,4089474329,140,42.5,4089474335,213,5.2,4089474327,56,Back,4091674105,178,,4089474331,141,24.1,4089474333,212,19.7,,,,,,,7y7wrtvktvxfki86p41ptoell,M. Rodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518553727,5,1,1,0,5,2b57rbw94i9ohnbch52owvqtq,0,44.8,8.6,2023-03-11T17:15:14.079Z,2023-03-12T10:28:32Z,4091674547,178,,4089474425,140,74.3,4089474427,141,28.0,4089474423,56,Center,4089474431,213,0.4,4089474421,155,,4091983337,1,,4089474429,212,33.7,2hj88r72bbwnhqx12tv13jmqx,A. Tanghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518553749,3,1,1,0,7,9njsy633rh1tyri7l2jaju5o,0,24.8,71.7,2023-03-11T17:15:15.891Z,2023-03-12T10:28:31Z,4089474531,140,30.6,4089474523,3,,4089474539,212,14.8,4089474541,213,5.1,4091674971,388,,4089474527,56,Back,4089474535,141,51.8,,,,ditnpqgspoih5ich7c5vn44fe,G. Magnée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518553789,6,13,1,0,9,2b57rbw94i9ohnbch52owvqtq,1,78,46,2023-03-11T17:15:17.760Z,2023-03-12T10:28:31Z,4089475773,215,,4089475777,328,,4089475769,102,93.6,4089475781,458,,4089475779,391,,4089475767,77,,4089475785,146,95.1,4091675157,178,,2rn8mnhlrtrbm6du97f54zckq,T. Sakamoto,4089475793,231,50.1,4089474775,18,4089475775,108,4089475791,230,95.5,4089475789,276,4089474773,22,4089475787,147,100,4089475771,103,41.7,4089475061,72,4089474777,56,Center,4089475783,153,,,,,,,,,,,
2518553765,4,43,1,0,11,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-03-11T17:15:19.747Z,2023-03-11T17:15:39Z,4089474633,56,Back,4089475999,144,5,4089474635,346,0,,,,,,,,,,,,,,,,eiqmp3nbc50r40bl86u2sj55h,S. Peeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
