id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2440325607,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-07-30T15:28:28.176Z,2022-07-31T14:55:59Z,3675520525,197,8908,3675520515,30,"99eumu17h5sxriw5vfczvdb6d, 5ghjnuqhf7kvbwqlo8jqv0bqi, 78n7z9tmen93v4l0nj1vnlujt, 243h2yiww7rrz20i0le43jtux, 2hj88r72bbwnhqx12tv13jmqx, ew1thxs8j5mwwqh075kzsjq0a, 8thfkx6q306ewh6mlba8ztqzt, 92resfejh2m1oygglkjdk0u7d, 65js4yds9vyg0iyck8xh10frp, 9m3bkbdedtddfeix57rj2f7c9, 58qrdtv5emnvcojqkmnpx5ffu, 3m13ipluel0m6cotha7n7vrop, 28mpvdhcf5jycnaj5kxsdu1yi, 3s0tyude1pghox634ij87srft, 1yq8ig3ffq1j5imjci3g3tfdg, 8g5ms6uacdkgfcbxt4crlr4ve, 973qhpd6czw3u8h0788uq9ez8, esmy83j1yd7qob44jombm6cd0",3675795261,194,2hj88r72bbwnhqx12tv13jmqx,3675520521,130,13,3675520527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3675520519,59,"28, 29, 99, 3, 33, 2, 23, 10, 68, 77, 34, 7, 9, 16, 20, 24, 36, 91",3675520517,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3675520523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440334899,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-07-30T15:34:05.951Z,2022-07-30T20:44:29Z,3675571901,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3675571907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3675571903,59,"1, 5, 21, 14, 23, 30, 35, 17, 9, 16, 11, 6, 7, 8, 15, 18, 20, 28",3675571899,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, 3k4ulxeya73ac9foemis7p6mt, cne8uwbnrwbwqjpj3pme1kbmx, 92x3r5pxmvkgaxups0gdrvq39, 56sjqxlsf5iitgww0hogez8ph, 2xixqrmorz1hetvdm4sszxp7t, bkdtlerryn5f6iwvk5fcrku7d, 3nr55odndzunwlb658bsnlwx5, 25ey2mcvgwz6ls2612os5hzv9, 9aafa664l1husrkrgqv25l42d, b6hva6wki38za3hipscirr4h6, 3eywxsna9qzi1egis1uj4l6mt, zd582wgzhdcz8n6oipywt3vt, calut2wcnvfps97uj7dartf4l, mlqit2c8my1ewqy6avrfhf8q, 5gzobg231vp6fnjrrh6k49qz9, 8lqiyhgp90sxu9bzmaa1o3t62",3675571913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3675571905,130,11,3675782055,194,25ey2mcvgwz6ls2612os5hzv9,3675571911,197,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440381125,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-07-30T16:16:04.296Z,2022-07-30T16:16:07Z,3675824021,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440381111,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-07-30T16:16:04.296Z,2022-07-30T23:57:03Z,3675823965,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440381143,3,1,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,50,50,2022-07-30T16:16:04.337Z,2022-07-31T00:35:06Z,3675824133,140,34.4,3675824139,213,2.7,3675824141,279,S,3675824137,212,17.9,3675824131,56,Back,3677236485,178,,3675824135,141,60.6,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440381165,4,1,1,0,2,b7jmo07lqav0wfe2mtlzyspak,0,36.2,57.4,2022-07-30T16:16:07.132Z,2022-07-31T07:43:01Z,3677237237,178,,3675824315,140,72.6,3675824313,56,Center,3675824321,213,5.9,3675824319,212,42.0,3675824317,141,31.8,3675824311,155,,3675824323,1,,cne8uwbnrwbwqjpj3pme1kbmx,D. Lavalée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440381191,3,1,1,0,5,2b57rbw94i9ohnbch52owvqtq,0,28.4,62.6,2022-07-30T16:16:09.460Z,2022-07-31T07:43:00Z,3675824505,140,51.7,3675824511,213,5.7,3675824499,3,,3675824507,141,40.1,3677239517,178,,3675824501,56,Center,3675824509,212,28.9,,,,8thfkx6q306ewh6mlba8ztqzt,A. Amade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440381257,5,1,1,0,10,b7jmo07lqav0wfe2mtlzyspak,1,58.3,77.7,2022-07-30T16:16:14.780Z,2022-07-31T07:42:59Z,3675824847,212,19.1,3675824841,56,Left,3675824843,140,72.7,3675824849,213,0.7,3677240471,178,,3675824845,141,94.8,,,,,,,cne8uwbnrwbwqjpj3pme1kbmx,D. Lavalée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440688085,807,43,1,0,12,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-07-30T16:16:16.889Z,2022-07-31T03:21:27Z,3677513055,399,176277,3677695005,144,83,,,,,,,,,,,,,,,,,,,99eumu17h5sxriw5vfczvdb6d,G. Hubert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440722835,1017,83,1,0,12,2b57rbw94i9ohnbch52owvqtq,1,25.3,2.4,2022-07-30T16:16:16.890Z,2022-07-31T07:42:58Z,3677694903,399,176277,,,,,,,,,,,,,,,,,,,,,,5ghjnuqhf7kvbwqlo8jqv0bqi,R. D'Haese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
