id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,qualifier/11/value,qualifier/14/value,assist,qualifier/18/value
2481357357,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-11-04T18:52:44.716Z,2022-11-14T09:52:02Z,3893546957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893546951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3893546945,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3893546943,30,"btyk45f7gmz3ck2dafpp22yg9, 39bcswfqnpa07b4afevezejo4, 4pbx40gvdmacim2n0k2qt41cl, eb1rih67f03kwljbge37id1ck, ae26s08xs4l50sfm0r6jbsley, 7hi9yit8aifyojt7i0kg69as5, 5ecklu1u6t21rhh8fh4zoq2cq, 8zz5lnxo7twq8ntb7e0qfvbv9, 8o0a3k1bbim9y2kd6ljyoiwpg, 87d73x3gkomc4soukr5uweqc5, 72xzl0yjdetvqp2n1pmzyqvze, aspoedbe2vkfbqaz67fc2ftg5, 7t9bynn5mbmy3b0v9cduifxex, 7xw0h0pegzhoix5hb4hipj2l1, d7ml58kwwpetvnw46qja9ru5m, 14xb29tv90y8uataijmh03rah, c4brcsqfli5mds4vhma627yl1, e2nb1takpw6q7f6txp8xbfkk5",3893546953,194,8zz5lnxo7twq8ntb7e0qfvbv9,3893546949,130,17,3893546955,197,9121,3893546947,59,"16, 38, 12, 31, 21, 2, 6, 26, 45, 7, 99, 1, 5, 8, 15, 18, 25, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481359947,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-11-04T19:00:18.513Z,2022-11-14T09:51:59Z,3893560041,30,"jflu7a5n4f3ezoj20z0kje5m, 3yb66hal4fvr04bawz0y3efhl, d1rgv9cgncdgr1h61phrxoc89, ama1ibpjcfu206icrfmkgfavp, 68vmg4qgr11vppc48hs8402jt, 5enjhxrx2jrjqtgb9wwq0baax, 1b6ab1mqzvhk547p0bdzbccfd, a8k3ubqsi0duc3g4u5jnvcoa1, 7wh91ajt4v3w9kfdpp5hf5mmt, 14w9q2mu6yq235ic55fxs0w2y, 9pvc7e65cfgtuipfen5zt463t, cma24hkdklib8007a42cso38q, 5qpyf80if6m1o5vkwf1yt034l, an7okg1fciccqu6300k8phisq, 43nbjlhluajhnansrk7xmirkk, 3ypxn1nvgv8e321sq5394w3my, 561pn6ha3pwbofjt8gbqhj0iy, 7zmgaactx19n77j9fl08pahyi",3893560047,130,8,3893560053,197,3313,3893560049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3893560055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893560045,59,"26, 23, 5, 17, 46, 2, 28, 8, 18, 10, 11, 4, 7, 22, 25, 27, 35, 40",3893560043,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3893560051,194,a8k3ubqsi0duc3g4u5jnvcoa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481393787,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-11-04T19:45:35.592Z,2022-11-04T19:45:35Z,3893740583,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481393799,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-11-04T19:45:35.592Z,2022-11-05T05:54:46Z,3893740611,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481393819,3,1,1,0,0,920raeoumft3q2wmvc296uceo,1,50.2,49.7,2022-11-04T19:45:35.613Z,2022-11-05T06:00:47Z,3893740793,279,S,3893740789,212,11.0,3894367271,178,,3893740787,141,54.5,3893740791,213,2.8,3893740785,140,40.2,3893740783,56,Back,,,,87d73x3gkomc4soukr5uweqc5,I. Mbenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481393843,4,1,1,0,1,920raeoumft3q2wmvc296uceo,0,40.7,52.7,2022-11-04T19:45:37.320Z,2022-11-05T11:08:57Z,3893740905,141,5.9,3893740903,140,74.0,3894367301,178,,3893740901,56,Right,3894167167,155,,3893740907,212,47.3,3893740911,1,,3893740909,213,5.5,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481393911,3,1,1,0,5,89xivtxk59uzvhdsd6miao6tm,0,30.5,88.3,2022-11-04T19:45:40.623Z,2022-11-05T11:08:56Z,3893741307,56,Back,3893741311,141,96.8,3893741309,140,46.8,3893741305,3,,3894367333,388,,3893741313,212,18.1,3893741315,213,0.3,,,,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481393903,5,61,1,0,7,920raeoumft3q2wmvc296uceo,0,53.4,9.9,2022-11-04T19:45:42.882Z,2022-11-05T11:08:56Z,3893741257,56,Right,3894367431,178,,,,,,,,,,,,,,,,,,,,5ecklu1u6t21rhh8fh4zoq2cq,A. Zorgane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481393913,4,43,1,0,7,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-11-04T19:45:43.033Z,2022-11-04T20:44:12Z,3893741319,56,Back,3893991149,144,61,,,,,,,,,,,,,,,,,,,9pvc7e65cfgtuipfen5zt463t,M. Trésor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481393965,5,5,1,0,8,89xivtxk59uzvhdsd6miao6tm,1,44.6,102,2022-11-04T19:45:44.077Z,2022-11-05T06:01:09Z,3893741661,56,Back,3893741685,233,6,3893741667,347,,,,,,,,,,,,,,,,,9pvc7e65cfgtuipfen5zt463t,M. Trésor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
