id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2522615905,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-03-19T17:25:43.940Z,2023-03-19T17:25:44Z,4110978139,59,"1, 18, 19, 23, 5, 4, 24, 13, 7, 20, 11, 2, 8, 10, 29, 33, 35, 38",4110978147,194,18pgjfpl9s8qy32mblzygsyc5,4110978135,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4110978143,130,18,4110978145,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4110978149,197,3312,4110978151,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4110978133,30,"6q53ei01tbb5kxjr1mhfjysph, 7s4ws0u4erq1jfobqpsj0aoes, 2igz499o21aihmkugktp3nyms, fs5utga62tud5s06xj27qdat, etos5xv3v2ptiktdk5yuhrjkl, bhh6z1ezmsngsu3isbsur2mp6, 18pgjfpl9s8qy32mblzygsyc5, 99tf4co0pm09ayca13ma3lql1, 8fs5klbsyx06c5ds9s1i3xu96, adrn1x15rsehvnava8q9ofuvo, 1khy4w78z012p8z20gcp0nrvt, ettrapmxg36vw2egivejegzc9, 9hiut57u02lly1nfdixef8bth, 7dnxkce4kn8qchaavv6e4tm21, b9wew8z92aj36vvxfj3q7kxcl, be0ws51ws5cm9wzmcp3ozmklx, bdtl2zd3xpjuf2qlooenvj76c, 8g1g0ssh8m3lvxjuquov5nk0k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522622385,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-03-19T17:33:45.760Z,2023-03-19T18:43:37Z,4111012773,130,4,4111012769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4111012777,194,codwa9jioox7i007f4iazwst1,4111012781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111012767,30,"6sdv4s8oz558wfhx72vwlpvu2, 6wt29oce6gsthhpmhq705vl9m, 2xletuhhaxmfqbjbgq4ehpyol, c1grrjf29wtfgbni2qkydf9ey, 8qa4s74yhn2u9n5tm4mfi934k, 7t9bynn5mbmy3b0v9cduifxex, ag74mepy9fnmlykodxo0oxhwp, ditnpqgspoih5ich7c5vn44fe, codwa9jioox7i007f4iazwst1, 8xjlysmwl5vnhcnvsynftjd62, 6pmuxgyfaqn2h0x69o5l1mq22, 1oux70eo5dakzh697p0j7kpre, 90fea2mfl0soc0gsk88z2m2mt, 1ekfu3u2d9vh73lw2dzdcr1wq, eiqmp3nbc50r40bl86u2sj55h, 7abgw25wb5amn0uq347d4x61h, dxnhp97vrepkx0kcr0d46yb1m, 50iwwx11r99cvce6x8cp52c16",4111012771,59,"1, 2, 3, 35, 28, 5, 6, 15, 9, 11, 25, 13, 4, 7, 8, 23, 29, 33",4111012779,197,5915,4111012775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522656363,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-03-19T18:15:59.763Z,2023-03-20T00:37:08Z,4111197029,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522656377,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-03-19T18:15:59.763Z,2023-03-19T18:16:02Z,4111197097,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522656421,3,1,1,0,0,8y3iucyxguipljcmf87a11bk9,1,49.9,50.1,2023-03-19T18:15:59.777Z,2023-03-20T04:49:05Z,4111197299,279,S,4111197285,141,44.3,4111197295,213,3.4,4111197279,140,36.8,4111197291,212,14.3,4111197277,56,Back,4112250045,178,,,,,1khy4w78z012p8z20gcp0nrvt,H. Cuypers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522656433,4,1,1,0,2,8y3iucyxguipljcmf87a11bk9,1,39.1,45.3,2023-03-19T18:16:01.984Z,2023-03-20T11:35:38Z,4111197361,212,24.8,4112250085,178,,4111197355,56,Back,4111197359,141,9.4,4111197363,213,4.9,4111197357,140,43.1,,,,,,,18pgjfpl9s8qy32mblzygsyc5,S. Kums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522656481,5,1,1,0,4,8y3iucyxguipljcmf87a11bk9,1,45.3,4.8,2023-03-19T18:16:04.496Z,2023-03-20T11:35:37Z,4112250129,178,,4111197633,141,22.2,4111197637,213,2.5,4111197629,56,Back,4111197631,140,30.1,4111197635,212,19.9,,,,,,,7s4ws0u4erq1jfobqpsj0aoes,M. Samoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522656501,6,1,1,0,7,8y3iucyxguipljcmf87a11bk9,1,32.4,19.3,2023-03-19T18:16:07.212Z,2023-03-20T11:35:37Z,4111197717,212,19.8,4112250173,178,,4111197713,140,24.0,4111197719,213,2.0,4111197715,141,45.4,4111197711,56,Back,,,,,,,bhh6z1ezmsngsu3isbsur2mp6,K. Piątkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522656541,7,1,1,0,9,8y3iucyxguipljcmf87a11bk9,1,24.8,40.6,2023-03-19T18:16:09.026Z,2023-03-20T11:35:36Z,4111197949,212,23.4,4111197951,213,1.6,4111197945,140,23.3,4111197947,141,75.0,4111197943,56,Back,4112250205,178,,,,,,,,etos5xv3v2ptiktdk5yuhrjkl,M. Ngadeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522656607,8,1,1,0,11,8y3iucyxguipljcmf87a11bk9,1,23.2,81.6,2023-03-19T18:16:11.517Z,2023-03-20T11:35:35Z,4111198271,140,39.7,4111198275,212,18.9,4112250249,178,,4111198273,141,92.7,4111198269,56,Back,4111198277,213,0.4,,,,,,,fs5utga62tud5s06xj27qdat,J. Torunarigha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
