id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/17/value,assist
2481893761,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-11-05T16:24:15.707Z,2022-11-05T17:13:12Z,3896328565,130,12,3896328561,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3896328567,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3896328563,59,"21, 22, 77, 20, 37, 3, 30, 44, 91, 8, 27, 4, 7, 12, 14, 16, 19, 26",3896328573,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896328569,194,4fc3xit5tx2o583prbwhkq8d1,3896328571,197,1957,3896328559,30,"5q4wztjkk6nuwapm7qgey9w45, 9qafk5ke1yzqggkcmf1zqevp, eakj3xa0pa88pajbvasbwqwdm, 12lkxylg8puzxow8ewpsd0b11, 4fc3xit5tx2o583prbwhkq8d1, 3krglbuxncb1fvl3p1sezhoq2, 4rwvkp9xlyv314ceglbauou6t, a375qgbjxnpucpz3hprf2fkr9, 9mmwn9yt1olhyr54j45e28xcl, b24ytr3apnyp7z17c124tu1yi, 9rwn5wckqcb5inw1dhhmpj1t5, e5oet393vired282yco4i7gfd, bk9fq3chnhmw3u36qz5vf1vjd, 3hbsrnnpcsjiocm57mcsf36xh, cqpgxrqear6p6pz3p8r3xvh90, esvfsx8gxqw8h0codqz5xmnmc, 7n75ohdnbi436je81n5f8f9m2, 5a2sf4o445ei5pqiinvmjmpcl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481897517,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-11-05T16:26:45.214Z,2022-11-05T17:33:40Z,3896348149,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3896348159,194,a52575bcqr3acuweauiyzsb56,3896348157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3896348145,30,"9ch1zw030nu94b2v7t9pzyqne, 9bnvh1i6mu45yvkz257c0x1at, 187qa5icsve3oak3t90r6rhsl, cahevdu5yhhnh8qlj969b6dw, a52575bcqr3acuweauiyzsb56, 5oa6glaxweluggb6odyxb4uz9, apusqhva0hdbf7zqb3twgeoa2, 4e5jvz1t60a2l67c5a9r2qne, 7ruin2kz9zjzba57tdbec7n4l, bpxafwc30rerxmgju6rcau8kp, e44sv1k4belucgkkem7qtkpd6, 6iu350lkyhy6tcll5gfo4vy3u, ageous8x40a5qja50md060ull, 8ic5et3o15rkxyebpxy6y4mhh, 3j1vhujla834m422svmrdh3pw, eyrbvrp2n8rnx8emfpu5fw7hl, 89m2i076rpwreyl8h1o9kc6xg, 6h8nr55ieqsaiscoxje2ihmhg",3896348153,59,"1, 21, 18, 17, 99, 40, 5, 6, 7, 35, 14, 4, 11, 12, 16, 25, 28, 29",3896348165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896348155,130,13,3896348161,197,8175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481954901,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-11-05T17:15:09.639Z,2022-11-05T17:15:09Z,3896660881,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481954907,2,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-11-05T17:15:09.639Z,2022-11-05T23:29:19Z,3896660905,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481954941,3,1,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,50,50,2022-11-05T17:15:09.779Z,2022-11-06T03:53:46Z,3896661119,140,47.7,3896661117,56,Back,3896661123,212,2.9,3898019987,178,,3896661127,279,S,3896661121,141,47.6,3896661125,213,3.7,,,,7ruin2kz9zjzba57tdbec7n4l,Vagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481954985,4,1,1,0,1,jb4xejoxjfk5a0a50bo8hvst,1,50.4,45.9,2022-11-05T17:15:10.700Z,2022-11-06T08:53:00Z,3896661403,212,20.3,3896661401,141,18.2,3896661405,213,5.1,3896661399,140,57.5,3896661397,56,Right,3898020137,178,,,,,,,,4e5jvz1t60a2l67c5a9r2qne,M. Cachbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481954987,5,50,1,0,3,jb4xejoxjfk5a0a50bo8hvst,1,59.1,23.9,2022-11-05T17:15:12.987Z,2022-11-06T08:52:59Z,3896661413,56,Center,3896661415,286,,3896661487,233,3,,,,,,,,,,,,,,,,bpxafwc30rerxmgju6rcau8kp,Sérgio Conceição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481954995,3,7,1,0,3,2989v3kho9h5jaboe1nr7lx21,1,40.9,76.1,2022-11-05T17:15:13.022Z,2022-11-06T08:52:59Z,3898020265,178,,3896661443,285,,3896661463,233,5,3896661441,56,Back,3897285555,384,,,,,,,,,,,a375qgbjxnpucpz3hprf2fkr9,C. Brüls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481954997,4,49,1,0,5,2989v3kho9h5jaboe1nr7lx21,1,47.7,77.7,2022-11-05T17:15:14.924Z,2022-11-06T08:52:58Z,,,,,,,,,,,,,,,,,,,,,,,,,9mmwn9yt1olhyr54j45e28xcl,G. Bruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481955005,5,1,1,0,5,2989v3kho9h5jaboe1nr7lx21,0,47.9,77.6,2022-11-05T17:15:15.003Z,2022-11-06T08:52:58Z,3896661537,195,,3896661519,140,49.3,3896661523,212,21.5,3896661517,56,Back,3898020569,178,,3896661521,141,46.1,3896661525,213,4.8,,,,9mmwn9yt1olhyr54j45e28xcl,G. Bruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
