id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/23/id,qualifier/23/qualifierId,qualifier/23/value
2499331539,6,1,1,0,10,2b57rbw94i9ohnbch52owvqtq,1,30.5,32.6,2023-01-21T17:16:20.788Z,2023-01-22T07:20:15Z,3988229299,140,69.1,3988229313,213,6.0,3988229315,1,,3988229305,141,13.5,3988229309,212,42.6,3989261957,178,,3988229295,56,Right,,,,2rn8mnhlrtrbm6du97f54zckq,T. Sakamoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331545,7,3,1,0,12,2b57rbw94i9ohnbch52owvqtq,0,59.5,13.2,2023-01-21T17:16:23.176Z,2023-01-22T07:20:15Z,3988988627,465,,3988232783,233,8,3989262013,178,,3988229323,56,Right,3988229325,286,,,,,,,,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331657,8,7,1,0,12,3ix9om1svhd6obl0mbk1otgop,0,40.5,86.8,2023-01-21T17:16:23.242Z,2023-01-22T07:20:14Z,3988229977,56,Back,3988229979,285,,3988232779,233,7,3989262043,178,,3988989061,385,,,,,,,,,,,52qemp1py9mm9unjvxaphv209,J. Daland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331565,8,2,1,0,14,2b57rbw94i9ohnbch52owvqtq,1,67.6,16.4,2023-01-21T17:16:25.188Z,2023-01-22T07:20:14Z,3988229477,141,61.4,3989262075,178,,3989469297,1,,3988231161,7,3zkgg98u1fvuospd2avl4qy2,3988229473,56,Center,3988229475,140,87.0,,,,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331845,9,55,1,0,14,3ix9om1svhd6obl0mbk1otgop,1,30.7,71.6,2023-01-21T17:16:25.189Z,2023-01-22T07:20:13Z,,,,,,,,,,,,,,,,,,,,,,,,,5iuagsqdiiaadb5yuf7r4vzmc,C. Ravych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331571,6,43,1,0,19,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-01-21T17:16:29.657Z,2023-01-21T17:16:56Z,3988229517,213,2.2,3988229509,56,Back,3988230997,144,12,3988229549,167,0,3988229515,212,23.1,3988229513,141,65.8,3988229511,140,0.0,,,,84l7r4ud9ipuf9vc3ib5b4l0q,H. Siquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331573,7,43,1,0,20,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-01-21T17:16:30.723Z,2023-01-21T17:16:58Z,3988229769,233,9,3988229527,73,0,3988231107,144,6,3988229525,56,Back,,,,,,,,,,,,,84l7r4ud9ipuf9vc3ib5b4l0q,H. Siquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331605,9,43,1,0,21,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-01-21T17:16:32.212Z,2023-01-21T17:17:01Z,3988229703,56,Center,3988229705,75,0,3988231281,144,6,,,,,,,,,,,,,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331983,10,2,1,0,50,3ix9om1svhd6obl0mbk1otgop,1,26.7,56.3,2023-01-21T17:17:01.416Z,2023-01-22T07:20:13Z,3988231441,141,33.7,3989262113,178,,3988231435,241,,3988245739,7,a0ecz4nlxrr62dcwixtmjiwyy,3988231431,5,,3988231603,1,,3988231437,56,Center,3988231439,140,73.3,21ipfd9gxws9vqpw9002o8ve1,Warleson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499334885,44,55,1,0,50,2b57rbw94i9ohnbch52owvqtq,1,31,69.3,2023-01-21T17:17:01.417Z,2023-01-22T07:20:12Z,,,,,,,,,,,,,,,,,,,,,,,,,czsmg1hjqbmzhz8x91y3b0yc5,B. Capon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
