id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value
2497327691,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-01-14T16:17:52.730Z,2023-01-14T16:17:09Z,3977654385,194,25ey2mcvgwz6ls2612os5hzv9,3977654377,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3977654383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3977654389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977654379,59,"1, 5, 18, 22, 27, 14, 66, 16, 10, 7, 11, 20, 6, 15, 19, 28, 34, 35",3977654387,197,1947,3977654381,130,4,3977654375,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, mlqit2c8my1ewqy6avrfhf8q, 1df9uegp2hsbc4813no3mdvx1, btz2lf5s3h6svre1o5jgmvf85, cne8uwbnrwbwqjpj3pme1kbmx, ezg4lhvy2z4pkyvfrmi17y11x, 25ey2mcvgwz6ls2612os5hzv9, evktllmp3l6mfb6o4im0ag0ve, 3eywxsna9qzi1egis1uj4l6mt, 9aafa664l1husrkrgqv25l42d, 5gzobg231vp6fnjrrh6k49qz9, b6hva6wki38za3hipscirr4h6, calut2wcnvfps97uj7dartf4l, 3q5uylbjjiaoj3mn2l7p93jyt, 5egzwt11xlx1vz5dk9yu29q1g, 9ov7tj31hixo7xp0tfffuhpn8, bihng5zkoeutve0fpxrwo5yj8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497338277,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-01-14T16:23:44.667Z,2023-01-14T17:15:41Z,3977711681,194,2hj88r72bbwnhqx12tv13jmqx,3977711675,59,"1, 18, 7, 3, 88, 33, 10, 23, 14, 77, 34, 11, 20, 27, 28, 36, 80, 90",3977711685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977711671,30,"d0itp0eyxewvnm2shm0manw7p, 2rn8mnhlrtrbm6du97f54zckq, 3m13ipluel0m6cotha7n7vrop, 243h2yiww7rrz20i0le43jtux, 7y7wrtvktvxfki86p41ptoell, 2hj88r72bbwnhqx12tv13jmqx, 92resfejh2m1oygglkjdk0u7d, 8thfkx6q306ewh6mlba8ztqzt, 3ci60t7okyb4mmoa3tf0knluy, 9m3bkbdedtddfeix57rj2f7c9, 58qrdtv5emnvcojqkmnpx5ffu, mzrka1w28qc7vgr5xmcngqg9, 1yq8ig3ffq1j5imjci3g3tfdg, czsmg1hjqbmzhz8x91y3b0yc5, 99eumu17h5sxriw5vfczvdb6d, 973qhpd6czw3u8h0788uq9ez8, b81lneik0objvk15uf6m4cewa, 3are60mt98ibeazgcyjvuy7tg",3977711679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3977711673,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3977711677,130,17,3977711683,197,11815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497403135,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-01-14T17:15:08.154Z,2023-01-14T17:15:13Z,3978063541,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497403131,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-01-14T17:15:08.154Z,2023-01-15T12:10:40Z,3978063537,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497403149,3,1,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,50,50,2023-01-14T17:15:08.222Z,2023-01-15T06:06:10Z,3978063597,213,2.8,3978063599,279,S,3978063593,141,58.1,3978063591,140,36.4,3978063589,56,Back,3978970077,178,,3978063595,212,15.3,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497403167,4,1,1,0,2,2b57rbw94i9ohnbch52owvqtq,0,35,59.3,2023-01-14T17:15:10.926Z,2023-01-15T09:23:56Z,3978970181,178,,3978063681,56,Right,3978063685,141,19.7,3978063679,155,,3978063687,212,40.6,3978063683,140,64.0,3978063691,1,,3978063689,213,5.6,243h2yiww7rrz20i0le43jtux,Z. Medley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497403177,3,49,1,0,4,b7jmo07lqav0wfe2mtlzyspak,1,42.6,80.1,2023-01-14T17:15:12.979Z,2023-01-15T09:23:55Z,,,,,,,,,,,,,,,,,,,,,,,,,9aafa664l1husrkrgqv25l42d,N. Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497403187,4,1,1,0,4,b7jmo07lqav0wfe2mtlzyspak,1,42.6,80.1,2023-01-14T17:15:12.993Z,2023-01-15T09:23:55Z,3978970781,178,,3978063795,212,11.6,3978063789,56,Back,3978063791,140,43.3,3978063793,141,63.1,3978063797,213,4.8,,,,,,,9aafa664l1husrkrgqv25l42d,N. Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497403203,5,1,1,0,5,b7jmo07lqav0wfe2mtlzyspak,0,41.2,69.8,2023-01-14T17:15:14.108Z,2023-01-15T09:37:47Z,3978063861,212,11.2,3978063855,56,Center,3978063859,141,72.4,3978063857,140,51.7,3978063863,213,0.2,3978970517,178,,,,,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497403229,6,43,1,0,6,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-01-14T17:15:15.031Z,2023-01-15T08:57:18Z,3978063937,213,3.2,3978972689,178,0,3978063929,56,Left,3978063933,141,89.6,3979103471,144,1,3978063931,140,56.7,3978063935,212,6.6,,,,9aafa664l1husrkrgqv25l42d,N. Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
