id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2510043885,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-02-19T17:25:02.826Z,2023-02-19T18:11:10Z,4044471335,30,"6qlfe04qjldj3rkeeme6gdi39, e2z19y8is5m24brpa3gzn02qx, bjhjz96omjukrg6tj3mny39t6, auqy1bigw2a1owxg441wojzyt, 5ujoracvgg00kzd0a8rh8oa1h, 6z1isgjrlx4gbcjp5ekawdi39, 5zpg8fnqc4luuhlonsn5nbw4q, 8hl43dvm1d57g011yacyoooa1, 12c7rhdjh6rja1d2j45n3exyi, 2j8y06wuinnx87eetadj55zo5, dd711ekg0nlaosmsy2lz13syy, 7xs1rx9jos4ls85u362y9hqeh, 2aemkadh3bhtgm5db8r89pvit, bxcrdkrcljgx6l4o0uy4rom3t, 7y2fbdkqsz35hgsib6rail1hx, 9qm1adecprlczxw7ldbpvoi51, 96xomdtz505yoaz35i5bb8f84, f03fccqnepjczr841h0zqdeui",4044471349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044471343,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4044471347,197,13705,4044471341,130,8,4044471337,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4044471339,59,"1, 22, 11, 7, 33, 2, 17, 4, 14, 5, 39, 8, 20, 23, 25, 32, 45, 79",4044471345,194,auqy1bigw2a1owxg441wojzyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510044099,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-02-19T17:25:25.699Z,2023-02-19T18:02:20Z,4044472515,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, bk9fq3chnhmw3u36qz5vf1vjd, 12lkxylg8puzxow8ewpsd0b11, 4fc3xit5tx2o583prbwhkq8d1, esvfsx8gxqw8h0codqz5xmnmc, 7d57au4z5cuxc5k6tu6qgp94a, bc5vmdnoyshdi5hcgu8dgqxyi, 4rwvkp9xlyv314ceglbauou6t, 2n808wa0h841cn8xi78n21v8q, 9mmwn9yt1olhyr54j45e28xcl, b24ytr3apnyp7z17c124tu1yi, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, 7n75ohdnbi436je81n5f8f9m2, 9qafk5ke1yzqggkcmf1zqevp, 5a2sf4o445ei5pqiinvmjmpcl, 9rwn5wckqcb5inw1dhhmpj1t5",4044472521,130,18,4044472525,194,4fc3xit5tx2o583prbwhkq8d1,4044472519,59,"21, 4, 7, 20, 37, 16, 6, 13, 30, 9, 91, 8, 11, 12, 19, 22, 26, 27",4044472517,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4044472529,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044472523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4044472527,197,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510076561,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-02-19T18:17:36.005Z,2023-02-19T18:17:36Z,4044654421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510076567,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-02-19T18:17:36.005Z,2023-02-20T02:57:27Z,4044654461,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510076603,3,1,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,49.9,49.9,2023-02-19T18:17:36.029Z,2023-02-20T06:31:42Z,4045801621,178,,4044654635,212,14.0,4044654631,140,36.8,4044654639,279,S,4044654633,141,46.0,4044654637,213,3.3,4044654629,56,Back,,,,12c7rhdjh6rja1d2j45n3exyi,K. Vaesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510076627,4,1,1,0,1,2nhn3ikl1ciq34w3hcp883d6p,1,40.8,48.8,2023-02-19T18:17:37.997Z,2023-02-20T10:44:50Z,4044654761,213,4.5,4044654755,140,34.4,4044654757,141,7.7,4045801767,178,,4044654759,212,28.7,4044654753,56,Back,,,,,,,8hl43dvm1d57g011yacyoooa1,M. Fixelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510076659,5,1,1,0,4,2nhn3ikl1ciq34w3hcp883d6p,1,37.2,13.3,2023-02-19T18:17:40.509Z,2023-02-20T10:44:49Z,4044654957,141,31.8,4045801899,178,,4044654953,56,Back,4044654961,212,18.0,4044654955,140,25.0,4044654965,213,2.4,,,,,,,e2z19y8is5m24brpa3gzn02qx,B. Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510076703,6,1,1,0,7,2nhn3ikl1ciq34w3hcp883d6p,1,26.1,36.8,2023-02-19T18:17:43.416Z,2023-02-20T10:44:48Z,4044655217,213,1.8,4044655209,56,Back,4044655213,141,64.0,4045802335,178,,4044655215,212,18.8,4044655211,140,22.7,,,,,,,5ujoracvgg00kzd0a8rh8oa1h,R. Neustädter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510076733,7,1,1,0,12,2nhn3ikl1ciq34w3hcp883d6p,1,25,74.1,2023-02-19T18:17:48.077Z,2023-02-20T10:44:47Z,4044655373,140,8.7,4044655379,213,4.0,4045802443,178,,4044655375,141,43.4,4044655377,212,27.0,4044655371,56,Back,,,,,,,6z1isgjrlx4gbcjp5ekawdi39,P. Perdichizzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510076751,8,1,1,0,15,2nhn3ikl1ciq34w3hcp883d6p,1,13.9,44,2023-02-19T18:17:51.463Z,2023-02-20T10:44:46Z,4044655479,140,18.0,4045802489,178,,4044655483,212,13.6,4044655477,56,Back,4044655485,213,5.0,4044655481,141,25.0,,,,,,,6qlfe04qjldj3rkeeme6gdi39,S. Bolat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
