id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2473877163,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-10-18T15:53:03.974Z,2022-10-18T18:38:51Z,3853975977,194,6vh5n14h1knmx7yut84q2f2l1,3853975967,30,"2unnytu55d7lvws7h3r86yhud, 5lbzx05vthw9nbhpmzw5e1562, 6vh5n14h1knmx7yut84q2f2l1, 280b4j6oidfonglcbr2vlj59m, 6fdwd71dx2qu7uzzs3ozm9x7u, 5n522jpifzyf9qu0z41kuf7my, esrwjtmubaz21j01ndpollrrp, bd4cjnn4k45ry7ci5tsaawf10, 6437iwpplyfh71o9b7uxdylii, 93weoj4q60xtxdntko7hobg4q, 8yy638bmdymhzkbrvho3qezft, 6yegi163rq5fsloppfubi3sh5, 86q9d3y84b0pplcnvrnqavswk, 6eg8vaxpqsd6cyh736h7bq4x6, 2jdqgegksd1hreeqf4phdnsru, 9n5wjnjloy0c2euwhsu9u1y39, 5zdapzrncz7vch3yrgftfp5g, 6t7ezta9mftdtk20pgxa30r85",3853975973,130,4,3853975975,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3853975971,59,"31, 6, 30, 32, 4, 44, 26, 12, 17, 9, 22, 1, 19, 7, 11, 20, 25, 77",3853975979,197,8054,3853975969,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3853975981,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473877483,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-10-18T15:55:12.327Z,2022-10-18T18:38:52Z,3853977809,59,"1, 38, 12, 5, 21, 2, 26, 44, 7, 18, 99, 8, 10, 25, 31, 32, 45, 55",3853977819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3853977807,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3853977817,197,11586,3853977813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3853977811,130,13,3853977815,194,8zz5lnxo7twq8ntb7e0qfvbv9,3853977805,30,"aspoedbe2vkfbqaz67fc2ftg5, 39bcswfqnpa07b4afevezejo4, 4pbx40gvdmacim2n0k2qt41cl, 7t9bynn5mbmy3b0v9cduifxex, ae26s08xs4l50sfm0r6jbsley, 7hi9yit8aifyojt7i0kg69as5, 8zz5lnxo7twq8ntb7e0qfvbv9, e2nb1takpw6q7f6txp8xbfkk5, 87d73x3gkomc4soukr5uweqc5, 14xb29tv90y8uataijmh03rah, 72xzl0yjdetvqp2n1pmzyqvze, 7xw0h0pegzhoix5hb4hipj2l1, bz77hr28a1yskifpuvzu8smsq, c4brcsqfli5mds4vhma627yl1, eb1rih67f03kwljbge37id1ck, 27rm84dcrfa7ypfmpgbe37cic, 8o0a3k1bbim9y2kd6ljyoiwpg, 8az60zju3zh4ksk9w3p1jyxp0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894097,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-10-18T16:30:37.591Z,2022-10-18T16:30:40Z,3854069395,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894093,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-10-18T16:30:37.591Z,2022-10-19T12:48:27Z,3854069381,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894121,3,1,1,0,0,920raeoumft3q2wmvc296uceo,1,49.9,49.6,2022-10-18T16:30:37.611Z,2022-10-19T10:43:21Z,3854069539,213,2.7,3854069533,140,38.2,3854069541,279,S,3854069535,141,57.9,3854069531,56,Back,3855591451,178,,3854069537,212,13.5,,,,87d73x3gkomc4soukr5uweqc5,I. Mbenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894143,4,1,1,0,2,920raeoumft3q2wmvc296uceo,1,38.3,58.2,2022-10-18T16:30:39.938Z,2022-10-19T10:43:25Z,3854069653,56,Back,3854069655,140,33.6,3854069657,141,82.0,3854069661,213,1.9,3855591537,178,,3854069659,212,16.9,,,,,,,e2nb1takpw6q7f6txp8xbfkk5,R. Morioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894159,5,1,1,0,4,920raeoumft3q2wmvc296uceo,1,33.2,79.9,2022-10-18T16:30:42.587Z,2022-10-19T10:43:28Z,3854069737,56,Back,3854069741,141,47.9,3855591583,178,,3854069745,213,4.4,3854069743,212,22.7,3854069739,140,27.1,,,,,,,7t9bynn5mbmy3b0v9cduifxex,L. Bessilé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894193,6,1,1,0,7,920raeoumft3q2wmvc296uceo,1,26.9,49.4,2022-10-18T16:30:45.395Z,2022-10-19T10:43:33Z,3854069897,56,Back,3855591677,178,,3854069899,140,28.9,3854069901,141,26.4,3854069905,213,4.8,3854069903,212,15.8,,,,,,,ae26s08xs4l50sfm0r6jbsley,S. Andreou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894229,7,1,1,0,11,920raeoumft3q2wmvc296uceo,0,31.9,16.1,2022-10-18T16:30:48.851Z,2022-10-19T10:43:36Z,3855591733,178,,3854070133,212,45.1,3854070131,141,19.8,3854070135,213,0.1,3854070127,56,Right,3854070137,1,,3854070125,155,,3854070129,140,74.8,7hi9yit8aifyojt7i0kg69as5,J. Bager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894397,3,12,1,0,14,1uk609mhtsfhokhaewjapb26,1,28.6,81.1,2022-10-18T16:30:52.033Z,2022-10-19T10:43:42Z,3854071101,212,7.4,3854071103,213,1.0,3854071095,56,Back,3854071099,141,90.3,3854071097,140,32.3,3855591911,388,,,,,,,,5n522jpifzyf9qu0z41kuf7my,João Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
