id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,assist
2452625651,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-08-28T18:02:23Z,2022-08-28T19:11:30Z,3740986881,197,4954,3740986869,130,4,3740986861,30,"6sdv4s8oz558wfhx72vwlpvu2, 6wt29oce6gsthhpmhq705vl9m, 2xletuhhaxmfqbjbgq4ehpyol, eiqmp3nbc50r40bl86u2sj55h, 8qa4s74yhn2u9n5tm4mfi934k, c1grrjf29wtfgbni2qkydf9ey, 87aix2c3m5x08nsurhjql51p1, 7abgw25wb5amn0uq347d4x61h, 1ekfu3u2d9vh73lw2dzdcr1wq, 8xjlysmwl5vnhcnvsynftjd62, 1fu9y7gemoii89ejj7bkex78p, a67xx4g0dvxgvnqn86taup9ii, 77fldfqlxps1xbdg29anv4vai, 6r9qf9hptfwyefpsk9douhnt, ditnpqgspoih5ich7c5vn44fe, 1s48glvpagsxfh15j8ilh0fai, bjmg69xipgocepwk89487klih, 50iwwx11r99cvce6x8cp52c16",3740986877,194,eiqmp3nbc50r40bl86u2sj55h,3740986863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3740986865,59,"1, 2, 3, 8, 28, 35, 4, 23, 7, 11, 10, 22, 17, 14, 15, 20, 30, 33",3740986871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3740986887,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452625857,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-08-28T18:02:48.473Z,2022-08-28T18:02:48Z,3740987887,130,6,3740987895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740987885,59,"1, 32, 11, 8, 23, 2, 55, 7, 25, 9, 10, 20, 22, 24, 33, 35, 39, 45",3740987891,194,auqy1bigw2a1owxg441wojzyt,3740987883,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3740987893,197,8173,3740987889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3740987881,30,"6qlfe04qjldj3rkeeme6gdi39, 9qm1adecprlczxw7ldbpvoi51, bjhjz96omjukrg6tj3mny39t6, 7xs1rx9jos4ls85u362y9hqeh, bxcrdkrcljgx6l4o0uy4rom3t, 6z1isgjrlx4gbcjp5ekawdi39, 1ezai0a0n3xem17lwhtxwaml1, auqy1bigw2a1owxg441wojzyt, 7y2fbdkqsz35hgsib6rail1hx, 21545vwheo9a30u5hgnsrecmi, 50tfyk5k7qkm1kwv9rrneriwa, 2aemkadh3bhtgm5db8r89pvit, e2z19y8is5m24brpa3gzn02qx, 9kywhmzih4xhuz5d1rrxjcpd6, 5ujoracvgg00kzd0a8rh8oa1h, 1kr8slemziskw8bm2ir4shlud, dd711ekg0nlaosmsy2lz13syy, 96xomdtz505yoaz35i5bb8f84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452661235,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-08-28T19:00:08.072Z,2022-08-29T04:23:25Z,3741180615,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452661243,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-08-28T19:00:08.072Z,2022-08-28T19:00:10Z,3741180663,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452661259,3,1,1,0,0,9njsy633rh1tyri7l2jaju5o,1,49.9,50.1,2022-08-28T19:00:08.103Z,2022-08-29T05:15:57Z,3741180767,212,3.2,3741180771,279,S,3741180765,141,49.0,3742515931,178,,3741180763,140,46.9,3741180761,56,Back,3741180769,213,3.4,,,,8xjlysmwl5vnhcnvsynftjd62,K. N’Dri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452661275,4,1,1,0,2,9njsy633rh1tyri7l2jaju5o,0,55.2,52.9,2022-08-28T19:00:10.196Z,2022-08-29T16:03:10Z,3741180851,213,0.6,3742515973,178,,3741180845,141,69.0,3741180839,56,Center,3741180841,140,69.6,3741180849,212,18.7,,,,,,,87aix2c3m5x08nsurhjql51p1,J. Jeggo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452661405,3,1,1,0,3,2nhn3ikl1ciq34w3hcp883d6p,0,32.2,36.8,2022-08-28T19:00:11.415Z,2022-08-29T16:03:10Z,3741181539,56,Center,3741181549,1,,3741181541,140,86.0,3741181543,141,67.8,3741181545,212,60.3,3742516005,178,,3741181547,213,0.4,3741181537,157,,bxcrdkrcljgx6l4o0uy4rom3t,R. Seigers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452661521,5,1,1,0,12,9njsy633rh1tyri7l2jaju5o,1,15,34.5,2022-08-28T19:00:20.698Z,2022-08-29T16:03:09Z,3741182109,213,5.1,3741182101,56,Back,3741182103,140,19.9,3741182105,141,16.7,3742516035,178,,3741182107,212,13.2,,,,,,,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452661671,6,1,1,0,14,9njsy633rh1tyri7l2jaju5o,1,20.4,14.8,2022-08-28T19:00:22.865Z,2022-08-29T16:03:08Z,3741182897,140,9.6,3741182901,212,27.6,3741182895,56,Back,3741182903,213,2.0,3742516065,178,,3741182899,141,51.8,,,,,,,8qa4s74yhn2u9n5tm4mfi934k,R. Paeshuyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452661725,7,1,1,0,17,9njsy633rh1tyri7l2jaju5o,1,14.2,44,2022-08-28T19:00:26.056Z,2022-08-29T16:03:08Z,3741183151,56,Back,3741183159,213,1.2,3742516097,178,,3741183153,140,21.4,3741183155,141,75.4,3741183157,212,22.7,,,,,,,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
