id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/9/value,qualifier/10/value,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/value,qualifier/19/value
2461363231,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-09-17T17:59:38.822Z,2022-09-17T18:51:53Z,3787472013,197,6166,3787472003,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3787472007,130,8,3787472005,59,"1, 22, 11, 6, 23, 24, 35, 8, 9, 25, 5, 2, 4, 14, 20, 33, 45, 55",3787472001,30,"6qlfe04qjldj3rkeeme6gdi39, e2z19y8is5m24brpa3gzn02qx, bjhjz96omjukrg6tj3mny39t6, f3wwl40dd2xm8oeof6n6y7rhl, bxcrdkrcljgx6l4o0uy4rom3t, 9kywhmzih4xhuz5d1rrxjcpd6, 1kr8slemziskw8bm2ir4shlud, 7xs1rx9jos4ls85u362y9hqeh, 21545vwheo9a30u5hgnsrecmi, 7y2fbdkqsz35hgsib6rail1hx, 2j8y06wuinnx87eetadj55zo5, 6z1isgjrlx4gbcjp5ekawdi39, 8hl43dvm1d57g011yacyoooa1, 12c7rhdjh6rja1d2j45n3exyi, 2aemkadh3bhtgm5db8r89pvit, 5ujoracvgg00kzd0a8rh8oa1h, 96xomdtz505yoaz35i5bb8f84, 1ezai0a0n3xem17lwhtxwaml1",3787472015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3787472011,194,7y2fbdkqsz35hgsib6rail1hx,3787472009,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461363457,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-09-17T18:00:13.384Z,2022-09-17T18:53:14Z,3787473371,59,"16, 28, 38, 5, 21, 3, 26, 6, 18, 8, 7, 1, 2, 10, 12, 15, 25, 44",3787473377,194,8zz5lnxo7twq8ntb7e0qfvbv9,3787473367,30,"btyk45f7gmz3ck2dafpp22yg9, 6n1rvd0axpp159h9wkkd7lwfe, 39bcswfqnpa07b4afevezejo4, 7t9bynn5mbmy3b0v9cduifxex, ae26s08xs4l50sfm0r6jbsley, 3bhmh2ks5ma4rqda9zff6w251, 8zz5lnxo7twq8ntb7e0qfvbv9, 5ecklu1u6t21rhh8fh4zoq2cq, 14xb29tv90y8uataijmh03rah, 7xw0h0pegzhoix5hb4hipj2l1, 87d73x3gkomc4soukr5uweqc5, aspoedbe2vkfbqaz67fc2ftg5, 7hi9yit8aifyojt7i0kg69as5, bz77hr28a1yskifpuvzu8smsq, 4pbx40gvdmacim2n0k2qt41cl, d7ml58kwwpetvnw46qja9ru5m, c4brcsqfli5mds4vhma627yl1, e2nb1takpw6q7f6txp8xbfkk5",3787473375,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3787473373,130,17,3787473381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3787473379,197,11586,3787473369,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461404083,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-09-17T18:46:05.827Z,2022-09-18T02:00:48Z,3787705975,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461404091,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-09-17T18:46:05.827Z,2022-09-17T18:46:08Z,3787706019,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461404123,3,1,1,0,0,920raeoumft3q2wmvc296uceo,1,49.8,49.9,2022-09-17T18:46:05.877Z,2022-09-18T02:07:11Z,3788880783,178,,3787706195,279,S,3787706191,212,10.1,3787706187,140,40.6,3787706185,56,Back,3787706193,213,2.8,3787706189,141,54.3,,,,14xb29tv90y8uataijmh03rah,D. Heymans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461404135,4,1,1,0,2,920raeoumft3q2wmvc296uceo,1,43.7,51.5,2022-09-17T18:46:07.879Z,2022-09-18T08:25:48Z,3787706249,140,49.2,3788880871,178,,3787706251,141,49.1,3787706255,213,6.0,3787706247,56,Back,3787706253,212,6.0,,,,,,,5ecklu1u6t21rhh8fh4zoq2cq,A. Zorgane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461404165,5,1,1,0,2,920raeoumft3q2wmvc296uceo,1,50.2,49.4,2022-09-17T18:46:08.382Z,2022-09-18T08:25:48Z,3787706383,213,4.0,3787706379,141,44.5,3787706381,212,4.4,3787706375,140,47.5,3788881019,178,,3787706373,56,Back,,,,,,,14xb29tv90y8uataijmh03rah,D. Heymans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461404193,6,1,1,0,3,920raeoumft3q2wmvc296uceo,0,47.9,40.3,2022-09-17T18:46:09.610Z,2022-09-18T08:25:47Z,3787706455,56,Center,3787706461,212,2.7,3787706563,233,3,3788881317,178,,3787706567,286,,3787706561,236,,3787706463,213,0.1,3787706457,140,50.5,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,3787706459,141,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461404205,3,74,1,0,4,2nhn3ikl1ciq34w3hcp883d6p,1,51,61.9,2022-09-17T18:46:09.867Z,2022-09-18T08:25:47Z,3787706613,233,6,3787706493,56,Center,3788881391,178,,3787706495,285,,,,,,,,,,,,,,2j8y06wuinnx87eetadj55zo5,N. Chadli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461404255,7,1,1,0,5,920raeoumft3q2wmvc296uceo,0,49.5,29.7,2022-09-17T18:46:11.349Z,2022-09-18T08:25:46Z,3787706771,56,Right,3787706777,212,22.6,3787706775,141,0.0,3787706773,140,57.7,3788881479,178,,3787706779,213,5.1,,,,,,,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
