id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/15/value,qualifier/18/value
2499600763,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-01-22T11:36:17.736Z,2023-01-22T12:25:36Z,3989660235,59,"16, 13, 11, 34, 20, 8, 22, 61, 77, 28, 14, 5, 7, 10, 17, 21, 30, 51",3989660233,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3989660231,30,"bxcwnf87pf8ijzbxy70ewcfe1, eg2u042cthz9undb4xz0pu8rt, 93hp5gm29ke90ugdimd9xf949, corn6i066rh7c7veva0sm3oid, 76y4awqbdef5yxiovt27i57th, 187wxh3jjn8hqbu7fyw7wullh, cllq8xizuqut48xxqc3btz97u, 3z1lfdoy92bq8airglbhx32tw, d6r3vkalhudms84f6fs415wid, 6a0e28nxlyyw7ghe4wzumlzh1, 69ivqkcipxp15b7x5jl83ud49, 58t55r6jzo6bco6uf80pbkk8a, ajcblksnh113es9hzt7l5k8h5, 2bz8ey1mxuv6uo8duu7if6k4q, 464o8uslv6z2fdm269j97gt4a, bxudrqx99a3zv5gajdzxz38id, bci3k14ed9oqcchpmtq37rnx1, eq5hfgqm32c7qmj6xwp7j9iqc",3989660237,130,12,3989660239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3989660241,194,corn6i066rh7c7veva0sm3oid,3989660245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989660243,197,16292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499602045,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-01-22T11:39:09.545Z,2023-01-22T12:04:22Z,3989667089,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3989667087,130,8,3989667095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989667093,197,3769,3989667085,59,"1, 2, 34, 48, 23, 51, 11, 14, 18, 24, 10, 7, 17, 22, 26, 33, 52, 27",3989667083,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3989667091,194,9tc6mprxpu2rc5ptlp5ljw7h1,3989667081,30,"r0hm6ahwcvdu57bgfi5zkslx, 1h9jdj5ag99myeoirxzh92od1, cyh16toqa9wxmxepg635ecgve, a7ip51ik4rkqcvgdsh64ln09g, 9tc6mprxpu2rc5ptlp5ljw7h1, ecwzzrkn1snbua5yu4gehxm2, cl2mi40x3gjsan1iifpbwec4p, 9tgbdheyuooa8cfz06l577end, eg4piy0kcdtdopqpd3lcl5j2t, d19yalwh3i2olvpwoi89feqjt, dcjf15sf1dbb6w17foz25uuei, 8lrsefp53ez5jm3hd5fy8tck5, 2hr7skflmxmpiiauz04h185ey, 70h2g33o2w7f32dtx76wji99m, 4114auk4o8n6higc918qymc4p, 9gt3izdka3a0nh7r9uazkueqc, 783gcbge6tm3dosc9jou2jqc4, 2g24bv8fg4yqjr178u9w5uzv8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499623989,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-01-22T12:30:40.789Z,2023-01-22T12:30:41Z,3989781625,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499623995,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-01-22T12:30:40.789Z,2023-01-23T03:26:39Z,3989781645,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624047,3,1,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,49.8,50,2023-01-22T12:30:40.825Z,2023-01-23T03:39:43Z,3989781897,279,S,3989781889,140,34.9,3989781887,56,Back,3991540493,178,,3989781895,213,3.5,3989781893,212,17.0,3989781891,141,40.3,,,,cllq8xizuqut48xxqc3btz97u,W. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624051,4,1,1,0,5,5z1b7fuvpqe6vnigvopomvecu,1,43.8,30.5,2023-01-22T12:30:45.839Z,2023-01-23T08:24:43Z,3989781917,56,Center,3991540505,178,,3989781923,212,17.9,3989781925,213,0.3,3989781919,140,60.0,3989781921,141,38.5,,,,,,,187wxh3jjn8hqbu7fyw7wullh,G. Cimirot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624067,5,1,1,0,8,5z1b7fuvpqe6vnigvopomvecu,1,60.8,49.6,2023-01-22T12:30:48.879Z,2023-01-23T08:24:42Z,3989781981,141,61.2,3989781979,140,59.6,3989781977,56,Center,3989781985,213,1.7,3989781983,212,8.0,3991540531,178,,,,,,,,3z1lfdoy92bq8airglbhx32tw,C. Çanak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624099,6,1,1,0,10,5z1b7fuvpqe6vnigvopomvecu,1,61,64.5,2023-01-22T12:30:50.845Z,2023-01-23T08:24:41Z,3989782173,212,18.9,3989782175,213,1.6,3991540551,178,,3989782171,141,92.3,3989782169,140,60.7,3989782167,56,Left,,,,,,,69ivqkcipxp15b7x5jl83ud49,S. Alzate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624115,7,3,1,0,12,5z1b7fuvpqe6vnigvopomvecu,0,66.5,89,2023-01-22T12:30:52.799Z,2023-01-23T08:24:39Z,3989782243,56,Left,3989782245,286,,3989782281,233,3,3990869777,465,,3991540585,178,,,,,,,,,,,93hp5gm29ke90ugdimd9xf949,A. Dønnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624109,3,7,1,0,12,7zibyotq1x1hq6pmgibhr0e6s,0,33.5,11,2023-01-22T12:30:52.848Z,2023-01-23T08:24:39Z,3991540625,178,,3989782221,285,,3990869955,383,,3989782251,233,7,3989782217,56,Back,,,,,,,,,,cl2mi40x3gjsan1iifpbwec4p,A. Muja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624121,8,61,1,0,12,5z1b7fuvpqe6vnigvopomvecu,1,66.1,91.1,2023-01-22T12:30:53.039Z,2023-01-23T08:24:38Z,3989782275,56,Left,3991540645,178,,,,,,,,,,,,,,,,,,,,93hp5gm29ke90ugdimd9xf949,A. Dønnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624209,4,5,1,0,13,7zibyotq1x1hq6pmgibhr0e6s,1,28.4,-1.6,2023-01-22T12:30:54.439Z,2023-01-23T03:40:12Z,3989782807,233,9,3989782795,56,Back,3989782797,347,,,,,,,,,,,,,,,,,cl2mi40x3gjsan1iifpbwec4p,A. Muja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624125,9,5,1,0,13,5z1b7fuvpqe6vnigvopomvecu,0,71.6,101.6,2023-01-22T12:30:54.439Z,2023-01-23T03:40:13Z,3989782317,347,,3989782315,56,Left,3989782811,233,4,,,,,,,,,,,,,,,,93hp5gm29ke90ugdimd9xf949,A. Dønnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624219,5,1,1,0,25,7zibyotq1x1hq6pmgibhr0e6s,0,22,0,2023-01-22T12:31:06.512Z,2023-01-23T08:24:38Z,3989782845,56,Back,3989782841,107,,3989782847,140,38.5,3989782849,141,1.9,3989782853,213,0.1,3989782851,212,17.5,,,,,,,1h9jdj5ag99myeoirxzh92od1,R. De Laet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624245,10,1,1,0,27,5z1b7fuvpqe6vnigvopomvecu,0,60.1,94.8,2023-01-22T12:31:08.542Z,2023-01-23T08:24:37Z,3989783007,56,Center,3989783009,140,58.3,3989783013,212,13.8,3989783015,213,4.6,3991540753,388,,3989783011,141,74.7,3989783005,3,,,,,69ivqkcipxp15b7x5jl83ud49,S. Alzate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624249,6,1,1,0,30,7zibyotq1x1hq6pmgibhr0e6s,0,42.5,23.3,2023-01-22T12:31:11.593Z,2023-01-23T08:24:37Z,3989783033,140,42.5,3989783035,141,33.6,3989783031,56,Back,3989783037,212,7.0,3991540817,178,,3989783029,3,,3989783039,213,1.6,,,,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624255,11,8,1,0,31,5z1b7fuvpqe6vnigvopomvecu,1,57.1,68.1,2023-01-22T12:31:12.304Z,2023-01-23T08:24:36Z,3990872709,384,,3989783087,56,Center,3991540929,178,,,,,,,,,,,,,,,,,cllq8xizuqut48xxqc3btz97u,W. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624275,7,1,1,0,33,7zibyotq1x1hq6pmgibhr0e6s,1,33.7,49.5,2023-01-22T12:31:13.838Z,2023-01-23T08:24:36Z,3989783177,140,45.9,3989783179,141,88.7,3989783181,212,29.6,3989783183,213,1.1,3989783175,56,Back,3991541033,178,,,,,,,,ecwzzrkn1snbua5yu4gehxm2,W. Pacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624291,8,1,1,0,39,7zibyotq1x1hq6pmgibhr0e6s,1,60.9,90.1,2023-01-22T12:31:20.360Z,2023-01-23T08:24:33Z,3989783261,212,31.0,3989783263,213,3.2,3991541085,178,,3989783255,56,Back,3989783259,141,86.5,3989783257,140,31.5,,,,,,,cyh16toqa9wxmxepg635ecgve,J. Bataille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624341,9,1,1,0,42,7zibyotq1x1hq6pmgibhr0e6s,1,29.4,81,2023-01-22T12:31:23.534Z,2023-01-23T08:24:33Z,3989783497,56,Back,3989783501,140,31.2,3991541139,178,,3989783505,212,20.6,3989783507,213,4.8,3989783503,141,50.9,,,,,,,ecwzzrkn1snbua5yu4gehxm2,W. Pacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499624365,10,1,1,0,46,7zibyotq1x1hq6pmgibhr0e6s,1,32.6,43.6,2023-01-22T12:31:27.256Z,2023-01-23T08:24:31Z,3989783627,1,,3989783615,155,,3989783625,213,0.3,3989783623,212,42.9,3989783619,140,71.7,3989783617,56,Center,3991541211,178,,3989783621,141,61.7,9tc6mprxpu2rc5ptlp5ljw7h1,T. Alderweireld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
