id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2497867191,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-01-15T18:52:31.652Z,2023-01-15T20:03:01Z,3980558229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3980558223,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3980558235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980558221,30,"btyk45f7gmz3ck2dafpp22yg9, 6n1rvd0axpp159h9wkkd7lwfe, 4pbx40gvdmacim2n0k2qt41cl, 27rm84dcrfa7ypfmpgbe37cic, c4brcsqfli5mds4vhma627yl1, 7hi9yit8aifyojt7i0kg69as5, 14xb29tv90y8uataijmh03rah, 5ecklu1u6t21rhh8fh4zoq2cq, 87d73x3gkomc4soukr5uweqc5, 7xw0h0pegzhoix5hb4hipj2l1, 8zz5lnxo7twq8ntb7e0qfvbv9, aspoedbe2vkfbqaz67fc2ftg5, bz77hr28a1yskifpuvzu8smsq, d7ml58kwwpetvnw46qja9ru5m, ae26s08xs4l50sfm0r6jbsley, 39bcswfqnpa07b4afevezejo4, e2nb1takpw6q7f6txp8xbfkk5, 72xzl0yjdetvqp2n1pmzyqvze",3980558233,197,11586,3980558225,59,"16, 28, 12, 32, 25, 2, 18, 6, 7, 8, 26, 1, 10, 15, 21, 38, 44, 99",3980558227,130,10,3980558231,194,8zz5lnxo7twq8ntb7e0qfvbv9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497867219,1,34,16,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-01-15T18:53:21.747Z,2023-01-15T18:52:38Z,3980558375,130,18,3980558377,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3980558381,197,5434,3980558379,194,8jc7tw0nw37trgyli0oyz1soa,3980558373,59,"1, 34, 23, 18, 4, 5, 22, 14, 10, 36, 9, 7, 8, 11, 17, 24, 29, 89",3980558383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980558369,30,"d5ecnjd6h89iepxrvrlfn97ft, a0ecz4nlxrr62dcwixtmjiwyy, 5wn1xudozb4s78x0m8ch7vn8q, a5ls0i1ztco0zee3la61zv4rt, 52qemp1py9mm9unjvxaphv209, bmbn4q2uorkgosgaig6migpux, 2jhi0lbbo65dsfv4ho9pmlgix, 8jc7tw0nw37trgyli0oyz1soa, 2xba9p5cocj599cltnabjes45, 8d0ffyx2qnnp0limf5aou92ei, 1gzgkjei16r4lt2fvcedy1jvt, b13ly8cuyvgraih4y0wxuami2, enyx6hc9mfglu3w2robv9hd9m, ez9zc94k1nj4qxjf2hrvj5dgq, 3l1v52usaf9mmi9dwowdwv3e, 8am2h5qc7296fima2r4wam63u, 8tdpdb9i9liifn3gvaadzh08a, 9hnyebqut9tmn4q0m0y9n3kd1",3980558371,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884553,2,32,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2023-01-15T20:00:08.499Z,2023-01-15T20:00:08Z,3980647389,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884559,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-01-15T20:00:08.499Z,2023-01-16T04:23:31Z,3980647411,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884575,3,1,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,50,50,2023-01-15T20:00:08.527Z,2023-01-16T06:40:35Z,3980647497,279,S,3980647489,140,34.4,3980647495,213,3.1,3980647493,212,16.4,3980647487,56,Back,3980647491,141,50.3,3981034525,178,,,,,1gzgkjei16r4lt2fvcedy1jvt,K. Denkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884599,4,1,1,0,2,3ix9om1svhd6obl0mbk1otgop,1,28.2,48.9,2023-01-15T20:00:11.128Z,2023-01-16T12:08:20Z,3980647587,212,48.4,3980647585,141,8.8,3980647591,1,,3981034549,178,,3980647579,155,,3980647581,56,Right,3980647583,140,66.3,3980647589,213,5.7,a5ls0i1ztco0zee3la61zv4rt,S. Miangué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884609,5,1,1,0,5,3ix9om1svhd6obl0mbk1otgop,0,69.3,8.3,2023-01-15T20:00:14.247Z,2023-01-16T12:08:19Z,3980647625,213,0.0,3980647617,56,Right,3980647615,3,,3980647621,141,8.6,3980647619,140,88.8,3981034593,388,,3980647623,212,20.5,,,,a0ecz4nlxrr62dcwixtmjiwyy,T. Somers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884603,3,49,1,0,8,920raeoumft3q2wmvc296uceo,1,10.5,92,2023-01-15T20:00:17.079Z,2023-01-16T12:08:19Z,,,,,,,,,,,,,,,,,,,,,,,,,27rm84dcrfa7ypfmpgbe37cic,M. Boukamir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884619,4,1,1,0,8,920raeoumft3q2wmvc296uceo,0,10.5,92,2023-01-15T20:00:17.096Z,2023-01-16T12:08:18Z,3980647645,140,21.6,3980647647,141,100.0,3980647651,213,0.5,3981034665,178,,3980647641,157,,3980647653,1,,3980647649,212,13.3,3980647643,56,Back,27rm84dcrfa7ypfmpgbe37cic,M. Boukamir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884621,5,5,1,0,10,920raeoumft3q2wmvc296uceo,0,23.9,101.6,2023-01-15T20:00:19.058Z,2023-01-16T06:40:48Z,3980647657,347,,3980647655,56,Back,3980648043,233,6,,,,,,,,,,,,,,,,27rm84dcrfa7ypfmpgbe37cic,M. Boukamir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884715,6,5,1,0,10,3ix9om1svhd6obl0mbk1otgop,1,76.1,-1.6,2023-01-15T20:00:19.058Z,2023-01-16T06:40:48Z,3980648037,233,5,3980648031,56,Right,3980648033,347,,,,,,,,,,,,,,,,,a0ecz4nlxrr62dcwixtmjiwyy,T. Somers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884723,7,1,1,0,31,3ix9om1svhd6obl0mbk1otgop,0,84.5,0,2023-01-15T20:00:40.236Z,2023-01-16T12:08:18Z,3980648085,212,28.2,3980648087,213,1.2,3980648077,107,,3980648081,140,94.7,3980648079,56,Center,3980648089,1,,3980648083,141,36.4,,,,a5ls0i1ztco0zee3la61zv4rt,S. Miangué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884737,6,12,1,0,33,920raeoumft3q2wmvc296uceo,1,2.2,69,2023-01-15T20:00:41.999Z,2023-01-16T12:08:18Z,3980648151,212,12.5,3980648711,15,,3980648153,213,4.6,3980648149,141,50.7,3980648145,56,Back,3980648147,140,0.8,3981034757,388,,,,,14xb29tv90y8uataijmh03rah,D. Heymans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497884783,7,44,1,0,34,920raeoumft3q2wmvc296uceo,1,0.3,52.7,2023-01-15T20:00:43.493Z,2023-01-16T12:08:17Z,3980648355,285,,3980648371,233,8,3980648353,56,Back,,,,,,,,,,,,,,,,btyk45f7gmz3ck2dafpp22yg9,H. Koffi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
