id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value,assist
2527494865,1,34,16,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-04-02T13:14:06.834Z,2023-04-03T08:06:00Z,4157656763,197,13967,4157656757,130,13,4157656751,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4157656759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4157656749,30,"3wwi5vf2l1qbz7e5zdjoy8yga, b3vvxolwxcukqk76hb4scvh79, 5don85s7097g5df42m429b8ix, 6rarodhofviwmh5jd0ly8lp4a, 78fx1xqqtcqm2g4h1dj8beml1, 88nmn961vtb3bnt9v9rye1h0q, 143brmwsfow8o0svtdq98tiw9, 8f77xyqg4womglj1o8udq77qh, 8q7c0yi5x7vh7032jgbeytal1, 3q2ibq6hhxyht8046ib49ye39, 5yw1c3i4j9zyt52vomrfbxyol, 1qqhtdvpixhe5zt9mq9omsoh5, 8lj9hc8u1351oczzu81mryluc, 3z37ancgteqhbhpygl0brzzdh, drjbms71w0kt1pidq8q17h05w, cu3a4pb4a9g6d0qir3oakd46i, 7je01bs3a4q6c2gd02ee6da3u, anx0hiu9yn8szbjk3994u7njd",4157656765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157656761,194,78fx1xqqtcqm2g4h1dj8beml1,4157656753,59,"16, 62, 7, 5, 14, 56, 21, 18, 9, 36, 11, 3, 29, 30, 32, 55, 61, 71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527501241,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-04-02T13:18:41.196Z,2023-04-03T08:05:34Z,4157690967,194,eiqmp3nbc50r40bl86u2sj55h,4157690965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4157690961,59,"1, 2, 10, 3, 4, 5, 35, 15, 8, 11, 25, 13, 6, 9, 23, 27, 28, 33",4157690971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157690969,197,8121,4157690959,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4157690963,130,18,4157690957,30,"6sdv4s8oz558wfhx72vwlpvu2, 6wt29oce6gsthhpmhq705vl9m, 1fu9y7gemoii89ejj7bkex78p, 2xletuhhaxmfqbjbgq4ehpyol, 90fea2mfl0soc0gsk88z2m2mt, 7t9bynn5mbmy3b0v9cduifxex, c1grrjf29wtfgbni2qkydf9ey, ditnpqgspoih5ich7c5vn44fe, eiqmp3nbc50r40bl86u2sj55h, 8xjlysmwl5vnhcnvsynftjd62, 6pmuxgyfaqn2h0x69o5l1mq22, 1oux70eo5dakzh697p0j7kpre, ag74mepy9fnmlykodxo0oxhwp, codwa9jioox7i007f4iazwst1, 7abgw25wb5amn0uq347d4x61h, 41gpjj5od0ww4rnopzgp1oetw, 8qa4s74yhn2u9n5tm4mfi934k, 50iwwx11r99cvce6x8cp52c16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527546991,2,32,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-04-02T14:00:21.779Z,2023-04-02T14:00:21Z,4157932843,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527547011,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-04-02T14:00:21.779Z,2023-04-02T23:15:28Z,4157932939,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527547025,3,1,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,49.8,50.1,2023-04-02T14:00:21.782Z,2023-04-03T06:23:39Z,4157933009,279,S,4157933007,213,2.7,4157933005,212,15.7,4157933001,140,36.5,4157933003,141,60.5,4160425373,178,,4157932999,56,Back,,,,8q7c0yi5x7vh7032jgbeytal1,B. Raman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527547101,4,1,1,0,1,6vyr13j6kbwdtxjwm1m4m8nu2,1,36.6,60.6,2023-04-02T14:00:23.750Z,2023-04-03T06:23:42Z,4157933375,212,26.1,4157933371,140,29.6,4157933377,213,4.4,4157933369,56,Back,4157933373,141,23.7,4160425413,178,,,,,,,,143brmwsfow8o0svtdq98tiw9,A. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527547137,5,1,1,0,5,6vyr13j6kbwdtxjwm1m4m8nu2,0,29.5,22.4,2023-04-02T14:00:26.933Z,2023-04-03T06:23:46Z,4159363339,155,,4157933577,56,Right,4157933579,140,60.0,4157933583,212,36.1,4157933587,1,,4157933585,213,5.8,4157933581,141,0.0,4160425471,178,,88nmn961vtb3bnt9v9rye1h0q,Z. Debast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527547203,3,5,1,0,8,9njsy633rh1tyri7l2jaju5o,1,38.4,102,2023-04-02T14:00:30.613Z,2023-04-03T06:23:50Z,4157933919,347,,4157933965,233,6,4157933917,56,Back,,,,,,,,,,,,,,,,6pmuxgyfaqn2h0x69o5l1mq22,D. Gassama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527547143,6,5,1,0,8,6vyr13j6kbwdtxjwm1m4m8nu2,0,61.6,-2,2023-04-02T14:00:30.613Z,2023-04-03T06:23:50Z,4157933971,233,3,4157933599,347,,4157933597,56,Right,,,,,,,,,,,,,,,,88nmn961vtb3bnt9v9rye1h0q,Z. Debast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527547243,4,1,1,0,15,9njsy633rh1tyri7l2jaju5o,1,36.7,100,2023-04-02T14:00:36.949Z,2023-04-03T06:23:53Z,4157934073,107,,4157934081,212,13.7,4157934079,141,82.7,4157934083,213,5.0,4157934075,56,Back,4157934077,140,40.4,,,,,,,2xletuhhaxmfqbjbgq4ehpyol,J. Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
