id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/13/value,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2458035503,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-09-10T15:19:09.264Z,2022-09-10T15:59:07Z,3769755001,30,"99eumu17h5sxriw5vfczvdb6d, 2rn8mnhlrtrbm6du97f54zckq, 78n7z9tmen93v4l0nj1vnlujt, 243h2yiww7rrz20i0le43jtux, 2hj88r72bbwnhqx12tv13jmqx, ew1thxs8j5mwwqh075kzsjq0a, 3s0tyude1pghox634ij87srft, 92resfejh2m1oygglkjdk0u7d, 58qrdtv5emnvcojqkmnpx5ffu, 65js4yds9vyg0iyck8xh10frp, b3y2ov2ju75fr5u5e2rerj1ex, d0itp0eyxewvnm2shm0manw7p, 3m13ipluel0m6cotha7n7vrop, 6y2s58f539ax7s9np2jao0tn8, 8thfkx6q306ewh6mlba8ztqzt, 5ghjnuqhf7kvbwqlo8jqv0bqi, 9m3bkbdedtddfeix57rj2f7c9, 3are60mt98ibeazgcyjvuy7tg",3769755015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769755013,197,8908,3769755007,130,18,3769755005,59,"28, 18, 99, 3, 33, 2, 16, 10, 34, 68, 9, 1, 7, 19, 23, 29, 77, 90",3769755011,194,2hj88r72bbwnhqx12tv13jmqx,3769755009,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3769755003,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458036735,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-09-10T15:20:34.619Z,2022-09-10T19:42:24Z,3769761179,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769761167,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3769761177,197,4954,3769761173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3769761169,59,"1, 2, 3, 8, 28, 35, 4, 24, 22, 10, 7, 9, 11, 14, 15, 21, 25, 33",3769761171,130,4,3769761175,194,eiqmp3nbc50r40bl86u2sj55h,3769761165,30,"6sdv4s8oz558wfhx72vwlpvu2, 6wt29oce6gsthhpmhq705vl9m, 2xletuhhaxmfqbjbgq4ehpyol, eiqmp3nbc50r40bl86u2sj55h, 8qa4s74yhn2u9n5tm4mfi934k, c1grrjf29wtfgbni2qkydf9ey, 87aix2c3m5x08nsurhjql51p1, 6s5hiok2ywsv4kfxfql8iorth, a67xx4g0dvxgvnqn86taup9ii, 1fu9y7gemoii89ejj7bkex78p, 1ekfu3u2d9vh73lw2dzdcr1wq, codwa9jioox7i007f4iazwst1, 8xjlysmwl5vnhcnvsynftjd62, 6r9qf9hptfwyefpsk9douhnt, ditnpqgspoih5ich7c5vn44fe, 4rkl9bef513htcb8toe8lvkyx, 6pmuxgyfaqn2h0x69o5l1mq22, 50iwwx11r99cvce6x8cp52c16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070263,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-09-10T16:15:49.780Z,2022-09-10T16:15:52Z,3769945595,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070249,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-09-10T16:15:49.780Z,2022-09-10T22:05:14Z,3769945551,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070279,3,1,1,0,0,9njsy633rh1tyri7l2jaju5o,1,50,50.1,2022-09-10T16:15:49.813Z,2022-09-11T00:50:40Z,3769945721,56,Back,3769945731,279,S,3769945727,212,14.6,3769945725,141,61.4,3771768875,178,,3769945729,213,2.6,3769945723,140,38.2,,,,a67xx4g0dvxgvnqn86taup9ii,S. Soumano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070313,4,1,1,0,2,9njsy633rh1tyri7l2jaju5o,1,47.5,52.7,2022-09-10T16:15:52.001Z,2022-09-11T07:02:02Z,3771768879,178,,3769945931,140,36.3,3769945939,213,2.0,3769945929,56,Back,3769945933,141,95.0,3769945935,212,31.1,,,,,,,87aix2c3m5x08nsurhjql51p1,J. Jeggo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070399,5,1,1,0,4,9njsy633rh1tyri7l2jaju5o,1,41.9,88.5,2022-09-10T16:15:54.665Z,2022-09-11T07:02:01Z,3769946409,1,,3769946399,56,Left,3769946403,141,93.9,3771768935,178,,3769946405,212,43.2,3769946407,213,0.1,3769946397,155,,3769946401,140,82.9,2xletuhhaxmfqbjbgq4ehpyol,J. Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458071197,16,50,1,0,8,9njsy633rh1tyri7l2jaju5o,1,87,91.5,2022-09-10T16:15:58.490Z,2022-09-11T06:43:23Z,3769950859,286,,3769950857,56,Left,3769952063,233,3,,,,,,,,,,,,,,,,6s5hiok2ywsv4kfxfql8iorth,M. Wakaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070381,3,7,1,0,9,2b57rbw94i9ohnbch52owvqtq,0,13,8.5,2022-09-10T16:15:59.368Z,2022-09-11T06:43:24Z,3770861545,383,,3769946313,285,,3771768995,178,,3769946311,56,Back,3769952027,233,16,,,,,,,,,,2hj88r72bbwnhqx12tv13jmqx,A. Tanghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458070417,6,1,1,0,11,9njsy633rh1tyri7l2jaju5o,0,98.1,91.5,2022-09-10T16:16:01.438Z,2022-09-11T07:02:00Z,3769946489,140,90.3,3769946477,2,,3769946501,213,4.4,3770862065,72,,3770862063,224,,3769946485,56,Center,3769946493,141,55.1,3771769031,178,,6s5hiok2ywsv4kfxfql8iorth,M. Wakaso,3769946481,155,3769946497,212,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
