id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,keyPass,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/18/value
2498703415,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-01-19T19:03:27.233Z,2023-01-19T21:11:21Z,3984929369,130,17,3984929377,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3984929367,59,"21, 4, 7, 20, 37, 22, 14, 27, 91, 30, 8, 11, 12, 13, 16, 19, 26, 77",3984929365,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3984929375,197,12101,3984929363,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, bk9fq3chnhmw3u36qz5vf1vjd, 12lkxylg8puzxow8ewpsd0b11, 4fc3xit5tx2o583prbwhkq8d1, 9qafk5ke1yzqggkcmf1zqevp, cqpgxrqear6p6pz3p8r3xvh90, 9rwn5wckqcb5inw1dhhmpj1t5, 9mmwn9yt1olhyr54j45e28xcl, 4rwvkp9xlyv314ceglbauou6t, b24ytr3apnyp7z17c124tu1yi, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, bc5vmdnoyshdi5hcgu8dgqxyi, esvfsx8gxqw8h0codqz5xmnmc, 7n75ohdnbi436je81n5f8f9m2, 5a2sf4o445ei5pqiinvmjmpcl, eakj3xa0pa88pajbvasbwqwdm",3984929373,194,4fc3xit5tx2o583prbwhkq8d1,3984929371,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498703587,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-01-19T19:03:29.862Z,2023-01-20T10:19:51Z,3984930339,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3984930345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3984930347,194,x3g0yyxs0j4o8fxphxtf0st1,3984930349,197,16049,3984930341,59,"22, 77, 14, 15, 6, 94, 20, 27, 70, 17, 10, 9, 19, 26, 28, 32, 44, 91",3984930343,130,4,3984930337,30,"byfrgpc6tgz8lto1gor03y5sl, 6tvnsmtj9mma96e8famksevv9, 16o074zua15qkk7x0me7gi1w4, mkq18lpl3d44wxq974mci5wq, bgzvhtk50gvmq6noheadmc34l, cn6uwymow3ewbnr6niqumao0k, x3g0yyxs0j4o8fxphxtf0st1, ecnh65kkhku5mdkr3il4fl6tx, 32eyq4xvy8s1ng11jnavvh32t, acx78ftnm61hm01wpmme77hbe, 7ew7g18qo649t8ld44omgib55, 9mlj7fxon5zy1qmktvvcwjrl6, 4f8xb5sbyksacxmifi375h7qi, 13d7ao0j091449ia61cuut87p, 99jqn2osue4tyo1l7yb93s639, 8mkkchf0ysdf78r0lncd73klw, l6y4o9t2b0jxaxo85oztok45, 398isvyux7zpjiwa2hzsxyc16",3984930351,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712095,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-01-19T19:53:30.359Z,2023-01-19T19:53:30Z,3984969177,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712103,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-01-19T19:53:30.359Z,2023-01-20T03:57:33Z,3984969179,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712107,3,1,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,49.8,49.7,2023-01-19T19:53:30.392Z,2023-01-20T04:09:27Z,3984969185,56,Back,3984969187,140,39.9,3984969193,213,2.5,3984969191,212,12.6,3984969189,141,60.3,3985218591,178,,3984969195,279,S,,,,32eyq4xvy8s1ng11jnavvh32t,R. Yaremchuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712109,4,1,1,0,1,1oyb7oym5nwzny8vxf03szd2h,1,41.7,54.2,2023-01-19T19:53:31.851Z,2023-01-20T07:43:40Z,3984969205,141,47.8,3984969207,212,11.0,3985220047,178,,3984969201,56,Center,3984969203,140,51.3,3984969209,213,5.9,,,,,,,mkq18lpl3d44wxq974mci5wq,R. Onyedika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712111,5,1,1,0,2,1oyb7oym5nwzny8vxf03szd2h,1,49.9,46.7,2023-01-19T19:53:32.567Z,2023-01-20T07:43:39Z,3984969223,213,0.9,3984969221,212,6.3,3984969217,140,53.6,3985220107,178,,3984969215,56,Center,3984969219,141,53.9,,,,,,,x3g0yyxs0j4o8fxphxtf0st1,H. Vanaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712115,6,1,1,0,3,1oyb7oym5nwzny8vxf03szd2h,0,52.7,56.5,2023-01-19T19:53:34.341Z,2023-01-20T07:43:38Z,3984969245,213,6.0,3984969239,140,66.5,3984969237,56,Center,3984969243,212,15.2,3985220115,178,,3984969241,141,49.6,,,,,,,7ew7g18qo649t8ld44omgib55,N. Lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712117,3,1,1,0,5,2989v3kho9h5jaboe1nr7lx21,0,29.3,54,2023-01-19T19:53:35.377Z,2023-01-20T07:43:38Z,3984969259,213,0.2,3985220179,178,,3984969255,141,64.4,3984969257,212,35.9,3984969251,56,Center,3984969261,1,,3984969253,140,62.8,3984969249,157,,4fc3xit5tx2o583prbwhkq8d1,T. Leistner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712127,7,1,1,0,8,1oyb7oym5nwzny8vxf03szd2h,0,42.6,47.2,2023-01-19T19:53:38.438Z,2023-01-20T07:43:37Z,3984969283,212,20.4,3984969281,141,26.5,3984969279,140,56.7,3984969285,213,5.5,3985220207,178,,3984969277,56,Center,3984969275,3,,,,,bgzvhtk50gvmq6noheadmc34l,D. Odoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712139,4,1,1,0,10,2989v3kho9h5jaboe1nr7lx21,0,44.9,65.3,2023-01-19T19:53:40.967Z,2023-01-20T07:43:37Z,3985220231,388,,3984969329,212,7.5,3984969321,3,,3984969331,213,5.0,3984969323,56,Back,3984969325,140,46.8,3984969327,141,54.6,,,,9rwn5wckqcb5inw1dhhmpj1t5,F. Boya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712137,8,44,1,0,11,1oyb7oym5nwzny8vxf03szd2h,1,47.5,43.7,2023-01-19T19:53:42.322Z,2023-01-20T07:43:36Z,3984969317,56,Back,3984969353,233,5,3984969319,285,,,,,,,,,,,,,,,,,mkq18lpl3d44wxq974mci5wq,R. Onyedika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712141,5,44,1,0,11,2989v3kho9h5jaboe1nr7lx21,0,52.5,56.3,2023-01-19T19:53:42.323Z,2023-01-20T07:43:36Z,3984969357,233,8,3984969335,56,Center,3984969337,286,,,,,,,,,,,,,,,,,b24ytr3apnyp7z17c124tu1yi,D. Hayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712143,9,1,1,0,12,1oyb7oym5nwzny8vxf03szd2h,1,48.2,41.9,2023-01-19T19:53:42.393Z,2023-01-20T07:43:35Z,3984969339,3,,3985220279,388,,3984969349,213,1.0,3984969347,212,22.3,3984969345,141,68.8,3984969343,140,60.4,3984969341,56,Center,,,,mkq18lpl3d44wxq974mci5wq,R. Onyedika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712145,10,1,1,0,12,1oyb7oym5nwzny8vxf03szd2h,1,55.9,50.8,2023-01-19T19:53:43.293Z,2023-01-20T07:43:35Z,3984969361,56,Back,3984969363,140,43.5,3985220349,178,,3984969365,141,74.7,3984969367,212,20.8,3984969369,213,2.2,,,,,,,7ew7g18qo649t8ld44omgib55,N. Lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
