id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2498670883,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-01-19T16:40:53.129Z,2023-01-19T19:33:13Z,3984746479,197,3190,3984746477,194,18pgjfpl9s8qy32mblzygsyc5,3984746471,59,"1, 14, 7, 2, 5, 4, 24, 13, 11, 19, 16, 9, 10, 17, 22, 23, 29, 33",3984746475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3984746469,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3984746467,30,"6q53ei01tbb5kxjr1mhfjysph, 7dayrhr0c60zbc1b6lig8pm8l, 8fs5klbsyx06c5ds9s1i3xu96, ettrapmxg36vw2egivejegzc9, etos5xv3v2ptiktdk5yuhrjkl, bhh6z1ezmsngsu3isbsur2mp6, 18pgjfpl9s8qy32mblzygsyc5, 99tf4co0pm09ayca13ma3lql1, 1khy4w78z012p8z20gcp0nrvt, 2igz499o21aihmkugktp3nyms, cxa3j4u8eh5w947p1iba47yfo, dgwhg6g9oys6as69cqcgyi9xx, 7dnxkce4kn8qchaavv6e4tm21, 1d2fpmtdglpqwyhnc657n77it, 2cc5y9hjnc8nqrh58ojz6ajth, fs5utga62tud5s06xj27qdat, b9wew8z92aj36vvxfj3q7kxcl, be0ws51ws5cm9wzmcp3ozmklx",3984746473,130,18,3984746481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498673319,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-01-19T16:49:05.263Z,2023-01-19T19:33:14Z,3984759499,130,12,3984759497,59,"16, 28, 12, 32, 25, 2, 18, 6, 7, 99, 26, 1, 3, 8, 10, 21, 38, 44",3984759507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3984759501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3984759505,197,11586,3984759493,30,"btyk45f7gmz3ck2dafpp22yg9, 6n1rvd0axpp159h9wkkd7lwfe, 4pbx40gvdmacim2n0k2qt41cl, 27rm84dcrfa7ypfmpgbe37cic, c4brcsqfli5mds4vhma627yl1, 7hi9yit8aifyojt7i0kg69as5, 14xb29tv90y8uataijmh03rah, 5ecklu1u6t21rhh8fh4zoq2cq, 87d73x3gkomc4soukr5uweqc5, 72xzl0yjdetvqp2n1pmzyqvze, 8zz5lnxo7twq8ntb7e0qfvbv9, aspoedbe2vkfbqaz67fc2ftg5, 3bhmh2ks5ma4rqda9zff6w251, 7xw0h0pegzhoix5hb4hipj2l1, bz77hr28a1yskifpuvzu8smsq, ae26s08xs4l50sfm0r6jbsley, 39bcswfqnpa07b4afevezejo4, e2nb1takpw6q7f6txp8xbfkk5",3984759503,194,8zz5lnxo7twq8ntb7e0qfvbv9,3984759495,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498684567,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-01-19T17:30:25.152Z,2023-01-20T05:25:20Z,3984819933,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498684565,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-01-19T17:30:25.152Z,2023-01-19T17:30:25Z,3984819929,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498684587,3,1,1,0,0,920raeoumft3q2wmvc296uceo,1,49.9,49.6,2023-01-19T17:30:25.196Z,2023-01-20T06:01:30Z,3984820013,212,5.7,3984820015,213,3.1,3984820011,141,49.7,3984820017,279,S,3985243605,178,,3984820009,140,44.5,3984820007,56,Back,,,,72xzl0yjdetvqp2n1pmzyqvze,A. Hosseinzadeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498684591,4,1,1,0,1,920raeoumft3q2wmvc296uceo,1,41.5,49.7,2023-01-19T17:30:26.854Z,2023-01-20T10:21:56Z,3985243849,178,,3984820045,140,49.0,3984820043,56,Back,3984820047,141,70.1,3984820049,212,16.0,3984820051,213,1.1,,,,,,,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498684599,5,1,1,0,3,920raeoumft3q2wmvc296uceo,1,48,69.5,2023-01-19T17:30:28.659Z,2023-01-20T10:21:55Z,3984820095,141,70.0,3984820093,140,23.3,3984820091,56,Back,3985243879,178,,3984820097,212,25.9,3984820099,213,3.1,,,,,,,87d73x3gkomc4soukr5uweqc5,I. Mbenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498684623,6,1,1,0,5,920raeoumft3q2wmvc296uceo,1,31.4,69.2,2023-01-19T17:30:31.024Z,2023-01-20T10:21:54Z,3985243895,178,,3984820239,140,3.9,3984820243,212,38.9,3984820237,56,Back,3984820245,213,3.9,3984820241,141,30.9,3984820247,1,,,,,27rm84dcrfa7ypfmpgbe37cic,M. Boukamir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498684649,7,1,1,0,12,920raeoumft3q2wmvc296uceo,0,14.8,40.3,2023-01-19T17:30:37.924Z,2023-01-20T10:21:52Z,3984820373,1,,3984820367,141,49.3,3984820369,212,41.3,3984820361,155,,3984820371,213,0.1,3984820365,140,53.7,3984820363,56,Center,3985243925,178,,btyk45f7gmz3ck2dafpp22yg9,H. Koffi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498684657,3,49,1,0,15,8y3iucyxguipljcmf87a11bk9,1,42.7,50.3,2023-01-19T17:30:40.628Z,2023-01-20T10:21:52Z,,,,,,,,,,,,,,,,,,,,,,,,,etos5xv3v2ptiktdk5yuhrjkl,M. Ngadeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
