id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,qualifier/15/value,qualifier/16/value,assist,qualifier/14/value
2502244297,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2023-01-29T19:18:45.280Z,2023-01-30T10:05:25Z,4003443165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4003443169,197,3313,4003443157,30,"jflu7a5n4f3ezoj20z0kje5m, 3yb66hal4fvr04bawz0y3efhl, d1rgv9cgncdgr1h61phrxoc89, ama1ibpjcfu206icrfmkgfavp, 68vmg4qgr11vppc48hs8402jt, 5enjhxrx2jrjqtgb9wwq0baax, 1b6ab1mqzvhk547p0bdzbccfd, a8k3ubqsi0duc3g4u5jnvcoa1, 7wh91ajt4v3w9kfdpp5hf5mmt, 7jpasvui43tnyao6ijyuuyuqc, 9pvc7e65cfgtuipfen5zt463t, a3on8aipuz77wn25jm2r312lm, cma24hkdklib8007a42cso38q, 5qpyf80if6m1o5vkwf1yt034l, 14w9q2mu6yq235ic55fxs0w2y, 19htxtc8lmbfsv83py7hzqb8q, 1e7snjsrbh93xt5ti1oyuqxka, 7zmgaactx19n77j9fl08pahyi",4003443161,59,"26, 23, 5, 17, 46, 2, 28, 8, 18, 34, 11, 3, 4, 7, 10, 14, 19, 40",4003443159,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4003443171,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4003443163,130,6,4003443167,194,a8k3ubqsi0duc3g4u5jnvcoa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502251175,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-01-29T19:52:14.148Z,2023-01-29T20:30:44Z,4003488231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4003488219,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4003488223,130,7,4003488227,194,1acbm9228tfggjx7htxjtcvrp,4003488221,59,"30, 2, 18, 23, 4, 99, 21, 5, 29, 6, 14, 7, 16, 17, 27, 28, 35, 40",4003488217,30,"7nlpu8ocv423vqaooks0hifze, af8gj4w5eg8rdl4iq7fi8aa96, 187qa5icsve3oak3t90r6rhsl, 1acbm9228tfggjx7htxjtcvrp, 6iu350lkyhy6tcll5gfo4vy3u, a52575bcqr3acuweauiyzsb56, 9bnvh1i6mu45yvkz257c0x1at, apusqhva0hdbf7zqb3twgeoa2, 6h8nr55ieqsaiscoxje2ihmhg, 4e5jvz1t60a2l67c5a9r2qne, e44sv1k4belucgkkem7qtkpd6, 7ruin2kz9zjzba57tdbec7n4l, 3j1vhujla834m422svmrdh3pw, cahevdu5yhhnh8qlj969b6dw, 6cztmz0yq3ifdkkz4hpe47krt, 89m2i076rpwreyl8h1o9kc6xg, bpxafwc30rerxmgju6rcau8kp, 5oa6glaxweluggb6odyxb4uz9",4003488229,197,8175,4003488225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502252871,2,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-01-29T20:01:52.945Z,2023-01-29T20:01:53Z,4003500853,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502252877,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2023-01-29T20:01:52.945Z,2023-01-30T07:52:11Z,4003500877,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502252893,3,1,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,50,50,2023-01-29T20:01:53.003Z,2023-01-30T09:13:10Z,4003500975,213,2.7,4003500967,56,Back,4003500971,141,54.2,4003500977,279,S,4003500969,140,44.3,4003500973,212,6.6,4003516485,278,,4004122273,178,,6h8nr55ieqsaiscoxje2ihmhg,E. Ifoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502252911,4,1,1,0,1,jb4xejoxjfk5a0a50bo8hvst,1,45.4,52.2,2023-01-29T20:01:54.155Z,2023-01-30T12:13:11Z,4004122335,178,,4003501101,140,32.3,4003501105,212,22.1,4003501103,141,26.8,4003501107,213,4.0,4003501099,56,Back,,,,,,,4e5jvz1t60a2l67c5a9r2qne,M. Cachbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502252927,5,1,1,0,4,jb4xejoxjfk5a0a50bo8hvst,1,28.9,37.2,2023-01-29T20:01:56.963Z,2023-01-30T12:13:11Z,4003501193,56,Back,4003501197,141,53.0,4003501199,212,10.7,4004122353,178,,4003501201,213,1.6,4003501195,140,29.0,,,,,,,6iu350lkyhy6tcll5gfo4vy3u,M. Tshibuabua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502252935,6,1,1,0,7,jb4xejoxjfk5a0a50bo8hvst,1,23.4,60.4,2023-01-29T20:02:00.343Z,2023-01-30T12:13:10Z,4003501247,56,Back,4004122375,178,,4003501253,212,19.5,4003501251,141,32.5,4003501255,213,4.9,4003501249,140,27.5,,,,,,,a52575bcqr3acuweauiyzsb56,M. Mbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502252957,7,1,1,0,9,jb4xejoxjfk5a0a50bo8hvst,1,20.7,32.4,2023-01-29T20:02:02.664Z,2023-01-30T12:13:10Z,4003501371,140,30.6,4003501375,212,17.9,4004122389,178,,4003501373,141,11.0,4003501369,56,Back,4003501377,213,5.3,,,,,,,6iu350lkyhy6tcll5gfo4vy3u,M. Tshibuabua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502252963,8,1,1,0,11,jb4xejoxjfk5a0a50bo8hvst,1,24.5,4.5,2023-01-29T20:02:04.251Z,2023-01-30T12:13:09Z,4003501447,140,49.5,4004122403,178,,4003501453,213,0.1,4003501451,212,26.3,4003501445,56,Back,4003501449,141,6.7,,,,,,,af8gj4w5eg8rdl4iq7fi8aa96,A. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
