id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/15/value,qualifier/16/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2530451623,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-04-08T17:45:10.006Z,2023-04-08T18:47:32Z,4173352243,59,"1, 18, 19, 23, 2, 14, 24, 8, 20, 11, 13, 4, 7, 10, 25, 31, 33, 34",4173352251,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4173352259,197,3312,4173352247,130,12,4173352255,194,9hiut57u02lly1nfdixef8bth,4173352239,30,"6q53ei01tbb5kxjr1mhfjysph, 7s4ws0u4erq1jfobqpsj0aoes, 2igz499o21aihmkugktp3nyms, fs5utga62tud5s06xj27qdat, ettrapmxg36vw2egivejegzc9, 7dayrhr0c60zbc1b6lig8pm8l, 18pgjfpl9s8qy32mblzygsyc5, 9hiut57u02lly1nfdixef8bth, adrn1x15rsehvnava8q9ofuvo, 1khy4w78z012p8z20gcp0nrvt, 99tf4co0pm09ayca13ma3lql1, bhh6z1ezmsngsu3isbsur2mp6, 8fs5klbsyx06c5ds9s1i3xu96, 7dnxkce4kn8qchaavv6e4tm21, c517lc5fmsd9ugk638s2o9iad, eyvf8uu7jltbzalaov3qt1w5, be0ws51ws5cm9wzmcp3ozmklx, 87ccrt89k5abyjisix22g08ut",4173352263,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4173352241,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530462031,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2023-04-08T17:59:36.826Z,2023-04-09T10:35:26Z,4173410551,30,"a8kdcx3797ityilpw31jaj4r9, aajft01g5yggw0is5fbfh3105, e44w6g1c1ojf854svzswpl0x5, 1i1xcco82x0ppbac6j5z59x49, 5w0ohhrm0ojscyjh3e0o8ffmd, 7bwjxz6bwt7h070dbv1l8woyy, 5j13tgvpwi7m3y6rjd8q08tt5, 6xam5bquregefbepxd9rwfdh, a6cke0ad2pvuyahweuch772ay, ai5p5wgft6c09bjbldz9sfeac, 39tod1iad3ztq17qveh8pwp9l, 7a6hqi5iy91onh9u7l7t88tbe, 3erazo7mu37w7uszk0z7k1uui, 81sfrpdzz1nymxg1b5noo67ai, ths196pehnfyf4f4scmqj8ph, di9k6xr6j4arjoltl7s9yp6cq, f0ean6buvvp9l4rh1ayvnnill, 15odj8wui8136996wi2d5t7md",4173410561,194,6xam5bquregefbepxd9rwfdh,4173410559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4173410563,197,8159,4173410557,130,12,4173410555,59,"49, 2, 94, 44, 16, 59, 8, 10, 7, 11, 20, 6, 14, 18, 19, 23, 26, 29",4173410553,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4173410565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530509887,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2023-04-08T18:46:11.466Z,2023-04-08T18:46:14Z,4173668377,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530509875,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-04-08T18:46:11.466Z,2023-04-09T03:19:08Z,4173668335,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530509893,3,1,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,49.8,50,2023-04-08T18:46:11.484Z,2023-04-09T04:31:29Z,4173668407,141,49.4,4173668405,140,26.1,4173668403,56,Back,4173668413,213,3.2,4175194851,178,,4173668417,279,S,4173668409,212,24.9,,,,6xam5bquregefbepxd9rwfdh,T. Teuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530510017,4,1,1,0,3,ecj1gmc7pqcjo4sc9hvghj5u3,1,25.1,47.8,2023-04-08T18:46:14.556Z,2023-04-09T10:15:42Z,4173669013,213,1.3,4173669003,56,Back,4173669011,212,26.9,4173669007,141,86.2,4175194941,178,,4173669005,140,31.4,,,,,,,5w0ohhrm0ojscyjh3e0o8ffmd,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530510099,5,1,1,0,6,ecj1gmc7pqcjo4sc9hvghj5u3,1,31.4,90.5,2023-04-08T18:46:18.200Z,2023-04-09T10:15:41Z,4175195005,178,,4173669419,213,0.1,4173669409,141,92.7,4173669395,56,Left,4173669413,212,19.9,4173669401,140,50.3,,,,,,,1i1xcco82x0ppbac6j5z59x49,S. Van der Heyden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530798009,847,67,1,0,7,ecj1gmc7pqcjo4sc9hvghj5u3,1,46.6,95.4,2023-04-08T18:46:19.281Z,2023-04-09T10:15:41Z,4175228251,233,1116,,,,,,,,,,,,,,,,,,,,,,e44w6g1c1ojf854svzswpl0x5,L. Lapoussin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530798003,1116,67,1,0,7,8y3iucyxguipljcmf87a11bk9,0,53.4,4.6,2023-04-08T18:46:19.282Z,2023-04-09T10:15:41Z,4175228259,233,847,,,,,,,,,,,,,,,,,,,,,,7s4ws0u4erq1jfobqpsj0aoes,M. Samoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530510105,6,61,1,0,9,ecj1gmc7pqcjo4sc9hvghj5u3,0,43.2,91.1,2023-04-08T18:46:20.509Z,2023-04-09T10:15:40Z,4173669435,56,Back,4175195147,178,,,,,,,,,,,,,,,,,,,,e44w6g1c1ojf854svzswpl0x5,L. Lapoussin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
