id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,assist
2509082341,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-02-18T14:15:32.224Z,2023-02-19T15:32:45Z,4039407671,197,7219,4039407667,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4039407669,194,eiqmp3nbc50r40bl86u2sj55h,4039407673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039407665,130,4,4039407659,30,"6sdv4s8oz558wfhx72vwlpvu2, 6wt29oce6gsthhpmhq705vl9m, 2xletuhhaxmfqbjbgq4ehpyol, eiqmp3nbc50r40bl86u2sj55h, 8qa4s74yhn2u9n5tm4mfi934k, 7t9bynn5mbmy3b0v9cduifxex, ditnpqgspoih5ich7c5vn44fe, ag74mepy9fnmlykodxo0oxhwp, 8xjlysmwl5vnhcnvsynftjd62, 1oux70eo5dakzh697p0j7kpre, 1fu9y7gemoii89ejj7bkex78p, 90fea2mfl0soc0gsk88z2m2mt, 1ekfu3u2d9vh73lw2dzdcr1wq, 7abgw25wb5amn0uq347d4x61h, 6pmuxgyfaqn2h0x69o5l1mq22, 41gpjj5od0ww4rnopzgp1oetw, 50iwwx11r99cvce6x8cp52c16, c1grrjf29wtfgbni2qkydf9ey",4039407663,59,"1, 2, 3, 8, 28, 5, 15, 6, 11, 13, 10, 4, 7, 23, 25, 27, 33, 35",4039407661,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509088763,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-02-18T14:23:13.261Z,2023-02-18T14:43:46Z,4039444099,194,9tc6mprxpu2rc5ptlp5ljw7h1,4039444097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4039444103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039444095,130,4,4039444089,30,"r0hm6ahwcvdu57bgfi5zkslx, 1h9jdj5ag99myeoirxzh92od1, cyh16toqa9wxmxepg635ecgve, d19yalwh3i2olvpwoi89feqjt, 9tc6mprxpu2rc5ptlp5ljw7h1, ecwzzrkn1snbua5yu4gehxm2, a7ip51ik4rkqcvgdsh64ln09g, cjf412x9sg56vos0jkj85k3ys, eg4piy0kcdtdopqpd3lcl5j2t, 1rqpbl0ivf8qwdvi6gqpgxz9x, dcjf15sf1dbb6w17foz25uuei, 70h2g33o2w7f32dtx76wji99m, 4114auk4o8n6higc918qymc4p, 2tsn78gg5xyw81srfdn05hw8a, 9gt3izdka3a0nh7r9uazkueqc, 8kwlhrjwp4xewwpaayseb9bmc, 783gcbge6tm3dosc9jou2jqc4, cz4ghmk3l1qypfmuxzop3udck",4039444101,197,3769,4039444091,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4039444093,59,"1, 2, 34, 24, 23, 51, 48, 27, 18, 7, 10, 22, 26, 32, 33, 50, 52, 81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121815,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-02-18T15:00:51.898Z,2023-02-18T15:00:52Z,4039614879,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121835,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-02-18T15:00:51.898Z,2023-02-18T22:05:46Z,4039614941,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121839,3,1,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,49.7,50.1,2023-02-18T15:00:52.076Z,2023-02-19T02:05:25Z,4039614955,56,Back,4039614965,279,S,4039614957,140,34.6,4039614959,141,51.1,4042429557,178,,4039614963,213,3.1,4039614961,212,15.9,,,,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121935,4,1,1,0,1,7zibyotq1x1hq6pmgibhr0e6s,1,45.4,62.6,2023-02-18T15:00:53.878Z,2023-02-19T08:34:43Z,4039615397,56,Back,4039615399,140,22.5,4042429661,178,,4039615403,212,29.4,4039615401,141,37.7,4039615405,213,3.8,,,,,,,d19yalwh3i2olvpwoi89feqjt,J. Ekkelenkamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509122001,5,1,1,0,4,7zibyotq1x1hq6pmgibhr0e6s,1,20.1,38.6,2023-02-18T15:00:56.786Z,2023-02-19T08:34:42Z,4039615713,140,4.4,4039615711,56,Back,4042429721,178,,4039615715,141,47.6,4039615717,212,17.6,4039615719,213,2.8,,,,,,,9tc6mprxpu2rc5ptlp5ljw7h1,T. Alderweireld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509122151,6,1,1,0,6,7zibyotq1x1hq6pmgibhr0e6s,1,5,49.4,2023-02-18T15:00:58.259Z,2023-02-19T08:34:42Z,4039616323,141,74.5,4039616317,56,Back,4042429791,178,,4039616321,140,11.8,4039616327,212,18.5,4039616329,213,1.2,,,,,,,r0hm6ahwcvdu57bgfi5zkslx,J. Butez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509122227,7,1,1,0,10,7zibyotq1x1hq6pmgibhr0e6s,0,18.4,83.8,2023-02-18T15:01:02.884Z,2023-02-19T08:34:40Z,4039616759,213,5.8,4039616755,212,46.4,4042429827,178,,4039616763,1,,4039616749,56,Center,4039616753,141,52.6,4039616747,155,,4039616751,140,57.7,ecwzzrkn1snbua5yu4gehxm2,W. Pacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509657493,736,67,1,0,12,9njsy633rh1tyri7l2jaju5o,1,47.4,42.4,2023-02-18T15:01:04.823Z,2023-02-19T08:34:40Z,4042473495,233,1094,,,,,,,,,,,,,,,,,,,,,,7t9bynn5mbmy3b0v9cduifxex,L. Bessilé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
