id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/13/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,assist
2534708889,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-04-16T15:38:55.749Z,2023-04-16T16:43:56Z,4195967785,194,8b95khn8h8qz3y4u4coajs5at,4195967789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195967771,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4195967767,30,"6yegi163rq5fsloppfubi3sh5, 5lbzx05vthw9nbhpmzw5e1562, eb1rih67f03kwljbge37id1ck, 8b95khn8h8qz3y4u4coajs5at, bf22is04tealb92h075c7u356, 6fdwd71dx2qu7uzzs3ozm9x7u, 6eg8vaxpqsd6cyh736h7bq4x6, 3pr51w08wkrl03rpafmsouj85, 6437iwpplyfh71o9b7uxdylii, 4o8lvm1ffxrywogokfztc6sb9, bcfayigqu8oygm1xvpgl9akt1, 93weoj4q60xtxdntko7hobg4q, 60z63hezwwosjnhvamcwxtre1, eczyz1c2lgqelhp13xiqb0vhm, 5np1ksd9qkmc511ihzvikhy0a, 5zdapzrncz7vch3yrgftfp5g, 5n522jpifzyf9qu0z41kuf7my, 6t7ezta9mftdtk20pgxa30r85",4195967783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4195967787,197,5330,4195967775,59,"1, 6, 21, 10, 5, 4, 7, 70, 17, 33, 29, 9, 14, 16, 18, 25, 44, 77",4195967779,130,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534712035,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-04-16T15:41:28.493Z,2023-04-17T07:41:33Z,4195983293,197,3769,4195983291,194,9tc6mprxpu2rc5ptlp5ljw7h1,4195983289,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4195983273,30,"r0hm6ahwcvdu57bgfi5zkslx, 1h9jdj5ag99myeoirxzh92od1, cyh16toqa9wxmxepg635ecgve, a7ip51ik4rkqcvgdsh64ln09g, 9tc6mprxpu2rc5ptlp5ljw7h1, ecwzzrkn1snbua5yu4gehxm2, cl2mi40x3gjsan1iifpbwec4p, cjf412x9sg56vos0jkj85k3ys, eg4piy0kcdtdopqpd3lcl5j2t, 9tgbdheyuooa8cfz06l577end, 1rqpbl0ivf8qwdvi6gqpgxz9x, cefs6b83ei4gcyuscfopw32ay, dcjf15sf1dbb6w17foz25uuei, 70h2g33o2w7f32dtx76wji99m, 4114auk4o8n6higc918qymc4p, 2tsn78gg5xyw81srfdn05hw8a, 9gt3izdka3a0nh7r9uazkueqc, 783gcbge6tm3dosc9jou2jqc4",4195983283,59,"1, 2, 34, 48, 23, 51, 11, 27, 18, 14, 7, 8, 10, 22, 26, 32, 33, 52",4195983287,130,8,4195983279,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4195983295,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534754773,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-04-16T16:30:48.629Z,2023-04-16T16:30:48Z,4196210087,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534754785,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-04-16T16:30:48.629Z,2023-04-17T00:19:37Z,4196210143,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534754819,3,1,1,0,0,1uk609mhtsfhokhaewjapb26,1,50,50,2023-04-16T16:30:48.672Z,2023-04-17T06:22:28Z,4197860417,178,,4196210311,279,S,4196210309,213,2.5,4196210305,141,55.1,4196210307,212,5.7,4196210303,140,45.7,4196210301,56,Back,,,,3pr51w08wkrl03rpafmsouj85,M. Bruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534754823,4,1,1,0,2,1uk609mhtsfhokhaewjapb26,0,51.1,56.7,2023-04-16T16:30:51.168Z,2023-04-17T06:22:33Z,4196210341,212,26.6,4196210343,213,0.7,4196210333,155,,4196210337,140,70.2,4197860447,178,,4196210335,56,Left,4196210339,141,82.4,,,,8b95khn8h8qz3y4u4coajs5at,F. Selemani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534754835,3,49,1,0,4,7zibyotq1x1hq6pmgibhr0e6s,1,30,18.8,2023-04-16T16:30:52.893Z,2023-04-17T06:22:52Z,,,,,,,,,,,,,,,,,,,,,,,,,cl2mi40x3gjsan1iifpbwec4p,A. Muja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534754859,4,1,1,0,5,7zibyotq1x1hq6pmgibhr0e6s,1,30,18.8,2023-04-16T16:30:54.365Z,2023-04-17T06:22:56Z,4196210533,56,Back,4196210537,141,30.3,4196210541,213,2.6,4197860681,178,,4196210539,212,14.9,4196210535,140,17.9,,,,,,,cl2mi40x3gjsan1iifpbwec4p,A. Muja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534754885,5,1,1,0,6,7zibyotq1x1hq6pmgibhr0e6s,0,20.3,28.8,2023-04-16T16:30:55.202Z,2023-04-17T06:23:01Z,4196210651,56,Right,4196210653,140,62.0,4196210657,212,44.3,4196210649,155,,4196210661,1,,4196210659,213,6.1,4196210655,141,19.2,4197860733,178,,1h9jdj5ag99myeoirxzh92od1,R. De Laet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534754923,5,1,1,0,9,1uk609mhtsfhokhaewjapb26,1,36.3,78.4,2023-04-16T16:30:58.369Z,2023-04-17T06:23:08Z,4196210835,212,23.0,4196210829,56,Left,4197860793,178,,4196210831,140,58.2,4196210827,3,,4196210837,213,0.0,4196210833,141,79.1,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534754925,6,61,1,0,10,1uk609mhtsfhokhaewjapb26,0,58.2,79.1,2023-04-16T16:30:59.391Z,2023-04-17T06:23:37Z,4196210845,56,Left,4197861217,388,,,,,,,,,,,,,,,,,,,,8b95khn8h8qz3y4u4coajs5at,F. Selemani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
