id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/9/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2440965207,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-07-31T15:35:31.782Z,2022-07-31T16:28:35Z,3678986427,194,6vh5n14h1knmx7yut84q2f2l1,3678986419,130,4,3678986423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3678986431,197,8054,3678986415,59,"31, 25, 30, 12, 4, 24, 11, 20, 17, 9, 7, 1, 10, 14, 23, 44, 70, 77",3678986411,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3678986405,30,"2unnytu55d7lvws7h3r86yhud, 5zdapzrncz7vch3yrgftfp5g, 6vh5n14h1knmx7yut84q2f2l1, bd4cjnn4k45ry7ci5tsaawf10, 6fdwd71dx2qu7uzzs3ozm9x7u, 54y1k9ysgdtdvv9ss72ruxiad, 2jdqgegksd1hreeqf4phdnsru, 4ku7qityj6ozes655l78qyqj9, 6437iwpplyfh71o9b7uxdylii, 93weoj4q60xtxdntko7hobg4q, 6eg8vaxpqsd6cyh736h7bq4x6, 6yegi163rq5fsloppfubi3sh5, 8b95khn8h8qz3y4u4coajs5at, 1wkcr4473tca3yl1suywrwyne, 7hdyeeejo7h9kvqt7x8jlrlec, 5n522jpifzyf9qu0z41kuf7my, 3pr51w08wkrl03rpafmsouj85, 6t7ezta9mftdtk20pgxa30r85",3678986433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440973083,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-07-31T15:49:16.176Z,2022-07-31T16:33:34Z,3679030661,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3679030665,197,9282,3679030659,130,10,3679030653,30,"7nlpu8ocv423vqaooks0hifze, 5oa6glaxweluggb6odyxb4uz9, ageous8x40a5qja50md060ull, cahevdu5yhhnh8qlj969b6dw, 6iu350lkyhy6tcll5gfo4vy3u, af8gj4w5eg8rdl4iq7fi8aa96, bpxafwc30rerxmgju6rcau8kp, 1acbm9228tfggjx7htxjtcvrp, 8ic5et3o15rkxyebpxy6y4mhh, 7xfg1orfd9uq3rqzzf6vvxu96, 6cztmz0yq3ifdkkz4hpe47krt, 9ch1zw030nu94b2v7t9pzyqne, 8058605f3gip7nglewe7svqzu, e44sv1k4belucgkkem7qtkpd6, 7sxsul4lzfxl1nzca1nq715re, 187qa5icsve3oak3t90r6rhsl, 9bnvh1i6mu45yvkz257c0x1at, eghj7gl0mv8we0l1blfoncaac",3679030657,59,"30, 40, 11, 17, 4, 2, 35, 23, 12, 9, 27, 1, 10, 14, 15, 18, 21, 28",3679030667,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3679030663,194,1acbm9228tfggjx7htxjtcvrp,3679030655,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440999943,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-07-31T16:30:10.067Z,2022-07-31T16:30:14Z,3679180419,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440999937,2,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-07-31T16:30:10.067Z,2022-07-31T19:56:10Z,3679180395,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440999973,3,1,1,0,0,1uk609mhtsfhokhaewjapb26,1,49.9,49.9,2022-07-31T16:30:10.095Z,2022-07-31T22:18:40Z,3679180569,141,48.5,3679180567,140,47.2,3679180571,212,3.0,3679180575,279,S,3679180573,213,3.5,3679180565,56,Back,3679993631,178,,,,,6eg8vaxpqsd6cyh736h7bq4x6,D. Mbayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441000029,4,1,1,0,2,1uk609mhtsfhokhaewjapb26,0,33.5,49.1,2022-07-31T16:30:12.891Z,2022-08-01T02:53:57Z,3679180887,196,,3679180883,155,,3679180891,56,Left,3679180895,141,100.0,3679180899,213,0.7,3679993937,178,,3679180893,140,77.6,3679180897,212,58.5,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,3679180901,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441000241,3,5,1,0,5,jb4xejoxjfk5a0a50bo8hvst,1,22.4,-1.6,2022-07-31T16:30:15.787Z,2022-07-31T22:18:50Z,3679182003,233,5,3679181977,56,Back,3679181979,347,,,,,,,,,,,,,,,,,7nlpu8ocv423vqaooks0hifze,G. Dietsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441000035,5,5,1,0,5,1uk609mhtsfhokhaewjapb26,0,77.6,101.6,2022-07-31T16:30:15.787Z,2022-07-31T22:18:51Z,3679180947,347,,3679182019,233,3,3679180945,56,Left,,,,,,,,,,,,,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441000383,4,1,1,0,21,jb4xejoxjfk5a0a50bo8hvst,1,38.5,0,2022-07-31T16:30:31.931Z,2022-08-01T02:53:56Z,3679182719,56,Right,3679182727,213,0.2,3679182729,1,,3679182717,107,,3679182723,141,10.6,3679182721,140,69.0,3679182725,212,33.0,,,,5oa6glaxweluggb6odyxb4uz9,D. Opare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441000385,5,4,1,0,27,jb4xejoxjfk5a0a50bo8hvst,1,77.1,2.8,2022-07-31T16:30:37.501Z,2022-08-01T02:53:55Z,3679182743,286,,3679182739,56,Right,3679182737,294,,3679182741,152,,3679182783,233,6,3679182735,13,,,,,,,,8ic5et3o15rkxyebpxy6y4mhh,A. Bernier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441000355,6,4,1,0,27,1uk609mhtsfhokhaewjapb26,0,22.9,97.2,2022-07-31T16:30:37.502Z,2022-08-01T02:53:55Z,3679182601,56,Back,3679182605,285,,3679182805,233,5,3679182597,13,,3679182599,294,,3679182603,152,,3679994411,178,,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441000981,6,1,1,1,12,jb4xejoxjfk5a0a50bo8hvst,1,76.2,2.8,2022-07-31T16:31:22.914Z,2022-08-01T10:20:04Z,3679185767,2,,3679353731,210,13,3679185771,155,,3679185775,56,Center,3679185777,140,92.4,3679744349,224,,3680432819,1,,3679185781,212,32.9,bpxafwc30rerxmgju6rcau8kp,Sérgio Conceição,3679185769,5,1,3679744351,20,3679185783,213,1.0,3679994545,178,3679185779,141,44.2,3679185773,152,3679353733,154,,,,,,,,,,,,,,,,,,,
2441000989,7,13,1,1,14,jb4xejoxjfk5a0a50bo8hvst,1,93.1,49.9,2022-07-31T16:31:24.300Z,2022-08-01T10:20:05Z,3679353755,231,51.2,3679353741,55,6,3679353751,328,,3679353745,102,39.8,3679353255,20,,3679353251,24,,3679994799,178,,3679185807,17,,6iu350lkyhy6tcll5gfo4vy3u,M. Tshibuabua,3679353747,103,,3679353739,154,3679353735,75,,3679185809,56,3679353753,230,98.4,3679353749,108,3679353737,29,12.5,Center,,,,,,,,,,,,,,,,,
2441001055,8,5,1,1,15,jb4xejoxjfk5a0a50bo8hvst,0,101.2,33.4,2022-07-31T16:31:25.471Z,2022-07-31T22:19:24Z,3679186171,56,Center,3679186173,346,,3679186505,233,8,,,,,,,,,,,,,,,,1acbm9228tfggjx7htxjtcvrp,C. Lepoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441001041,8,5,1,1,15,1uk609mhtsfhokhaewjapb26,1,-1.2,66.6,2022-07-31T16:31:25.471Z,2022-07-31T22:19:24Z,3679186251,346,,3679186449,233,8,3679186081,56,Back,,,,,,,,,,,,,,,,54y1k9ysgdtdvv9ss72ruxiad,D. Dessoleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441001033,7,43,1,1,16,1uk609mhtsfhokhaewjapb26,1,0,0,2022-07-31T16:31:27.054Z,2022-07-31T16:31:33Z,3679186055,56,Back,3679186059,141,64.8,3679186105,167,0,3679186383,144,12,3679186057,140,0.0,3679186061,212,9.5,3679186065,213,2.4,,,,54y1k9ysgdtdvv9ss72ruxiad,D. Dessoleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441001333,9,1,1,1,30,1uk609mhtsfhokhaewjapb26,1,4,45.5,2022-07-31T16:31:40.529Z,2022-08-01T02:53:54Z,3679187721,124,,3679187725,140,13.5,3679187735,237,,3679187731,213,5.5,3679187727,141,29.8,3679187729,212,14.6,3679187723,56,Back,,,,2unnytu55d7lvws7h3r86yhud,M. Ilić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441001371,10,1,1,1,36,1uk609mhtsfhokhaewjapb26,1,30.1,33.9,2022-07-31T16:31:46.843Z,2022-08-01T02:53:52Z,3679187941,56,Back,3679187945,141,57.3,3679996189,178,,3679187947,212,16.1,3679187949,213,1.7,3679187943,140,27.8,,,,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
