id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/18/value,qualifier/19/value
2515940101,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-03-05T14:17:32.634Z,2023-03-05T15:13:53Z,4075648975,197,13826,4075601419,130,8,4075601427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075601417,59,"1, 6, 3, 14, 27, 4, 7, 30, 22, 19, 11, 2, 9, 10, 15, 18, 23, 34",4075601421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4075601413,30,"1psqmd0h77b385bljq2emftgp, b6hva6wki38za3hipscirr4h6, dsl7qkp6ndxky3lq89liw7yz9, cne8uwbnrwbwqjpj3pme1kbmx, btz2lf5s3h6svre1o5jgmvf85, 9svafwvk8lle1ex1m2y279905, 3eywxsna9qzi1egis1uj4l6mt, 56sjqxlsf5iitgww0hogez8ph, 1df9uegp2hsbc4813no3mdvx1, 3q5uylbjjiaoj3mn2l7p93jyt, 9aafa664l1husrkrgqv25l42d, 1vhz040atckd3pnzwbky5uuvp, 3nr55odndzunwlb658bsnlwx5, evktllmp3l6mfb6o4im0ag0ve, calut2wcnvfps97uj7dartf4l, mlqit2c8my1ewqy6avrfhf8q, 6es2qusg5h5q9ricqm51j1xck, 9ov7tj31hixo7xp0tfffuhpn8",4075601423,194,3q5uylbjjiaoj3mn2l7p93jyt,4075601415,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515944753,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-03-05T14:20:27.508Z,2023-03-05T16:48:57Z,4075626051,59,"1, 34, 22, 48, 33, 51, 7, 27, 18, 24, 11, 10, 26, 32, 52, 44, 46, 79",4075626053,130,8,4075626049,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4075626057,194,r0hm6ahwcvdu57bgfi5zkslx,4075626047,30,"r0hm6ahwcvdu57bgfi5zkslx, cyh16toqa9wxmxepg635ecgve, 70h2g33o2w7f32dtx76wji99m, a7ip51ik4rkqcvgdsh64ln09g, 9gt3izdka3a0nh7r9uazkueqc, ecwzzrkn1snbua5yu4gehxm2, 1rqpbl0ivf8qwdvi6gqpgxz9x, cjf412x9sg56vos0jkj85k3ys, eg4piy0kcdtdopqpd3lcl5j2t, d19yalwh3i2olvpwoi89feqjt, cl2mi40x3gjsan1iifpbwec4p, dcjf15sf1dbb6w17foz25uuei, 4114auk4o8n6higc918qymc4p, 2tsn78gg5xyw81srfdn05hw8a, 783gcbge6tm3dosc9jou2jqc4, 8da0uy1ea7f0x0cjzjeca1n9w, d0cjwmwpqlw7y5f8sksxivoyc, e9x9hxfg15wpv2m8or4saq1w4",4075626061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075626059,197,3769,4075626055,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989223,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-03-05T15:01:05.799Z,2023-03-05T15:01:05Z,4075864537,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989231,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-03-05T15:01:05.799Z,2023-03-06T03:28:10Z,4075864575,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989239,3,1,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,50.1,50.1,2023-03-05T15:01:05.833Z,2023-03-06T05:00:12Z,4075864609,213,2.8,4075864607,212,14.6,4075864603,140,37.2,4075864611,279,S,4077763673,178,,4075864601,56,Back,4075864605,141,58.3,,,,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989269,4,1,1,0,1,7zibyotq1x1hq6pmgibhr0e6s,1,38.9,54.1,2023-03-05T15:01:07.273Z,2023-03-06T09:05:40Z,4075864735,140,21.6,4075864741,213,3.7,4077763709,178,,4075864733,56,Back,4075864739,212,21.7,4075864737,141,36.7,,,,,,,a7ip51ik4rkqcvgdsh64ln09g,A. Vermeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989289,5,1,1,0,4,7zibyotq1x1hq6pmgibhr0e6s,1,26.4,33.4,2023-03-05T15:01:09.929Z,2023-03-06T09:05:39Z,4075864845,56,Back,4075864855,213,1.6,4075864851,141,58.4,4075864853,212,17.0,4075864849,140,26.0,4077763743,178,,,,,,,,9gt3izdka3a0nh7r9uazkueqc,Z. Van Den Bosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989321,6,1,1,0,6,7zibyotq1x1hq6pmgibhr0e6s,1,24.5,56.4,2023-03-05T15:01:12.200Z,2023-03-06T09:05:38Z,4075864985,141,86.5,4077763791,178,,4075864987,212,22.3,4075864989,213,1.2,4075864981,56,Back,4075864983,140,32.9,,,,,,,ecwzzrkn1snbua5yu4gehxm2,W. Pacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989375,7,1,1,0,8,7zibyotq1x1hq6pmgibhr0e6s,1,30.7,80.7,2023-03-05T15:01:14.672Z,2023-03-06T09:05:37Z,4077763879,178,,4075865235,141,73.9,4075865237,212,5.9,4075865239,213,4.0,4075865231,56,Back,4075865233,140,27.2,,,,,,,70h2g33o2w7f32dtx76wji99m,G. Ávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515989413,8,1,1,0,12,7zibyotq1x1hq6pmgibhr0e6s,1,29.1,55.9,2023-03-05T15:01:18.795Z,2023-03-06T09:05:36Z,4077763895,178,,4075865405,141,28.3,4075865407,212,18.8,4075865409,213,4.6,4075865401,56,Back,4075865403,140,27.5,,,,,,,ecwzzrkn1snbua5yu4gehxm2,W. Pacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
