id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value
2515818389,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-03-05T12:10:52.636Z,2023-03-05T12:28:33Z,4074973509,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4074973501,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, eakj3xa0pa88pajbvasbwqwdm, 12lkxylg8puzxow8ewpsd0b11, 5a2sf4o445ei5pqiinvmjmpcl, esvfsx8gxqw8h0codqz5xmnmc, 7d57au4z5cuxc5k6tu6qgp94a, 9rwn5wckqcb5inw1dhhmpj1t5, 4rwvkp9xlyv314ceglbauou6t, b24ytr3apnyp7z17c124tu1yi, 9mmwn9yt1olhyr54j45e28xcl, bk9fq3chnhmw3u36qz5vf1vjd, 2n808wa0h841cn8xi78n21v8q, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, bc5vmdnoyshdi5hcgu8dgqxyi, 7n75ohdnbi436je81n5f8f9m2, 9qafk5ke1yzqggkcmf1zqevp",4074973507,130,18,4074973511,194,5a2sf4o445ei5pqiinvmjmpcl,4074973503,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4074973505,59,"21, 4, 77, 20, 26, 16, 6, 27, 30, 8, 91, 7, 9, 11, 12, 13, 19, 22",4074973513,197,1957,4074973515,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515818677,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2023-03-05T12:11:12.718Z,2023-03-05T14:04:22Z,4074974847,130,8,4074974849,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4074974853,197,3313,4074974841,30,"jflu7a5n4f3ezoj20z0kje5m, 3yb66hal4fvr04bawz0y3efhl, d1rgv9cgncdgr1h61phrxoc89, ama1ibpjcfu206icrfmkgfavp, 68vmg4qgr11vppc48hs8402jt, 5enjhxrx2jrjqtgb9wwq0baax, 1b6ab1mqzvhk547p0bdzbccfd, a8k3ubqsi0duc3g4u5jnvcoa1, 5qpyf80if6m1o5vkwf1yt034l, 7jpasvui43tnyao6ijyuuyuqc, 9pvc7e65cfgtuipfen5zt463t, a3on8aipuz77wn25jm2r312lm, cma24hkdklib8007a42cso38q, 14w9q2mu6yq235ic55fxs0w2y, 19htxtc8lmbfsv83py7hzqb8q, 1e7snjsrbh93xt5ti1oyuqxka, 7zmgaactx19n77j9fl08pahyi, c8m4ox6n1v89qbbjq73s5ezmx",4074974855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074974845,59,"26, 23, 5, 17, 46, 2, 28, 8, 7, 34, 11, 3, 4, 10, 14, 19, 40, 77",4074974843,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4074974851,194,a8k3ubqsi0duc3g4u5jnvcoa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832485,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-03-05T12:31:26.723Z,2023-03-06T01:30:45Z,4075048023,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832499,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2023-03-05T12:31:26.723Z,2023-03-05T12:31:29Z,4075048097,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832573,3,1,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,50.1,50,2023-03-05T12:31:26.742Z,2023-03-06T03:23:44Z,4075048489,56,Back,4075048499,279,S,4075048491,140,30.5,4077729533,178,,4075048497,213,3.1,4075048493,141,52.4,4075048495,212,20.6,,,,9mmwn9yt1olhyr54j45e28xcl,G. Bruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832599,4,1,1,0,2,2989v3kho9h5jaboe1nr7lx21,1,33.8,59.2,2023-03-05T12:31:29.329Z,2023-03-06T07:50:42Z,4075048611,213,5.8,4075048607,141,23.4,4077729549,178,,4075048609,212,49.1,4075048601,155,,4075048613,1,,4075048605,140,74.4,4075048603,56,Center,5a2sf4o445ei5pqiinvmjmpcl,Jorge Teixeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832607,5,44,1,0,5,2989v3kho9h5jaboe1nr7lx21,1,73.3,24.6,2023-03-05T12:31:32.010Z,2023-03-06T08:19:54Z,4075048643,286,,4075048641,56,Center,4075048687,233,3,,,,,,,,,,,,,,,,4rwvkp9xlyv314ceglbauou6t,S. Okazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832613,3,44,1,0,5,89xivtxk59uzvhdsd6miao6tm,0,26.7,75.4,2023-03-05T12:31:32.011Z,2023-03-06T07:50:41Z,4075048657,56,Back,4075048707,233,5,4075048659,285,,,,,,,,,,,,,,,,,ama1ibpjcfu206icrfmkgfavp,P. Hrošovský,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832623,6,1,1,0,5,2989v3kho9h5jaboe1nr7lx21,0,73.2,25.3,2023-03-05T12:31:32.073Z,2023-03-06T08:19:55Z,4075048717,141,32.2,4075048719,212,16.3,4075048711,3,,4075048721,213,0.3,4075048715,140,88.1,4077729585,388,,4075048713,56,Center,,,,4rwvkp9xlyv314ceglbauou6t,S. Okazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832653,4,1,1,0,7,89xivtxk59uzvhdsd6miao6tm,1,14.2,64.6,2023-03-05T12:31:34.234Z,2023-03-06T07:50:40Z,4075048881,140,3.3,4077729631,178,,4075048879,56,Back,4075048887,213,3.7,4075048877,3,,4075048883,141,55.1,4075048885,212,13.1,,,,5enjhxrx2jrjqtgb9wwq0baax,M. McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832663,5,52,1,0,9,89xivtxk59uzvhdsd6miao6tm,1,3.2,56.6,2023-03-05T12:31:35.771Z,2023-03-06T07:50:40Z,4077729653,178,,4077249239,376,,,,,,,,,,,,,,,,,,,,jflu7a5n4f3ezoj20z0kje5m,M. Vandevoordt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832729,6,1,1,0,12,89xivtxk59uzvhdsd6miao6tm,1,5.4,58.2,2023-03-05T12:31:38.826Z,2023-03-06T07:50:39Z,4075049233,140,11.8,4075049235,141,31.9,4075049237,212,19.1,4077729675,178,,4075049229,123,,4075049239,213,5.1,4075049231,56,Back,,,,jflu7a5n4f3ezoj20z0kje5m,M. Vandevoordt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832753,7,1,1,0,14,89xivtxk59uzvhdsd6miao6tm,0,7.8,36.5,2023-03-05T12:31:41.132Z,2023-03-06T07:50:39Z,4075049313,56,Back,4077729713,178,,4075049321,212,33.5,4077927073,1,,4075049319,141,9.1,4075049323,213,5.7,4075049317,140,34.3,4075049309,155,,68vmg4qgr11vppc48hs8402jt,C. Cuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832777,7,1,1,0,17,2989v3kho9h5jaboe1nr7lx21,0,59.7,94.5,2023-03-05T12:31:43.963Z,2023-03-06T07:50:38Z,4075049419,140,73.4,4075049423,212,16.8,4077729739,388,,4075049425,213,5.7,4075049417,56,Left,4075049415,3,,4075049421,141,81.8,,,,12lkxylg8puzxow8ewpsd0b11,R. Bauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832791,8,61,1,0,18,89xivtxk59uzvhdsd6miao6tm,0,26.5,8.7,2023-03-05T12:31:45.395Z,2023-03-06T07:50:38Z,4077729771,178,,4075049501,56,Back,,,,,,,,,,,,,,,,,,,3yb66hal4fvr04bawz0y3efhl,D. Muñoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832801,8,1,1,0,19,2989v3kho9h5jaboe1nr7lx21,0,71.9,89.3,2023-03-05T12:31:46.688Z,2023-03-06T07:50:38Z,4075049559,140,76.9,4075049551,3,,4075049567,212,9.4,4077729791,388,,4075049569,213,5.3,4075049555,56,Center,4075049563,141,77.9,,,,eakj3xa0pa88pajbvasbwqwdm,E. Bocat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832841,9,12,1,0,20,89xivtxk59uzvhdsd6miao6tm,1,22.8,14.3,2023-03-05T12:31:47.606Z,2023-03-06T07:50:37Z,4075049723,56,Back,4075049725,140,25.0,4077250959,15,,4077729799,388,,4075049727,141,0.0,4075049731,213,4.9,4077250961,167,,4075049729,212,11.3,68vmg4qgr11vppc48hs8402jt,C. Cuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
