id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2493582249,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2022-12-27T18:06:27.851Z,2022-12-27T19:19:05Z,3957925415,30,"r0hm6ahwcvdu57bgfi5zkslx, 1h9jdj5ag99myeoirxzh92od1, 70h2g33o2w7f32dtx76wji99m, 9tgbdheyuooa8cfz06l577end, 9tc6mprxpu2rc5ptlp5ljw7h1, ecwzzrkn1snbua5yu4gehxm2, cyh16toqa9wxmxepg635ecgve, a7ip51ik4rkqcvgdsh64ln09g, eg4piy0kcdtdopqpd3lcl5j2t, ex7y8oe78ewwmibz41qbmwhxx, cl2mi40x3gjsan1iifpbwec4p, 8lrsefp53ez5jm3hd5fy8tck5, dcjf15sf1dbb6w17foz25uuei, 2hr7skflmxmpiiauz04h185ey, 4114auk4o8n6higc918qymc4p, 9gt3izdka3a0nh7r9uazkueqc, 8kwlhrjwp4xewwpaayseb9bmc, 8yo1cv2wlhnk1lu50cu3iul79",3957925419,59,"1, 2, 22, 14, 23, 51, 34, 48, 18, 99, 11, 7, 10, 17, 26, 33, 50, 61",3957925427,197,3769,3957925417,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3957925429,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3957925421,130,2,3957925423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3957925425,194,9tc6mprxpu2rc5ptlp5ljw7h1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493582289,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-12-27T18:07:11.696Z,2022-12-28T10:26:55Z,3957925747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3957925737,59,"1, 22, 11, 8, 33, 24, 5, 4, 45, 9, 35, 2, 7, 14, 20, 25, 32, 55",3957925739,130,2,3957925745,197,8173,3957925743,194,6qlfe04qjldj3rkeeme6gdi39,3957925741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3957925735,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3957925733,30,"6qlfe04qjldj3rkeeme6gdi39, e2z19y8is5m24brpa3gzn02qx, bjhjz96omjukrg6tj3mny39t6, 7xs1rx9jos4ls85u362y9hqeh, 5ujoracvgg00kzd0a8rh8oa1h, 9kywhmzih4xhuz5d1rrxjcpd6, 2j8y06wuinnx87eetadj55zo5, 8hl43dvm1d57g011yacyoooa1, 96xomdtz505yoaz35i5bb8f84, 21545vwheo9a30u5hgnsrecmi, 1kr8slemziskw8bm2ir4shlud, 6z1isgjrlx4gbcjp5ekawdi39, auqy1bigw2a1owxg441wojzyt, 12c7rhdjh6rja1d2j45n3exyi, 2aemkadh3bhtgm5db8r89pvit, 7y2fbdkqsz35hgsib6rail1hx, 9qm1adecprlczxw7ldbpvoi51, 1ezai0a0n3xem17lwhtxwaml1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493587793,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-12-27T19:00:59.710Z,2022-12-28T03:48:49Z,3957963007,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493587791,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2022-12-27T19:00:59.710Z,2022-12-27T19:00:59Z,3957963005,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493587797,3,1,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,50.1,50.1,2022-12-27T19:00:59.880Z,2022-12-28T04:13:01Z,3957963029,56,Back,3957963037,213,2.9,3957963039,279,S,3957963031,140,34.2,3958147181,178,,3957963035,212,17.3,3957963033,141,56.7,,,,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493587803,4,1,1,0,2,7zibyotq1x1hq6pmgibhr0e6s,1,39.9,50.6,2022-12-27T19:01:01.814Z,2022-12-28T09:52:26Z,3957963051,56,Back,3957963053,140,27.2,3957963057,212,15.7,3957963055,141,38.5,3958147213,178,,3957963059,213,3.7,,,,,,,a7ip51ik4rkqcvgdsh64ln09g,A. Vermeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493587811,5,1,1,0,4,7zibyotq1x1hq6pmgibhr0e6s,0,27.3,38.7,2022-12-27T19:01:03.737Z,2022-12-28T09:52:25Z,3957963101,157,,3957963111,213,0.1,3957963105,140,76.5,3957963103,56,Center,3957963113,1,,3957963109,212,51.9,3958147225,178,,3957963107,141,45.8,9tc6mprxpu2rc5ptlp5ljw7h1,T. Alderweireld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493587823,3,49,1,0,8,2nhn3ikl1ciq34w3hcp883d6p,1,20.9,54.4,2022-12-27T19:01:08.295Z,2022-12-28T09:52:25Z,,,,,,,,,,,,,,,,,,,,,,,,,5ujoracvgg00kzd0a8rh8oa1h,R. Neustädter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493587827,4,1,1,0,8,2nhn3ikl1ciq34w3hcp883d6p,1,20.6,54.6,2022-12-27T19:01:08.410Z,2022-12-28T09:52:24Z,3957999717,155,,3957963175,141,65.1,3957963173,140,39.8,3958147489,178,,3957963181,213,0.3,3957963171,56,Back,3957963177,212,21.4,,,,5ujoracvgg00kzd0a8rh8oa1h,R. Neustädter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493587845,5,1,1,0,9,2nhn3ikl1ciq34w3hcp883d6p,1,33.8,64.2,2022-12-27T19:01:09.679Z,2022-12-28T09:52:24Z,3957999757,168,,3957963237,3,,3957963247,213,0.1,3957963239,56,Center,3958147517,388,,3957963241,140,54.1,3957963245,212,21.4,3957963243,141,66.0,8hl43dvm1d57g011yacyoooa1,M. Fixelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
