id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2501907703,1,34,16,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-01-29T11:35:11.210Z,2023-01-30T09:52:12Z,4001703131,197,3044,4001703119,30,"3wwi5vf2l1qbz7e5zdjoy8yga, b3vvxolwxcukqk76hb4scvh79, 8q8qxzmb9j1vntg5llyqa35uy, 143brmwsfow8o0svtdq98tiw9, 88nmn961vtb3bnt9v9rye1h0q, 78fx1xqqtcqm2g4h1dj8beml1, 8f77xyqg4womglj1o8udq77qh, bu7cw3305zs2u7uj2ed5t867e, 8q7c0yi5x7vh7032jgbeytal1, 3q2ibq6hhxyht8046ib49ye39, 5don85s7097g5df42m429b8ix, 5yw1c3i4j9zyt52vomrfbxyol, ev9ql3x07q7totbxl3gvlidat, dwnd8j9ok6ncbp69gmchw953o, 8lj9hc8u1351oczzu81mryluc, 3z37ancgteqhbhpygl0brzzdh, drjbms71w0kt1pidq8q17h05w, anx0hiu9yn8szbjk3994u7njd",4001703133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001703121,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4001703125,130,4,4001703123,59,"16, 62, 54, 21, 56, 14, 18, 10, 9, 36, 7, 11, 25, 27, 29, 30, 32, 71",4001703129,194,78fx1xqqtcqm2g4h1dj8beml1,4001703127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501908559,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-01-29T11:36:53.904Z,2023-01-29T11:36:54Z,4001708121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4001708125,197,3769,4001708127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001708123,194,9tc6mprxpu2rc5ptlp5ljw7h1,4001708115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4001708119,130,8,4001708117,59,"1, 2, 22, 48, 23, 51, 11, 14, 7, 24, 10, 17, 26, 32, 33, 34, 52, 55",4001708113,30,"r0hm6ahwcvdu57bgfi5zkslx, 1h9jdj5ag99myeoirxzh92od1, 70h2g33o2w7f32dtx76wji99m, a7ip51ik4rkqcvgdsh64ln09g, 9tc6mprxpu2rc5ptlp5ljw7h1, ecwzzrkn1snbua5yu4gehxm2, cl2mi40x3gjsan1iifpbwec4p, 9tgbdheyuooa8cfz06l577end, 1rqpbl0ivf8qwdvi6gqpgxz9x, d19yalwh3i2olvpwoi89feqjt, dcjf15sf1dbb6w17foz25uuei, 2hr7skflmxmpiiauz04h185ey, 4114auk4o8n6higc918qymc4p, 2tsn78gg5xyw81srfdn05hw8a, 9gt3izdka3a0nh7r9uazkueqc, cyh16toqa9wxmxepg635ecgve, 783gcbge6tm3dosc9jou2jqc4, 1v75zo1ivju4o2xwgwn9az88a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501941519,2,32,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-01-29T12:31:07.474Z,2023-01-30T00:26:46Z,4001881237,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501941525,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-01-29T12:31:07.474Z,2023-01-29T12:31:10Z,4001881273,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501941553,3,1,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,50.1,50.1,2023-01-29T12:31:07.500Z,2023-01-30T05:12:07Z,4001881451,212,14.0,4001881455,279,S,4001881453,213,3.1,4001881447,140,36.8,4004048379,178,,4001881445,56,Back,4001881449,141,51.9,,,,8q7c0yi5x7vh7032jgbeytal1,B. Raman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501941599,4,1,1,0,3,6vyr13j6kbwdtxjwm1m4m8nu2,1,40.4,58,2023-01-29T12:31:11.386Z,2023-01-30T10:36:44Z,4004048729,178,,4001881681,56,Back,4001881685,141,87.5,4001881683,140,35.4,4001881689,213,1.8,4001881687,212,20.7,,,,,,,143brmwsfow8o0svtdq98tiw9,A. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501941607,5,1,1,0,6,6vyr13j6kbwdtxjwm1m4m8nu2,1,36.8,85.9,2023-01-29T12:31:13.596Z,2023-01-30T10:36:43Z,4001881737,212,12.7,4001881739,213,4.9,4001881733,140,39.2,4004048745,178,,4001881735,141,67.6,4001881731,56,Back,,,,,,,8q8qxzmb9j1vntg5llyqa35uy,K. Sardella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501941647,6,1,1,0,8,6vyr13j6kbwdtxjwm1m4m8nu2,1,40.5,77,2023-01-29T12:31:15.521Z,2023-01-30T10:36:43Z,4001881941,140,28.7,4001881945,212,13.6,4001881943,141,85.1,4004048773,178,,4001881947,213,2.7,4001881939,56,Back,,,,,,,143brmwsfow8o0svtdq98tiw9,A. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501941675,7,1,1,0,10,6vyr13j6kbwdtxjwm1m4m8nu2,1,26.1,86.2,2023-01-29T12:31:17.924Z,2023-01-30T10:36:42Z,4001882095,56,Back,4001882099,141,54.5,4001882103,213,3.9,4001882101,212,30.2,4001882097,140,6.0,4004048797,178,,,,,,,,8q8qxzmb9j1vntg5llyqa35uy,K. Sardella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501941689,8,1,1,0,13,6vyr13j6kbwdtxjwm1m4m8nu2,1,4.7,49.3,2023-01-29T12:31:21.209Z,2023-01-30T10:36:41Z,4001882183,212,11.8,4001882179,140,8.8,4001882177,56,Back,4001882185,213,5.1,4001882181,141,33.1,4004048823,178,,,,,,,,3wwi5vf2l1qbz7e5zdjoy8yga,B. Verbruggen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
