id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value
2507017769,1,34,16,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-02-12T14:15:49.006Z,2023-02-13T09:06:19Z,4028462313,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4028462317,197,13967,4028462307,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4028462305,30,"3wwi5vf2l1qbz7e5zdjoy8yga, b3vvxolwxcukqk76hb4scvh79, 8q8qxzmb9j1vntg5llyqa35uy, 8f77xyqg4womglj1o8udq77qh, 88nmn961vtb3bnt9v9rye1h0q, 78fx1xqqtcqm2g4h1dj8beml1, bu7cw3305zs2u7uj2ed5t867e, 5yw1c3i4j9zyt52vomrfbxyol, 8q7c0yi5x7vh7032jgbeytal1, 3q2ibq6hhxyht8046ib49ye39, 5don85s7097g5df42m429b8ix, 6rarodhofviwmh5jd0ly8lp4a, 9jiectkc8rk0ivxn80l87ic45, 143brmwsfow8o0svtdq98tiw9, 8lj9hc8u1351oczzu81mryluc, 3z37ancgteqhbhpygl0brzzdh, 7je01bs3a4q6c2gd02ee6da3u, anx0hiu9yn8szbjk3994u7njd",4028462319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028462315,194,78fx1xqqtcqm2g4h1dj8beml1,4028462309,59,"16, 62, 54, 18, 56, 14, 10, 11, 9, 36, 7, 5, 13, 21, 29, 30, 61, 71",4028462311,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507022345,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-02-12T14:20:04.392Z,2023-02-12T15:12:50Z,4028484697,59,"21, 4, 7, 22, 26, 20, 30, 27, 9, 8, 13, 6, 11, 12, 14, 16, 77, 91",4028484693,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, bk9fq3chnhmw3u36qz5vf1vjd, 9qafk5ke1yzqggkcmf1zqevp, 5a2sf4o445ei5pqiinvmjmpcl, 12lkxylg8puzxow8ewpsd0b11, 4rwvkp9xlyv314ceglbauou6t, 9rwn5wckqcb5inw1dhhmpj1t5, 2n808wa0h841cn8xi78n21v8q, b24ytr3apnyp7z17c124tu1yi, bc5vmdnoyshdi5hcgu8dgqxyi, 7d57au4z5cuxc5k6tu6qgp94a, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, cqpgxrqear6p6pz3p8r3xvh90, esvfsx8gxqw8h0codqz5xmnmc, eakj3xa0pa88pajbvasbwqwdm, 9mmwn9yt1olhyr54j45e28xcl",4028484707,194,5a2sf4o445ei5pqiinvmjmpcl,4028484701,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4028484699,130,10,4028484695,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4028484711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028484709,197,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056607,2,32,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-02-12T15:01:42.218Z,2023-02-13T01:41:02Z,4028662471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056605,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-02-12T15:01:42.218Z,2023-02-12T15:01:42Z,4028662469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056619,3,1,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,50.2,50,2023-02-12T15:01:42.244Z,2023-02-13T04:27:40Z,4028662547,140,30.8,4028662553,213,2.8,4028662551,212,21.5,4030407417,178,,4028662549,141,60.0,4028662555,279,S,4028662545,56,Back,,,,bc5vmdnoyshdi5hcgu8dgqxyi,R. Reitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056647,4,1,1,0,2,2989v3kho9h5jaboe1nr7lx21,1,29.3,56.2,2023-02-12T15:01:45.163Z,2023-02-13T09:00:32Z,4028662751,1,,4028662741,56,Right,4030407441,178,,4028662749,213,5.6,4028662745,141,10.1,4028662739,155,,4028662743,140,69.9,4028662747,212,52.9,5a2sf4o445ei5pqiinvmjmpcl,Jorge Teixeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056655,5,1,1,0,5,2989v3kho9h5jaboe1nr7lx21,0,68.9,17,2023-02-12T15:01:48.034Z,2023-02-13T09:00:31Z,4028662787,141,36.0,4028662783,56,Center,4028662791,213,1.1,4030407511,388,,4028662789,212,14.8,4028662785,140,75.8,4028662781,3,,,,,4rwvkp9xlyv314ceglbauou6t,S. Okazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056673,3,1,1,0,7,6vyr13j6kbwdtxjwm1m4m8nu2,0,24.3,65.8,2023-02-12T15:01:49.821Z,2023-02-13T09:00:31Z,4028662907,56,Back,4028662913,212,9.3,4030456407,178,,4028662909,140,31.8,4028662915,213,0.6,4028662905,3,,4028662911,141,73.2,,,,88nmn961vtb3bnt9v9rye1h0q,Z. Debast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056725,9,44,1,0,8,2989v3kho9h5jaboe1nr7lx21,1,68.5,18.9,2023-02-12T15:01:51.170Z,2023-02-13T09:00:30Z,4028663175,233,4,4028663161,286,,4028663159,56,Right,,,,,,,,,,,,,,,,4rwvkp9xlyv314ceglbauou6t,S. Okazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507056681,4,44,1,0,8,6vyr13j6kbwdtxjwm1m4m8nu2,0,31.5,81.1,2023-02-12T15:01:51.171Z,2023-02-13T09:00:30Z,4028662947,56,Back,4028662949,285,,4028663179,233,9,,,,,,,,,,,,,,,,5don85s7097g5df42m429b8ix,F. Amuzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
