id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,assist,qualifier/13/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2475061975,1,34,16,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2022-10-21T17:53:39.226Z,2022-10-21T18:48:12Z,3860280599,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3860280605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3860280611,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860280609,197,6718,3860280603,130,18,3860280597,30,"d5ecnjd6h89iepxrvrlfn97ft, a0ecz4nlxrr62dcwixtmjiwyy, 5wn1xudozb4s78x0m8ch7vn8q, 52qemp1py9mm9unjvxaphv209, 8am2h5qc7296fima2r4wam63u, bmbn4q2uorkgosgaig6migpux, 3l1v52usaf9mmi9dwowdwv3e, 2jhi0lbbo65dsfv4ho9pmlgix, 2xba9p5cocj599cltnabjes45, 1gzgkjei16r4lt2fvcedy1jvt, 8d0ffyx2qnnp0limf5aou92ei, b13ly8cuyvgraih4y0wxuami2, ez9zc94k1nj4qxjf2hrvj5dgq, 8jc7tw0nw37trgyli0oyz1soa, 1e7u0otkuyc81nhumjkcrvmd, 7weuixp1j81ga9pjhouf2h2hh, 5iuagsqdiiaadb5yuf7r4vzmc, 9hnyebqut9tmn4q0m0y9n3kd1",3860280607,194,2xba9p5cocj599cltnabjes45,3860280601,59,"1, 34, 23, 4, 24, 5, 17, 22, 10, 9, 36, 7, 11, 14, 19, 28, 66, 89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475065907,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-10-21T18:06:30.950Z,2022-10-21T18:46:34Z,3860299465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860299451,30,"aspoedbe2vkfbqaz67fc2ftg5, 6n1rvd0axpp159h9wkkd7lwfe, 4pbx40gvdmacim2n0k2qt41cl, eb1rih67f03kwljbge37id1ck, ae26s08xs4l50sfm0r6jbsley, 27rm84dcrfa7ypfmpgbe37cic, e2nb1takpw6q7f6txp8xbfkk5, 5ecklu1u6t21rhh8fh4zoq2cq, 8o0a3k1bbim9y2kd6ljyoiwpg, 72xzl0yjdetvqp2n1pmzyqvze, 7xw0h0pegzhoix5hb4hipj2l1, 7hi9yit8aifyojt7i0kg69as5, 87d73x3gkomc4soukr5uweqc5, bz77hr28a1yskifpuvzu8smsq, btyk45f7gmz3ck2dafpp22yg9, 14xb29tv90y8uataijmh03rah, c4brcsqfli5mds4vhma627yl1, 39bcswfqnpa07b4afevezejo4",3860299457,130,17,3860299453,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3860299459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3860299463,197,9121,3860299461,194,e2nb1takpw6q7f6txp8xbfkk5,3860299455,59,"1, 28, 12, 31, 21, 32, 44, 6, 45, 99, 8, 2, 7, 10, 16, 18, 25, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475084655,2,32,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2022-10-21T18:45:10.662Z,2022-10-22T01:50:38Z,3860398471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475084663,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-10-21T18:45:10.662Z,2022-10-21T18:45:13Z,3860398507,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475084685,3,1,1,0,0,920raeoumft3q2wmvc296uceo,1,50.1,49.7,2022-10-21T18:45:10.728Z,2022-10-22T02:05:40Z,3860398603,56,Back,3860398607,141,46.8,3860875857,178,,3860398605,140,37.9,3860398613,279,S,3860398609,212,13.0,3860398611,213,3.3,,,,e2nb1takpw6q7f6txp8xbfkk5,R. Morioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475084697,4,1,1,0,1,920raeoumft3q2wmvc296uceo,1,38,51.2,2022-10-21T18:45:12.538Z,2022-10-22T06:47:29Z,3860398683,140,54.0,3860398687,212,17.8,3860398681,56,Center,3860875937,178,,3860398685,141,42.7,3860398689,213,6.0,,,,,,,5ecklu1u6t21rhh8fh4zoq2cq,A. Zorgane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475084727,5,1,1,0,2,920raeoumft3q2wmvc296uceo,1,51.3,46.5,2022-10-21T18:45:13.409Z,2022-10-22T06:47:28Z,3860398883,141,17.4,3860875983,178,,3860398879,56,Back,3860398881,140,37.3,3860398887,213,4.1,3860398885,212,24.7,,,,,,,e2nb1takpw6q7f6txp8xbfkk5,R. Morioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475084737,6,1,1,0,5,920raeoumft3q2wmvc296uceo,1,32.3,21.7,2022-10-21T18:45:16.056Z,2022-10-22T06:47:28Z,3860398949,140,21.4,3860398955,213,2.1,3860398947,56,Back,3860398951,141,51.8,3860398953,212,23.5,3860876015,178,,,,,,,,27rm84dcrfa7ypfmpgbe37cic,M. Boukamir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475084767,7,1,1,0,8,920raeoumft3q2wmvc296uceo,1,20.8,47.1,2022-10-21T18:45:19.344Z,2022-10-22T06:47:27Z,3860876085,178,,3860399107,140,19.8,3860399113,213,1.6,3860399105,56,Back,3860399109,141,87.1,3860399111,212,27.2,,,,,,,ae26s08xs4l50sfm0r6jbsley,S. Andreou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475084771,8,1,1,0,12,920raeoumft3q2wmvc296uceo,0,20.4,94,2022-10-21T18:45:22.897Z,2022-10-22T06:47:26Z,3860399121,155,,3860399127,141,93.5,3860399129,212,2.6,3860399191,286,,3860876105,178,,3860399125,140,22.9,3860399187,233,3,3860399123,56,Back,eb1rih67f03kwljbge37id1ck,M. Wasinski,3860399131,213,6.2,3860399185,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
