id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2472208931,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-10-15T15:22:50.178Z,2022-10-15T15:22:50Z,3845207289,194,4fc3xit5tx2o583prbwhkq8d1,3845207291,197,1957,3845207281,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3845207293,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3845207283,59,"12, 4, 77, 3, 37, 22, 10, 27, 8, 30, 6, 7, 11, 19, 26, 35, 44, 91",3845207279,30,"3hbsrnnpcsjiocm57mcsf36xh, e5oet393vired282yco4i7gfd, eakj3xa0pa88pajbvasbwqwdm, 3krglbuxncb1fvl3p1sezhoq2, 4fc3xit5tx2o583prbwhkq8d1, 9qafk5ke1yzqggkcmf1zqevp, 77487qauk9fkzlesgze21odsl, 9rwn5wckqcb5inw1dhhmpj1t5, b24ytr3apnyp7z17c124tu1yi, 4rwvkp9xlyv314ceglbauou6t, 7d57au4z5cuxc5k6tu6qgp94a, bk9fq3chnhmw3u36qz5vf1vjd, 3i85rbmn6qd5x4y29hk78rmy1, 7n75ohdnbi436je81n5f8f9m2, 5a2sf4o445ei5pqiinvmjmpcl, b9swaz6cb0w97d2rimgh4jh90, a375qgbjxnpucpz3hprf2fkr9, 9mmwn9yt1olhyr54j45e28xcl",3845207287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3845207285,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472216327,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-10-15T15:26:34.354Z,2022-10-15T16:25:04Z,3845246905,197,11586,3845246907,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3845246897,130,18,3845246903,194,8zz5lnxo7twq8ntb7e0qfvbv9,3845246893,59,"1, 28, 38, 12, 21, 2, 26, 25, 18, 8, 10, 5, 7, 31, 44, 45, 55, 99",3845246899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3845246889,30,"aspoedbe2vkfbqaz67fc2ftg5, 6n1rvd0axpp159h9wkkd7lwfe, 39bcswfqnpa07b4afevezejo4, 4pbx40gvdmacim2n0k2qt41cl, ae26s08xs4l50sfm0r6jbsley, 7hi9yit8aifyojt7i0kg69as5, 8zz5lnxo7twq8ntb7e0qfvbv9, c4brcsqfli5mds4vhma627yl1, 14xb29tv90y8uataijmh03rah, 7xw0h0pegzhoix5hb4hipj2l1, bz77hr28a1yskifpuvzu8smsq, 7t9bynn5mbmy3b0v9cduifxex, 87d73x3gkomc4soukr5uweqc5, eb1rih67f03kwljbge37id1ck, e2nb1takpw6q7f6txp8xbfkk5, 8o0a3k1bbim9y2kd6ljyoiwpg, 8az60zju3zh4ksk9w3p1jyxp0, 72xzl0yjdetvqp2n1pmzyqvze",3845246891,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472290395,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2022-10-15T16:15:48.735Z,2022-10-15T16:15:48Z,3845642789,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472290403,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-10-15T16:15:48.735Z,2022-10-16T01:50:31Z,3845642815,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472290435,3,1,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,50.9,50.1,2022-10-15T16:15:48.846Z,2022-10-16T08:02:11Z,3845642947,140,63.0,3845642953,213,6.3,3847581129,178,,3845642951,212,12.7,3845642949,141,49.9,3845642945,56,Center,3845642955,279,S,,,,77487qauk9fkzlesgze21odsl,S. Kagawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472290529,4,1,1,0,3,2989v3kho9h5jaboe1nr7lx21,1,34.8,48,2022-10-15T16:15:52.509Z,2022-10-16T08:51:31Z,3845643377,1,,3845643373,212,45.1,3847581365,178,,3845643371,141,8.8,3845643365,56,Right,3845643369,140,69.4,3845643375,213,5.7,3845643361,155,,4fc3xit5tx2o583prbwhkq8d1,T. Leistner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472290543,5,1,1,0,6,2989v3kho9h5jaboe1nr7lx21,0,70.5,12.5,2022-10-15T16:15:54.893Z,2022-10-16T08:51:30Z,3845643485,56,Right,3845643489,141,15.2,3847581483,388,,3845643491,212,6.1,3845643483,3,,3845643493,213,0.3,3845643487,140,76.0,,,,e5oet393vired282yco4i7gfd,D. Hashioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472290573,3,1,1,0,7,920raeoumft3q2wmvc296uceo,0,20.5,83.3,2022-10-15T16:15:55.976Z,2022-10-16T08:51:30Z,3845643671,1,,3845643665,141,93.5,3845643659,157,,3847581663,178,,3845643669,213,0.2,3845643661,56,Left,3845643667,212,36.2,3845643663,140,54.3,4pbx40gvdmacim2n0k2qt41cl,J. Kayembe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472290613,6,1,1,0,9,2989v3kho9h5jaboe1nr7lx21,1,50,6.3,2022-10-15T16:15:57.984Z,2022-10-16T08:51:30Z,3845643899,56,Center,3847627427,388,,3845643901,140,58.3,3845643903,141,23.1,3845643907,213,0.9,3845643905,212,14.4,,,,,,,9qafk5ke1yzqggkcmf1zqevp,W. Janssens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472290623,7,1,1,0,10,2989v3kho9h5jaboe1nr7lx21,1,56.5,10.8,2022-10-15T16:15:59.531Z,2022-10-16T08:51:29Z,3847581883,178,,3845643965,213,3.2,3845643959,140,45.1,3845643957,56,Back,3845643963,212,12.0,3845643961,141,10.0,,,,,,,7d57au4z5cuxc5k6tu6qgp94a,M. Konaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
