id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value
2495365301,5,1,1,0,16,2989v3kho9h5jaboe1nr7lx21,0,33,2.7,2023-01-06T19:49:53.107Z,2023-01-07T08:53:41Z,3967336133,140,60.6,3967659943,178,,3967336137,212,31.5,3967336129,3,,3967336131,56,Right,3967336139,213,0.4,3967336135,141,20.9,,,,e5oet393vired282yco4i7gfd,D. Hashioka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365333,7,1,1,0,19,5z1b7fuvpqe6vnigvopomvecu,1,43.9,87.3,2023-01-06T19:49:56.214Z,2023-01-07T08:53:40Z,3967659947,178,,3967336333,1,,3967336323,56,Center,3967336331,213,6.0,3967336329,212,23.9,3967336325,140,65.8,3967336327,141,77.5,3967336321,157,,76y4awqbdef5yxiovt27i57th,M. Bokadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365339,8,44,1,0,21,5z1b7fuvpqe6vnigvopomvecu,1,59.6,79.4,2023-01-06T19:49:58.789Z,2023-01-07T08:53:40Z,3967336353,233,6,3967336351,286,,3967336349,56,Left,,,,,,,,,,,,,,,,d6r3vkalhudms84f6fs415wid,P. Zinckernagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365337,6,44,1,0,21,2989v3kho9h5jaboe1nr7lx21,0,40.4,20.6,2023-01-06T19:49:58.790Z,2023-01-07T08:53:39Z,3967336345,56,Back,3967336359,233,8,3967336347,285,,,,,,,,,,,,,,,,,9rwn5wckqcb5inw1dhhmpj1t5,F. Boya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365349,9,61,1,0,21,5z1b7fuvpqe6vnigvopomvecu,1,60.1,79.8,2023-01-06T19:49:58.855Z,2023-01-07T08:53:39Z,3967659957,388,,3967336401,56,Left,3967659955,15,,,,,,,,,,,,,,,,,d6r3vkalhudms84f6fs415wid,P. Zinckernagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365431,11,61,1,0,23,5z1b7fuvpqe6vnigvopomvecu,0,52.7,73.4,2023-01-06T19:50:00.294Z,2023-01-07T08:53:38Z,3967659969,21,,3967336779,56,Center,3967659963,178,,,,,,,,,,,,,,,,,69ivqkcipxp15b7x5jl83ud49,S. Alzate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365359,7,4,1,0,23,2989v3kho9h5jaboe1nr7lx21,1,47.1,28.2,2023-01-06T19:50:00.622Z,2023-01-07T08:53:38Z,3967336433,56,Back,3967336569,233,10,3967336431,13,,3967336437,265,,3967336435,152,,3967336439,286,,,,,,,,4rwvkp9xlyv314ceglbauou6t,S. Okazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365351,10,4,1,0,23,5z1b7fuvpqe6vnigvopomvecu,0,52.9,71.8,2023-01-06T19:50:00.623Z,2023-01-07T08:53:37Z,3967659973,178,,3967336413,56,Center,3967336573,233,7,3967336545,13,,3967336549,265,,3967336547,152,,3967336551,285,,,,,69ivqkcipxp15b7x5jl83ud49,S. Alzate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365409,8,1,1,0,33,2989v3kho9h5jaboe1nr7lx21,1,43.2,30.4,2023-01-06T19:50:10.121Z,2023-01-07T08:53:37Z,3967660005,178,,3967336685,141,72.0,3967336689,213,1.7,3967336681,56,Back,3967336687,212,28.6,3967336677,5,,3967336683,140,39.3,3967336679,152,,4fc3xit5tx2o583prbwhkq8d1,T. Leistner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495365427,9,1,1,0,35,2989v3kho9h5jaboe1nr7lx21,1,40.4,59.5,2023-01-06T19:50:12.861Z,2023-01-07T08:53:36Z,3967336763,56,Back,3967336767,141,93.6,3967660011,178,,3967336769,212,25.0,3967336771,213,1.2,3967336765,140,49.2,,,,,,,3krglbuxncb1fvl3p1sezhoq2,A. Al-Dakhil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
