id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2498188455,1,34,16,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2023-01-17T16:34:26.908Z,2023-01-18T12:56:51Z,3982237389,30,"49vbniwasp2kyt27jw0cv6m6t, dmk8usvqtzv60bwkoxk7kfqxg, 9fvwcsajeousbo5o0e84cj2sp, 73z9v9oz73hlmnswrzp860yj9, 1abf0y93zbw1sw183nblqoicp, 4juerzftkeiuzctoiei6dmtp1, a8pgjuz5yrbxyf1t905gj327d, 1fdi6uzonmsod2drzro8bj3rp, 58b30n3a3qc1s5tpfn8er7tw4, 2vmpkyku0hwv0zdbbzunt2xux, 1kst4u41rlyirggwoo1m8ovdh, 91qd93lqgpe700ps0b6a7ntn9, dvomh2gx3wd5x5v1dmlnkdpzp, 91sex5ir1pp4b2beotoua7mqx, avubg95m07a6rted50ejdkftg, cjf412x9sg56vos0jkj85k3ys, 6u73l7tuxx0958ij9kvdizjrp, 73pmo92alzawlt2yo2bfartn9",3982237391,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3982237401,197,8055,3982237393,59,"12, 25, 20, 24, 28, 14, 11, 8, 43, 13, 7, 4, 6, 15, 23, 27, 29, 77",3982237399,194,73z9v9oz73hlmnswrzp860yj9,3982237397,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3982237395,130,8,3982237403,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498188671,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-01-17T16:37:25.012Z,2023-01-17T17:31:03Z,3982238733,59,"1, 2, 17, 35, 28, 30, 15, 23, 7, 9, 4, 3, 11, 14, 25, 27, 29, 33",3982238743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3982238729,30,"6sdv4s8oz558wfhx72vwlpvu2, 6wt29oce6gsthhpmhq705vl9m, 77fldfqlxps1xbdg29anv4vai, c1grrjf29wtfgbni2qkydf9ey, 8qa4s74yhn2u9n5tm4mfi934k, bjmg69xipgocepwk89487klih, ditnpqgspoih5ich7c5vn44fe, 7abgw25wb5amn0uq347d4x61h, 1ekfu3u2d9vh73lw2dzdcr1wq, codwa9jioox7i007f4iazwst1, 87aix2c3m5x08nsurhjql51p1, 2xletuhhaxmfqbjbgq4ehpyol, 8xjlysmwl5vnhcnvsynftjd62, 6r9qf9hptfwyefpsk9douhnt, 6pmuxgyfaqn2h0x69o5l1mq22, 41gpjj5od0ww4rnopzgp1oetw, dxnhp97vrepkx0kcr0d46yb1m, 50iwwx11r99cvce6x8cp52c16",3982238731,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3982238741,197,4954,3982238739,194,codwa9jioox7i007f4iazwst1,3982238737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3982238735,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498191591,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-01-17T17:30:14.490Z,2023-01-17T17:30:16Z,3982255347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498191587,2,32,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2023-01-17T17:30:14.490Z,2023-01-18T03:47:28Z,3982255335,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498191599,3,1,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,50.1,50.1,2023-01-17T17:30:14.511Z,2023-01-18T03:54:03Z,3982255371,56,Back,3982638381,178,,3982255381,279,S,3982255373,140,38.6,3982255375,141,39.4,3982255377,212,14.1,3982255379,213,3.7,,,,2vmpkyku0hwv0zdbbzunt2xux,S. Kiyine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498191605,4,1,1,0,1,bw9wm8pqfzcchumhiwdt2w15c,1,39.2,48.1,2023-01-17T17:30:16.190Z,2023-01-18T09:09:05Z,3982255415,212,21.8,3982255417,213,2.5,3982255409,56,Back,3982255413,141,68.4,3982255411,140,23.1,3982638439,178,,,,,,,,1fdi6uzonmsod2drzro8bj3rp,S. Schrijvers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498191615,5,1,1,0,4,bw9wm8pqfzcchumhiwdt2w15c,1,24,74.4,2023-01-17T17:30:19.372Z,2023-01-18T09:09:04Z,3982255453,56,Back,3982255459,212,16.7,3982255455,140,30.4,3982255457,141,96.9,3982638475,178,,3982255461,213,1.2,,,,,,,4juerzftkeiuzctoiei6dmtp1,F. Ricca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498191625,6,1,1,0,7,bw9wm8pqfzcchumhiwdt2w15c,1,30.5,96.3,2023-01-17T17:30:21.781Z,2023-01-18T09:09:03Z,3982638513,178,,3982255501,140,12.3,3982255503,141,76.4,3982255507,213,3.8,3982255505,212,23.4,3982255499,56,Back,,,,,,,9fvwcsajeousbo5o0e84cj2sp,H. Mendyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498191627,7,1,1,0,10,bw9wm8pqfzcchumhiwdt2w15c,1,18.1,74.3,2023-01-17T17:30:25.019Z,2023-01-18T09:09:02Z,3982255517,141,31.2,3982255515,140,23.1,3982255519,212,29.8,3982638529,178,,3982255521,213,4.9,3982255513,56,Back,,,,,,,4juerzftkeiuzctoiei6dmtp1,F. Ricca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498191633,8,1,1,0,13,bw9wm8pqfzcchumhiwdt2w15c,1,20.6,31.5,2023-01-17T17:30:27.782Z,2023-01-18T09:09:01Z,3982255555,140,30.9,3982255557,141,5.0,3982255559,212,21.0,3982638559,178,,3982255561,213,5.3,3982255553,56,Back,,,,,,,1abf0y93zbw1sw183nblqoicp,E. Pletinckx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498191641,9,1,1,0,15,bw9wm8pqfzcchumhiwdt2w15c,1,29.9,8.8,2023-01-17T17:30:30.478Z,2023-01-18T09:09:00Z,3982255593,213,2.3,3982255591,212,16.6,3982638585,178,,3982255587,140,18.9,3982255585,56,Back,3982255589,141,26.4,,,,,,,dmk8usvqtzv60bwkoxk7kfqxg,L. Patris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498191657,10,1,1,0,18,bw9wm8pqfzcchumhiwdt2w15c,1,19.6,34.3,2023-01-17T17:30:33.320Z,2023-01-18T09:08:59Z,3982638629,178,,3982255681,141,71.7,3982255683,212,25.4,3982255679,140,20.1,3982255677,56,Back,3982255685,213,1.6,,,,,,,1abf0y93zbw1sw183nblqoicp,E. Pletinckx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
