id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2455225615,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-09-03T17:50:16.749Z,2022-09-03T18:42:58Z,3754837835,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3754837837,194,2hj88r72bbwnhqx12tv13jmqx,3754837831,59,"28, 18, 99, 2, 33, 5, 23, 10, 9, 68, 34, 1, 3, 7, 16, 20, 77, 90",3754837827,30,"99eumu17h5sxriw5vfczvdb6d, 2rn8mnhlrtrbm6du97f54zckq, 78n7z9tmen93v4l0nj1vnlujt, ew1thxs8j5mwwqh075kzsjq0a, 2hj88r72bbwnhqx12tv13jmqx, 9ncn3cmp9hd451mjt54t8axn9, 8thfkx6q306ewh6mlba8ztqzt, 92resfejh2m1oygglkjdk0u7d, b3y2ov2ju75fr5u5e2rerj1ex, 65js4yds9vyg0iyck8xh10frp, 58qrdtv5emnvcojqkmnpx5ffu, d0itp0eyxewvnm2shm0manw7p, 243h2yiww7rrz20i0le43jtux, 3m13ipluel0m6cotha7n7vrop, 3s0tyude1pghox634ij87srft, 1yq8ig3ffq1j5imjci3g3tfdg, 9m3bkbdedtddfeix57rj2f7c9, 3are60mt98ibeazgcyjvuy7tg",3754837833,130,13,3754837839,197,11815,3754837841,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754837829,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455240015,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-09-03T18:08:38.626Z,2022-09-03T20:43:50Z,3754912305,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3754912295,59,"16, 18, 11, 34, 20, 3, 19, 22, 9, 7, 8, 2, 17, 26, 29, 30, 61, 21",3754912289,30,"bxcwnf87pf8ijzbxy70ewcfe1, a1ibpks3t6lelvch5kn6u6nyt, 93hp5gm29ke90ugdimd9xf949, corn6i066rh7c7veva0sm3oid, 76y4awqbdef5yxiovt27i57th, a5jrqzijth7e3uxl4phi83sdm, 1pg0b32xb9230zit0ndyd79ih, cllq8xizuqut48xxqc3btz97u, 8bh749b5p635490hik1pj40yd, ajcblksnh113es9hzt7l5k8h5, 187wxh3jjn8hqbu7fyw7wullh, ai0yljs83kdpaa6r7ri0048np, 464o8uslv6z2fdm269j97gt4a, rmruexgp6l6ar57aq8xffg4q, 4fgrf40ajhehju4kav49vobca, bci3k14ed9oqcchpmtq37rnx1, 3z1lfdoy92bq8airglbhx32tw, bxudrqx99a3zv5gajdzxz38id",3754912309,197,16111,3754912291,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3754912299,130,12,3754912307,194,corn6i066rh7c7veva0sm3oid,3754912311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264127,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-09-03T18:45:44.708Z,2022-09-04T05:11:38Z,3755043651,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264129,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2022-09-03T18:45:44.708Z,2022-09-03T18:45:47Z,3755043655,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264137,3,1,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,49.9,50.3,2022-09-03T18:45:44.769Z,2022-09-04T05:16:42Z,3755043687,140,32.0,3755043693,213,3.0,3755043689,141,53.4,3755043691,212,18.9,3755043695,279,S,3756793179,178,,3755043685,56,Back,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264201,4,1,1,0,2,2b57rbw94i9ohnbch52owvqtq,1,34.9,50.5,2022-09-03T18:45:47.613Z,2022-09-04T14:01:18Z,3755044049,1,,3755044043,141,9.5,3755044047,213,5.7,3755044039,56,Right,3755044041,140,73.2,3755044045,212,48.9,3756793223,178,,3755845615,155,,2hj88r72bbwnhqx12tv13jmqx,A. Tanghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264211,5,44,1,0,5,2b57rbw94i9ohnbch52owvqtq,1,70.4,9.2,2022-09-03T18:45:50.392Z,2022-09-04T14:01:17Z,3755044091,286,,3755044105,233,3,3755044089,56,Right,,,,,,,,,,,,,,,,b3y2ov2ju75fr5u5e2rerj1ex,F. Hornby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264203,3,44,1,0,5,5z1b7fuvpqe6vnigvopomvecu,0,29.6,90.8,2022-09-03T18:45:50.393Z,2022-09-04T14:01:17Z,3755044109,233,5,3755044057,56,Back,3755044059,285,,,,,,,,,,,,,,,,,93hp5gm29ke90ugdimd9xf949,A. Dønnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264217,6,1,1,0,5,2b57rbw94i9ohnbch52owvqtq,0,70.7,10.9,2022-09-03T18:45:50.455Z,2022-09-04T14:01:16Z,3755044129,141,0.0,3755044123,3,,3755044133,213,5.5,3755044127,140,78.7,3755044131,212,12.0,3756793337,388,,3755044125,56,Right,,,,b3y2ov2ju75fr5u5e2rerj1ex,F. Hornby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264365,4,5,1,0,7,5z1b7fuvpqe6vnigvopomvecu,1,19,101.8,2022-09-03T18:45:51.903Z,2022-09-04T05:16:57Z,3755044915,233,7,3755044909,347,,3755044907,56,Back,,,,,,,,,,,,,,,,93hp5gm29ke90ugdimd9xf949,A. Dønnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
