id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/18/value
2495879931,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-01-08T11:37:53.311Z,2023-01-09T09:34:26Z,3970042865,30,"byfrgpc6tgz8lto1gor03y5sl, acx78ftnm61hm01wpmme77hbe, 16o074zua15qkk7x0me7gi1w4, ecnh65kkhku5mdkr3il4fl6tx, l6y4o9t2b0jxaxo85oztok45, cn6uwymow3ewbnr6niqumao0k, 5asv6uc3a4xxsr9u30kdfc0ve, 3qbl0ps3ms998s0apmpkre3md, 9mlj7fxon5zy1qmktvvcwjrl6, x3g0yyxs0j4o8fxphxtf0st1, 7ew7g18qo649t8ld44omgib55, bgzvhtk50gvmq6noheadmc34l, 4f8xb5sbyksacxmifi375h7qi, 13d7ao0j091449ia61cuut87p, 8mkkchf0ysdf78r0lncd73klw, 32eyq4xvy8s1ng11jnavvh32t, 6tvnsmtj9mma96e8famksevv9, 398isvyux7zpjiwa2hzsxyc16",3970042877,197,16624,3970042869,59,"22, 17, 14, 27, 44, 94, 7, 3, 9, 20, 10, 6, 19, 26, 32, 70, 77, 91",3970042879,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970042867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3970042875,194,x3g0yyxs0j4o8fxphxtf0st1,3970042873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3970042871,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495882365,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2023-01-08T11:47:45.952Z,2023-01-09T09:31:56Z,3970055685,59,"26, 23, 5, 17, 46, 2, 28, 8, 18, 34, 11, 4, 7, 10, 14, 15, 22, 40",3970055683,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3970055681,30,"jflu7a5n4f3ezoj20z0kje5m, 3yb66hal4fvr04bawz0y3efhl, d1rgv9cgncdgr1h61phrxoc89, ama1ibpjcfu206icrfmkgfavp, 68vmg4qgr11vppc48hs8402jt, 5enjhxrx2jrjqtgb9wwq0baax, 1b6ab1mqzvhk547p0bdzbccfd, a8k3ubqsi0duc3g4u5jnvcoa1, 7wh91ajt4v3w9kfdpp5hf5mmt, 7jpasvui43tnyao6ijyuuyuqc, 9pvc7e65cfgtuipfen5zt463t, cma24hkdklib8007a42cso38q, 5qpyf80if6m1o5vkwf1yt034l, 14w9q2mu6yq235ic55fxs0w2y, 19htxtc8lmbfsv83py7hzqb8q, e8iedufshdq58novt3uevsrqi, an7okg1fciccqu6300k8phisq, 7zmgaactx19n77j9fl08pahyi",3970055689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3970055687,130,8,3970055693,197,3313,3970055691,194,a8k3ubqsi0duc3g4u5jnvcoa1,3970055695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495891699,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2023-01-08T12:32:03.342Z,2023-01-08T21:41:49Z,3970100799,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495891721,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-01-08T12:32:03.342Z,2023-01-08T12:32:11Z,3970100871,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495891723,3,1,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,50,50,2023-01-08T12:32:03.355Z,2023-01-08T23:03:17Z,3970100889,279,S,3970100881,140,35.4,3970100883,141,53.3,3970100885,212,15.5,3970100879,56,Back,3971286357,178,,3970100887,213,3.0,,,,7jpasvui43tnyao6ijyuuyuqc,B. El Khannouss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495891729,4,1,1,0,2,89xivtxk59uzvhdsd6miao6tm,1,35.9,56.2,2023-01-08T12:32:05.787Z,2023-01-09T06:38:30Z,3970100909,212,21.5,3971286375,178,,3970100905,140,36.3,3970100903,56,Back,3970100911,213,1.6,3970100907,141,87.8,,,,,,,ama1ibpjcfu206icrfmkgfavp,P. Hrošovský,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495891735,5,1,1,0,4,89xivtxk59uzvhdsd6miao6tm,1,36.1,81.8,2023-01-08T12:32:08.075Z,2023-01-09T06:38:29Z,3970100929,140,47.4,3970100931,141,97.4,3970100933,212,15.9,3970100935,213,0.7,3971286453,178,,3970100927,56,Back,,,,,,,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495891749,6,1,1,0,6,89xivtxk59uzvhdsd6miao6tm,1,44.6,93.7,2023-01-08T12:32:10.071Z,2023-01-09T06:38:28Z,3970101017,141,92.6,3970101019,212,20.2,3970101021,213,3.2,3970101015,140,25.4,3971286503,178,,3970101013,56,Back,,,,,,,9pvc7e65cfgtuipfen5zt463t,M. Trésor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495891761,7,1,1,0,9,89xivtxk59uzvhdsd6miao6tm,1,27.9,91.7,2023-01-08T12:32:12.549Z,2023-01-09T06:38:27Z,3970101089,141,62.3,3970101083,56,Back,3970101085,140,12.4,3970101095,213,4.0,3970101093,212,25.8,3971286535,178,,,,,,,,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495891775,8,1,1,0,12,89xivtxk59uzvhdsd6miao6tm,1,14.6,61.4,2023-01-08T12:32:15.581Z,2023-01-09T06:38:26Z,3970101155,212,28.8,3971286579,178,,3970101157,213,4.8,3970101153,141,19.1,3970101151,140,15.9,3970101149,56,Back,,,,,,,5enjhxrx2jrjqtgb9wwq0baax,M. McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
