id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2445430909,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-13T15:30:55.164Z,2022-08-13T16:10:40Z,3702723037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702723031,130,4,3702723029,59,"1, 5, 21, 16, 23, 18, 6, 14, 10, 7, 11, 2, 8, 15, 17, 22, 30, 35",3702723033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3702992689,194,25ey2mcvgwz6ls2612os5hzv9,3702723011,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3702723035,197,1948,3702723009,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, 3k4ulxeya73ac9foemis7p6mt, 25ey2mcvgwz6ls2612os5hzv9, 92x3r5pxmvkgaxups0gdrvq39, mlqit2c8my1ewqy6avrfhf8q, b6hva6wki38za3hipscirr4h6, cne8uwbnrwbwqjpj3pme1kbmx, evktllmp3l6mfb6o4im0ag0ve, 3eywxsna9qzi1egis1uj4l6mt, 9aafa664l1husrkrgqv25l42d, 1vhz040atckd3pnzwbky5uuvp, zd582wgzhdcz8n6oipywt3vt, calut2wcnvfps97uj7dartf4l, bkdtlerryn5f6iwvk5fcrku7d, 1df9uegp2hsbc4813no3mdvx1, 56sjqxlsf5iitgww0hogez8ph, 2xixqrmorz1hetvdm4sszxp7t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445432135,1,34,16,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2022-08-13T15:31:45.797Z,2022-08-13T16:18:13Z,3702729809,194,8jc7tw0nw37trgyli0oyz1soa,3702729803,59,"1, 8, 29, 22, 5, 4, 34, 14, 36, 10, 23, 2, 7, 9, 21, 28, 42, 66",3702729811,197,6718,3702729801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3702729807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3702729813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702729799,30,"d5ecnjd6h89iepxrvrlfn97ft, enyx6hc9mfglu3w2robv9hd9m, 8tdpdb9i9liifn3gvaadzh08a, 2jhi0lbbo65dsfv4ho9pmlgix, bmbn4q2uorkgosgaig6migpux, 52qemp1py9mm9unjvxaphv209, a0ecz4nlxrr62dcwixtmjiwyy, 8jc7tw0nw37trgyli0oyz1soa, 8d0ffyx2qnnp0limf5aou92ei, 2xba9p5cocj599cltnabjes45, 5wn1xudozb4s78x0m8ch7vn8q, 8dmbved65hvshm1jmfu5xi8ve, b13ly8cuyvgraih4y0wxuami2, 1gzgkjei16r4lt2fvcedy1jvt, 21ipfd9gxws9vqpw9002o8ve1, 7weuixp1j81ga9pjhouf2h2hh, cclqq6kcvqz5zvxbzt62dyolw, 5iuagsqdiiaadb5yuf7r4vzmc",3702729805,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445484457,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-13T16:18:40.385Z,2022-08-13T16:18:40Z,3703012351,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445484459,2,32,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2022-08-13T16:18:40.385Z,2022-08-14T06:20:01Z,3703012353,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445484495,3,1,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,49.9,50.1,2022-08-13T16:18:40.511Z,2022-08-14T06:41:05Z,3703012491,141,43.3,3703012497,279,S,3703012493,212,24.7,3703012489,140,26.8,3703012495,213,3.3,3705605107,178,,3703012487,56,Back,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445484515,4,1,1,0,2,b7jmo07lqav0wfe2mtlzyspak,0,33.9,51,2022-08-13T16:18:43.198Z,2022-08-14T09:58:23Z,3703012575,141,29.4,3705606811,178,,3703012577,212,41.0,3703012571,56,Center,3703012569,155,,3703012581,1,,3703012573,140,70.4,3703012579,213,5.9,cne8uwbnrwbwqjpj3pme1kbmx,D. Lavalée,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445484525,3,1,1,0,5,3ix9om1svhd6obl0mbk1otgop,0,21.2,72.3,2022-08-13T16:18:46.032Z,2022-08-14T09:58:22Z,3703012641,140,40.2,3703012647,213,0.5,3703012643,141,89.6,3703012639,56,Back,3703012645,212,23.2,3705607023,178,,3703012637,3,,,,,52qemp1py9mm9unjvxaphv209,J. Daland,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445484553,5,1,1,0,7,b7jmo07lqav0wfe2mtlzyspak,0,68.9,12.8,2022-08-13T16:18:48.050Z,2022-08-14T09:58:22Z,3703012811,140,86.5,3705607221,388,,3703012809,56,Right,3703012817,213,5.8,3703012813,141,0.0,3703012807,3,,3703012815,212,20.9,,,,b6hva6wki38za3hipscirr4h6,J. Van Hecke,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445484609,4,5,1,0,10,3ix9om1svhd6obl0mbk1otgop,1,13.8,101.8,2022-08-13T16:18:50.739Z,2022-08-14T06:43:19Z,3703013139,233,6,3703013123,347,,3703013121,56,Back,,,,,,,,,,,,,,,,8tdpdb9i9liifn3gvaadzh08a,L. Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445484555,6,5,1,0,10,b7jmo07lqav0wfe2mtlzyspak,0,86.2,-1.8,2022-08-13T16:18:50.739Z,2022-08-14T06:43:20Z,3703012821,56,Right,3703012823,347,,3703013143,233,4,,,,,,,,,,,,,,,,cne8uwbnrwbwqjpj3pme1kbmx,D. Lavalée,,,,,,,,,,,,,,,,,,,,,,,,,,,
