id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/value
2512981067,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-02-26T17:22:40.307Z,2023-02-26T18:44:16Z,4059971863,194,8zz5lnxo7twq8ntb7e0qfvbv9,4059971867,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059971861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4059971865,197,11586,4059971855,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4059971857,59,"16, 4, 12, 3, 25, 2, 26, 6, 18, 19, 9, 1, 7, 10, 28, 32, 44, 99",4059971853,30,"btyk45f7gmz3ck2dafpp22yg9, dbtjmpfrscwqv0xvqk3krqa5l, 4pbx40gvdmacim2n0k2qt41cl, 3bhmh2ks5ma4rqda9zff6w251, c4brcsqfli5mds4vhma627yl1, 7hi9yit8aifyojt7i0kg69as5, 8zz5lnxo7twq8ntb7e0qfvbv9, 5ecklu1u6t21rhh8fh4zoq2cq, 14xb29tv90y8uataijmh03rah, 4gnprufs4yyf7wq9mzmkmf622, dqazrm2wmu9zqpvp8xbeeb7jd, aspoedbe2vkfbqaz67fc2ftg5, 87d73x3gkomc4soukr5uweqc5, bz77hr28a1yskifpuvzu8smsq, 6n1rvd0axpp159h9wkkd7lwfe, 27rm84dcrfa7ypfmpgbe37cic, e2nb1takpw6q7f6txp8xbfkk5, 72xzl0yjdetvqp2n1pmzyqvze",4059971859,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512988693,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-02-26T17:35:39.059Z,2023-02-26T18:11:46Z,4060013895,197,1957,4060013885,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4060013891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4060013897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4060013889,130,18,4060013893,194,4fc3xit5tx2o583prbwhkq8d1,4060013883,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, eakj3xa0pa88pajbvasbwqwdm, 12lkxylg8puzxow8ewpsd0b11, 4fc3xit5tx2o583prbwhkq8d1, esvfsx8gxqw8h0codqz5xmnmc, 9rwn5wckqcb5inw1dhhmpj1t5, 7d57au4z5cuxc5k6tu6qgp94a, 4rwvkp9xlyv314ceglbauou6t, 2n808wa0h841cn8xi78n21v8q, 9mmwn9yt1olhyr54j45e28xcl, bk9fq3chnhmw3u36qz5vf1vjd, b24ytr3apnyp7z17c124tu1yi, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, bc5vmdnoyshdi5hcgu8dgqxyi, 7n75ohdnbi436je81n5f8f9m2, 9qafk5ke1yzqggkcmf1zqevp",4060013887,59,"21, 4, 77, 20, 37, 16, 27, 6, 30, 9, 91, 7, 8, 11, 12, 13, 19, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513014737,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-02-26T18:15:48.196Z,2023-02-27T06:31:23Z,4060156785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513014755,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-02-26T18:15:48.196Z,2023-02-26T18:15:49Z,4060156845,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513014783,3,1,1,0,0,920raeoumft3q2wmvc296uceo,1,50.1,49.9,2023-02-26T18:15:48.247Z,2023-02-27T06:36:27Z,4060157011,212,6.3,4060157013,213,3.0,4060157015,279,S,4060157005,56,Back,4061319369,178,,4060157009,141,51.6,4060157007,140,44.2,,,,5ecklu1u6t21rhh8fh4zoq2cq,A. Zorgane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513014817,4,1,1,0,2,920raeoumft3q2wmvc296uceo,1,45.4,48.2,2023-02-26T18:15:50.240Z,2023-02-27T11:40:57Z,4060157165,1,,4061319513,178,,4060157163,213,5.5,4060157161,212,37.4,4060157151,155,,4060157153,56,Right,4060157157,140,71.7,4060157159,141,11.1,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513014821,5,44,1,0,4,920raeoumft3q2wmvc296uceo,1,72.4,16.4,2023-02-26T18:15:52.605Z,2023-02-27T11:40:56Z,4060157185,56,Right,4060157189,233,3,4060157187,286,,,,,,,,,,,,,,,,,14xb29tv90y8uataijmh03rah,D. Heymans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513014815,3,44,1,0,4,2989v3kho9h5jaboe1nr7lx21,0,27.6,83.6,2023-02-26T18:15:52.606Z,2023-02-27T11:40:56Z,4060157143,56,Back,4060157145,285,,4060157209,233,5,,,,,,,,,,,,,,,,eakj3xa0pa88pajbvasbwqwdm,E. Bocat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513014833,6,1,1,0,4,920raeoumft3q2wmvc296uceo,0,72.5,14.9,2023-02-26T18:15:52.714Z,2023-02-27T11:40:55Z,4060157231,56,Right,4060157233,140,79.8,4060157237,212,9.4,4060157239,213,5.7,4060157235,141,6.8,4060157229,3,,4061319641,388,,,,,14xb29tv90y8uataijmh03rah,D. Heymans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513014839,4,49,1,0,6,2989v3kho9h5jaboe1nr7lx21,1,18.2,87.8,2023-02-26T18:15:54.754Z,2023-02-27T11:40:55Z,,,,,,,,,,,,,,,,,,,,,,,,,12lkxylg8puzxow8ewpsd0b11,R. Bauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
