id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/18/value,qualifier/19/value
2469529901,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-10-09T10:38:40.837Z,2022-10-09T12:31:25Z,3830984953,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, 3k4ulxeya73ac9foemis7p6mt, 56sjqxlsf5iitgww0hogez8ph, 92x3r5pxmvkgaxups0gdrvq39, btz2lf5s3h6svre1o5jgmvf85, 3eywxsna9qzi1egis1uj4l6mt, ezg4lhvy2z4pkyvfrmi17y11x, 3nr55odndzunwlb658bsnlwx5, 25ey2mcvgwz6ls2612os5hzv9, 9aafa664l1husrkrgqv25l42d, b6hva6wki38za3hipscirr4h6, zd582wgzhdcz8n6oipywt3vt, evktllmp3l6mfb6o4im0ag0ve, cne8uwbnrwbwqjpj3pme1kbmx, calut2wcnvfps97uj7dartf4l, bkdtlerryn5f6iwvk5fcrku7d, 5egzwt11xlx1vz5dk9yu29q1g",3830984967,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3830984963,194,25ey2mcvgwz6ls2612os5hzv9,3830984957,59,"1, 5, 21, 30, 23, 27, 7, 66, 9, 16, 11, 6, 8, 10, 14, 15, 17, 28",3830984961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3830984965,197,1947,3830984955,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3830984959,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469532589,1,34,16,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2022-10-09T10:44:55.248Z,2022-10-10T09:26:00Z,3830999339,130,12,3830999333,30,"3z37ancgteqhbhpygl0brzzdh, b3vvxolwxcukqk76hb4scvh79, 6rarodhofviwmh5jd0ly8lp4a, 1qqhtdvpixhe5zt9mq9omsoh5, av0ok8e56osu0z8sxtlvvw9ud, 88nmn961vtb3bnt9v9rye1h0q, bu7cw3305zs2u7uj2ed5t867e, 5yw1c3i4j9zyt52vomrfbxyol, 7snt4uu7f2d0g7utjm2xfis8a, e2w5cj66plnx3kuhnehgswsus, 143brmwsfow8o0svtdq98tiw9, 5don85s7097g5df42m429b8ix, 8q7c0yi5x7vh7032jgbeytal1, 3wwi5vf2l1qbz7e5zdjoy8yga, 8lj9hc8u1351oczzu81mryluc, 8q8qxzmb9j1vntg5llyqa35uy, 7je01bs3a4q6c2gd02ee6da3u, c4n7kjp8c47trslpssnyqjo16",3830999337,59,"30, 62, 5, 3, 4, 56, 10, 11, 99, 59, 21, 7, 9, 16, 29, 54, 61, 70",3830999341,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3830999345,197,6564,3830999347,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3830999343,194,3z37ancgteqhbhpygl0brzzdh,3830999335,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469552257,2,32,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2022-10-09T11:30:18.435Z,2022-10-09T11:30:18Z,3831108487,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469552261,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-10-09T11:30:18.435Z,2022-10-10T06:55:51Z,3831108493,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469552303,3,1,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,50.1,50.3,2022-10-09T11:30:18.593Z,2022-10-10T10:06:15Z,3831108685,141,54.8,3831108681,140,38.5,3831108677,56,Back,3831108695,279,S,3831108689,212,12.6,3831108693,213,2.9,3834594603,178,,,,,7snt4uu7f2d0g7utjm2xfis8a,Fábio Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469552329,4,1,1,0,2,6vyr13j6kbwdtxjwm1m4m8nu2,1,37.9,57.1,2022-10-09T11:30:20.542Z,2022-10-10T11:01:05Z,3831108847,141,88.0,3831108843,56,Back,3831108845,140,33.5,3831108849,212,21.5,3834594623,178,,3831108853,213,1.8,,,,,,,143brmwsfow8o0svtdq98tiw9,A. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469552363,5,1,1,0,3,6vyr13j6kbwdtxjwm1m4m8nu2,1,33.1,77.4,2022-10-09T11:30:22.263Z,2022-10-10T11:01:04Z,3831109053,213,3.8,3831109051,212,8.6,3831109049,141,69.7,3834594651,178,,3831109045,56,Back,3831109047,140,26.6,,,,,,,1qqhtdvpixhe5zt9mq9omsoh5,H. Delcroix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469552369,6,1,1,0,6,6vyr13j6kbwdtxjwm1m4m8nu2,0,22.9,66.4,2022-10-09T11:30:24.609Z,2022-10-10T11:01:04Z,3831109089,213,0.2,3831109085,141,76.1,3831109081,56,Back,3831109079,155,,3834594663,178,,3831109083,140,48.4,3831109087,212,27.6,,,,av0ok8e56osu0z8sxtlvvw9ud,W. Hoedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469552429,3,1,1,0,7,b7jmo07lqav0wfe2mtlzyspak,1,40.6,27.4,2022-10-09T11:30:25.992Z,2022-10-10T11:01:03Z,3834594671,178,,3831109387,56,Right,3831109389,140,63.4,3831109393,212,24.6,3831109391,141,18.8,3831109395,213,6.0,,,,,,,92x3r5pxmvkgaxups0gdrvq39,T. Peyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469552433,4,1,1,0,9,b7jmo07lqav0wfe2mtlzyspak,0,61,19.5,2022-10-09T11:30:28.036Z,2022-10-10T11:01:03Z,3831112469,286,,3831112433,140,66.8,3831112465,233,7,3831112435,141,16.3,3831109411,56,Right,3831112437,212,6.5,3831112439,213,5.9,3834594697,178,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,3831112463,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
