id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2438489971,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-07-23T18:01:21.013Z,2022-07-23T22:34:30Z,3665737535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3665737533,130,13,3665737531,59,"21, 4, 7, 20, 3, 37, 6, 27, 8, 10, 44, 14, 11, 12, 19, 22, 26, 91",3665737541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3665737527,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, bk9fq3chnhmw3u36qz5vf1vjd, 12lkxylg8puzxow8ewpsd0b11, 3krglbuxncb1fvl3p1sezhoq2, 4fc3xit5tx2o583prbwhkq8d1, 7d57au4z5cuxc5k6tu6qgp94a, 9rwn5wckqcb5inw1dhhmpj1t5, b24ytr3apnyp7z17c124tu1yi, 77487qauk9fkzlesgze21odsl, a375qgbjxnpucpz3hprf2fkr9, cqpgxrqear6p6pz3p8r3xvh90, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, 7n75ohdnbi436je81n5f8f9m2, 9qafk5ke1yzqggkcmf1zqevp, 5a2sf4o445ei5pqiinvmjmpcl, 9mmwn9yt1olhyr54j45e28xcl",3665737529,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3665737537,194,4fc3xit5tx2o583prbwhkq8d1,3665737539,197,16140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438492579,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-07-23T18:07:44.103Z,2022-07-24T16:33:05Z,3665751955,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3665751953,130,12,3665751961,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3665751951,59,"49, 2, 11, 44, 16, 59, 8, 17, 9, 13, 20, 3, 19, 21, 23, 26, 32, 85",3665751959,197,6067,3665751957,194,6xam5bquregefbepxd9rwfdh,3665751947,30,"a8kdcx3797ityilpw31jaj4r9, aajft01g5yggw0is5fbfh3105, ai5p5wgft6c09bjbldz9sfeac, 1i1xcco82x0ppbac6j5z59x49, 5w0ohhrm0ojscyjh3e0o8ffmd, 7bwjxz6bwt7h070dbv1l8woyy, 5j13tgvpwi7m3y6rjd8q08tt5, 6xam5bquregefbepxd9rwfdh, 7lfocbri1eyj151wuqodpnnpx, 7vv4ef3y8swdekozwaent3ai1, 39tod1iad3ztq17qveh8pwp9l, iexm93yyblnrtx8d6rqqrdux, ths196pehnfyf4f4scmqj8ph, 1a9u2g4hynrz2e93sz1evhpzp, di9k6xr6j4arjoltl7s9yp6cq, f0ean6buvvp9l4rh1ayvnnill, 5oe0z2pxkgmdt2y3e69u8kb9w, 2fbq6ac2mma2tyjc2kqrpfms4",3665751949,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438509339,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-07-23T18:46:58.617Z,2022-07-23T18:46:59Z,3665841779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438509333,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-07-23T18:46:58.617Z,2022-07-24T06:22:44Z,3665841737,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438509461,3,1,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,50.4,50.1,2022-07-23T18:46:58.647Z,2022-07-24T11:12:36Z,3666656031,279,S,3665842441,213,2.7,3667211911,178,,3665842439,212,16.6,3665842437,141,60.8,3665842433,56,Back,3665842435,140,36.2,,,,77487qauk9fkzlesgze21odsl,S. Kagawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438509527,4,1,1,0,2,2989v3kho9h5jaboe1nr7lx21,1,39,58,2022-07-23T18:47:00.675Z,2022-07-24T12:08:07Z,3665842765,140,39.8,3665842763,56,Back,3665842773,1,,3667211919,178,,3665842771,213,4.7,3665842767,141,2.2,3665842769,212,38.0,,,,a375qgbjxnpucpz3hprf2fkr9,C. Brüls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438509535,5,1,1,0,5,2989v3kho9h5jaboe1nr7lx21,0,51,6.7,2022-07-23T18:47:04.614Z,2022-07-24T12:08:06Z,3665842801,155,,3665842809,212,36.1,3665842807,141,39.7,3665842811,213,0.7,3667211923,178,,3665842805,140,77.9,3665842803,56,Center,3665842813,1,,3krglbuxncb1fvl3p1sezhoq2,A. Al-Dakhil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438509529,3,1,1,0,8,ecj1gmc7pqcjo4sc9hvghj5u3,0,20.3,62.5,2022-07-23T18:47:07.031Z,2022-07-24T12:08:05Z,3665842787,213,0.5,3665842781,140,34.0,3667211947,178,,3665842779,56,Back,3665842777,3,,3665842783,141,74.1,3665842785,212,16.4,,,,5w0ohhrm0ojscyjh3e0o8ffmd,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438509567,6,1,1,0,10,2989v3kho9h5jaboe1nr7lx21,1,66.9,31.9,2022-07-23T18:47:09.298Z,2022-07-24T12:08:05Z,3665978033,155,,3665842963,56,Center,3665842965,140,65.1,3665842969,212,21.6,3665842967,141,63.6,3667212077,178,,3665842971,213,1.7,,,,7d57au4z5cuxc5k6tu6qgp94a,M. Konaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438509569,7,1,1,0,14,2989v3kho9h5jaboe1nr7lx21,1,72.9,69.2,2022-07-23T18:47:13.341Z,2022-07-24T12:08:03Z,3665842981,140,71.1,3665842979,56,Left,3665842987,213,1.7,3667212435,178,,3665842985,212,16.5,3665842983,141,93.3,,,,,,,a375qgbjxnpucpz3hprf2fkr9,C. Brüls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
