id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2521494583,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-03-18T14:06:10.495Z,2023-03-18T15:43:33Z,4105044911,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4105044921,197,8054,4105044919,194,6vh5n14h1knmx7yut84q2f2l1,4105044909,30,"6yegi163rq5fsloppfubi3sh5, 7hdyeeejo7h9kvqt7x8jlrlec, 6vh5n14h1knmx7yut84q2f2l1, eb1rih67f03kwljbge37id1ck, 6fdwd71dx2qu7uzzs3ozm9x7u, 5n522jpifzyf9qu0z41kuf7my, 4o8lvm1ffxrywogokfztc6sb9, 5zdapzrncz7vch3yrgftfp5g, 9n5wjnjloy0c2euwhsu9u1y39, 3pr51w08wkrl03rpafmsouj85, 5np1ksd9qkmc511ihzvikhy0a, bf22is04tealb92h075c7u356, 6eg8vaxpqsd6cyh736h7bq4x6, 93weoj4q60xtxdntko7hobg4q, eczyz1c2lgqelhp13xiqb0vhm, 6437iwpplyfh71o9b7uxdylii, bcfayigqu8oygm1xvpgl9akt1, 280b4j6oidfonglcbr2vlj59m",4105044923,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105044917,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4105044913,59,"1, 23, 30, 21, 4, 44, 33, 25, 20, 70, 18, 5, 7, 9, 16, 17, 29, 32",4105044915,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521495101,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-03-18T14:06:36.568Z,2023-03-18T14:58:42Z,4105047411,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4105047421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4105047419,130,12,4105047429,197,16049,4105047433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105047413,59,"22, 17, 14, 94, 58, 6, 26, 27, 10, 9, 20, 15, 21, 44, 64, 68, 70, 76, 98",4105047407,30,"byfrgpc6tgz8lto1gor03y5sl, acx78ftnm61hm01wpmme77hbe, 16o074zua15qkk7x0me7gi1w4, cn6uwymow3ewbnr6niqumao0k, 79m802yjrfr0ji81c8ty1x2xg, bgzvhtk50gvmq6noheadmc34l, 13d7ao0j091449ia61cuut87p, ecnh65kkhku5mdkr3il4fl6tx, 7ew7g18qo649t8ld44omgib55, 9mlj7fxon5zy1qmktvvcwjrl6, x3g0yyxs0j4o8fxphxtf0st1, mkq18lpl3d44wxq974mci5wq, 3q6jhwert6ah0ll2wq69k93ah, l6y4o9t2b0jxaxo85oztok45, 1q935a1d9qmoyo7v6tstqx7je, 5606cqx2mlkrp81oe6uh6ghec, 32eyq4xvy8s1ng11jnavvh32t, 6uthi96vr24700st7s7m1so6i, 9rsuz6bumw4jyw25gpingu25m",4105047425,194,x3g0yyxs0j4o8fxphxtf0st1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558459,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-03-18T15:00:51.548Z,2023-03-18T15:00:53Z,4105373783,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558437,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-03-18T15:00:51.548Z,2023-03-18T22:31:01Z,4105373707,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558533,3,1,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,49.7,50,2023-03-18T15:00:51.695Z,2023-03-19T01:17:58Z,4105374125,141,48.1,4105374123,140,48.1,4105374127,212,2.1,4108270799,178,,4105374133,213,3.8,4105374135,279,S,4105374121,56,Back,,,,9mlj7fxon5zy1qmktvvcwjrl6,Ferran Jutglà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558591,4,1,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,49.7,50.6,2023-03-18T15:00:52.357Z,2023-03-19T09:06:45Z,4105374485,140,25.2,4105374483,56,Back,4105374491,213,3.2,4105374487,141,47.5,4105374489,212,25.8,4108273041,178,,,,,,,,13d7ao0j091449ia61cuut87p,M. Rits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558639,5,1,1,0,3,1oyb7oym5nwzny8vxf03szd2h,0,29.4,50.9,2023-03-18T15:00:55.105Z,2023-03-19T09:06:45Z,4105374739,213,0.3,4105374731,56,Center,4105374741,1,,4105374735,141,67.9,4105374737,212,36.5,4105374733,140,62.4,4105374729,155,,4108273375,178,,79m802yjrfr0ji81c8ty1x2xg,J. Spileers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558651,3,44,1,0,6,1uk609mhtsfhokhaewjapb26,1,36.4,28.6,2023-03-18T15:00:58.008Z,2023-03-19T09:06:44Z,4105374797,285,,4105374891,233,6,4105374795,56,Back,,,,,,,,,,,,,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558647,6,44,1,0,6,1oyb7oym5nwzny8vxf03szd2h,0,63.6,71.4,2023-03-18T15:00:58.009Z,2023-03-19T09:06:44Z,4105374785,286,,4105375005,233,3,4105374783,56,Center,,,,,,,,,,,,,,,,9mlj7fxon5zy1qmktvvcwjrl6,Ferran Jutglà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558675,4,1,1,0,6,1uk609mhtsfhokhaewjapb26,0,35.7,26.3,2023-03-18T15:00:58.046Z,2023-03-19T09:06:43Z,4105374939,56,Back,4108274403,388,,4105374941,140,33.5,4105374945,212,6.7,4105374935,3,,4105374947,213,1.9,4105374943,141,35.5,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
