id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/16/value,qualifier/18/value,assist,qualifier/17/value
2534550091,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-04-16T13:11:22.995Z,2023-04-16T17:20:15Z,4195163041,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195163033,130,18,4195163029,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4195163031,59,"1, 5, 18, 4, 27, 30, 14, 66, 7, 23, 11, 2, 9, 10, 15, 22, 34, 35",4195163027,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, mlqit2c8my1ewqy6avrfhf8q, 9svafwvk8lle1ex1m2y279905, btz2lf5s3h6svre1o5jgmvf85, 56sjqxlsf5iitgww0hogez8ph, cne8uwbnrwbwqjpj3pme1kbmx, ezg4lhvy2z4pkyvfrmi17y11x, 3eywxsna9qzi1egis1uj4l6mt, 6es2qusg5h5q9ricqm51j1xck, 9aafa664l1husrkrgqv25l42d, 1vhz040atckd3pnzwbky5uuvp, 3nr55odndzunwlb658bsnlwx5, evktllmp3l6mfb6o4im0ag0ve, calut2wcnvfps97uj7dartf4l, 1df9uegp2hsbc4813no3mdvx1, 9ov7tj31hixo7xp0tfffuhpn8, bihng5zkoeutve0fpxrwo5yj8",4195163039,197,1947,4195163035,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4195163037,194,3eywxsna9qzi1egis1uj4l6mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534558203,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-04-16T13:17:02.469Z,2023-04-17T08:09:00Z,4195205795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195205783,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4195205791,194,18pgjfpl9s8qy32mblzygsyc5,4195205787,130,18,4195205793,197,3190,4195205789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4195205785,59,"1, 18, 14, 25, 4, 2, 13, 24, 7, 34, 11, 8, 19, 20, 23, 29, 31, 33",4195205781,30,"6q53ei01tbb5kxjr1mhfjysph, 7s4ws0u4erq1jfobqpsj0aoes, 7dayrhr0c60zbc1b6lig8pm8l, c517lc5fmsd9ugk638s2o9iad, bhh6z1ezmsngsu3isbsur2mp6, ettrapmxg36vw2egivejegzc9, 99tf4co0pm09ayca13ma3lql1, 18pgjfpl9s8qy32mblzygsyc5, 8fs5klbsyx06c5ds9s1i3xu96, 87ccrt89k5abyjisix22g08ut, 1khy4w78z012p8z20gcp0nrvt, 9hiut57u02lly1nfdixef8bth, 2igz499o21aihmkugktp3nyms, adrn1x15rsehvnava8q9ofuvo, fs5utga62tud5s06xj27qdat, b9wew8z92aj36vvxfj3q7kxcl, eyvf8uu7jltbzalaov3qt1w5, be0ws51ws5cm9wzmcp3ozmklx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534607131,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-04-16T14:00:36.917Z,2023-04-16T23:32:05Z,4195456495,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534607141,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-04-16T14:00:36.917Z,2023-04-16T14:00:39Z,4195456563,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534607165,3,1,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,50,50,2023-04-16T14:00:36.919Z,2023-04-17T05:02:56Z,4195456627,56,Back,4195456631,141,35.4,4195456629,140,40.5,4195456637,279,S,4195456635,213,3.9,4197816271,178,,4195456633,212,14.1,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534607201,4,1,1,0,2,b7jmo07lqav0wfe2mtlzyspak,1,39.5,35.2,2023-04-16T14:00:38.920Z,2023-04-17T05:03:00Z,4195456771,212,20.4,4195456767,140,24.0,4195456769,141,17.1,4195456765,56,Back,4197816291,178,,4195456773,213,3.8,,,,,,,ezg4lhvy2z4pkyvfrmi17y11x,B. Verstraete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534607221,5,1,1,0,5,b7jmo07lqav0wfe2mtlzyspak,0,24,12.8,2023-04-16T14:00:42.512Z,2023-04-17T05:03:02Z,4197816299,178,,4195456863,141,28.5,4195456857,155,,4195456859,56,Center,4195456861,140,69.6,4195456867,213,0.2,4195456869,1,,4195456865,212,49.1,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534607233,3,1,1,0,8,8y3iucyxguipljcmf87a11bk9,0,23.1,60.8,2023-04-16T14:00:45.541Z,2023-04-17T05:03:06Z,4195456913,140,32.6,4195456903,3,,4195456917,141,74.7,4195456907,56,Back,4195456921,213,0.8,4197816319,388,,4195456919,212,13.7,,,,bhh6z1ezmsngsu3isbsur2mp6,K. Piątkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535055037,847,67,1,0,10,b7jmo07lqav0wfe2mtlzyspak,1,70.9,23,2023-04-16T14:00:47.185Z,2023-04-17T06:18:03Z,4197834175,233,1012,,,,,,,,,,,,,,,,,,,,,,6es2qusg5h5q9ricqm51j1xck,E. Agyei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535055035,1012,67,1,0,10,8y3iucyxguipljcmf87a11bk9,0,29.1,77,2023-04-16T14:00:47.186Z,2023-04-17T05:40:46Z,4197834179,233,847,,,,,,,,,,,,,,,,,,,,,,7dayrhr0c60zbc1b6lig8pm8l,A. Castro-Montes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
