id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value
2499267015,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-01-21T16:16:01.374Z,2023-01-22T05:54:35Z,3987883263,130,8,3987883255,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3987883257,59,"1, 5, 18, 66, 27, 14, 7, 16, 19, 22, 11, 6, 9, 10, 15, 21, 34, 35",3987883271,194,25ey2mcvgwz6ls2612os5hzv9,3987883277,197,13711,3987883279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987883253,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, mlqit2c8my1ewqy6avrfhf8q, ezg4lhvy2z4pkyvfrmi17y11x, btz2lf5s3h6svre1o5jgmvf85, cne8uwbnrwbwqjpj3pme1kbmx, 3eywxsna9qzi1egis1uj4l6mt, 25ey2mcvgwz6ls2612os5hzv9, 3q5uylbjjiaoj3mn2l7p93jyt, 1df9uegp2hsbc4813no3mdvx1, 9aafa664l1husrkrgqv25l42d, b6hva6wki38za3hipscirr4h6, 3nr55odndzunwlb658bsnlwx5, evktllmp3l6mfb6o4im0ag0ve, calut2wcnvfps97uj7dartf4l, 3k4ulxeya73ac9foemis7p6mt, 9ov7tj31hixo7xp0tfffuhpn8, bihng5zkoeutve0fpxrwo5yj8",3987883267,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499272469,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-01-21T16:19:29.771Z,2023-01-22T05:54:43Z,3987911299,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3987911311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987911309,197,5330,3987911303,130,8,3987911301,59,"1, 5, 25, 21, 44, 4, 23, 33, 17, 70, 10, 9, 16, 18, 20, 29, 30, 32",3987911307,194,8b95khn8h8qz3y4u4coajs5at,3987911305,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3987911297,30,"6yegi163rq5fsloppfubi3sh5, bf22is04tealb92h075c7u356, 5zdapzrncz7vch3yrgftfp5g, eb1rih67f03kwljbge37id1ck, 5n522jpifzyf9qu0z41kuf7my, 6fdwd71dx2qu7uzzs3ozm9x7u, 7hdyeeejo7h9kvqt7x8jlrlec, 4o8lvm1ffxrywogokfztc6sb9, 6437iwpplyfh71o9b7uxdylii, 3pr51w08wkrl03rpafmsouj85, 8b95khn8h8qz3y4u4coajs5at, 93weoj4q60xtxdntko7hobg4q, eczyz1c2lgqelhp13xiqb0vhm, 5np1ksd9qkmc511ihzvikhy0a, 9n5wjnjloy0c2euwhsu9u1y39, bcfayigqu8oygm1xvpgl9akt1, 6vh5n14h1knmx7yut84q2f2l1, 280b4j6oidfonglcbr2vlj59m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499330901,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-01-21T17:15:09.352Z,2023-01-22T01:38:19Z,3988225603,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499330909,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-01-21T17:15:09.352Z,2023-01-21T17:15:11Z,3988225639,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499330923,3,1,1,0,0,1uk609mhtsfhokhaewjapb26,1,50.1,49.3,2023-01-21T17:15:09.383Z,2023-01-22T03:19:35Z,3989281825,178,,3988225709,213,3.1,3988225711,279,S,3988225703,140,39.5,3988225707,212,11.1,3988225705,141,49.3,3988225701,56,Back,,,,4o8lvm1ffxrywogokfztc6sb9,S. Lončar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499330993,4,1,1,0,2,1uk609mhtsfhokhaewjapb26,1,30.5,32.9,2023-01-21T17:15:12.203Z,2023-01-22T09:00:07Z,3988226117,213,5.8,3988226115,212,39.4,3988226111,140,63.0,3988226109,56,Right,3988226107,157,,3988226119,1,,3988226113,141,4.0,3989281887,178,,5n522jpifzyf9qu0z41kuf7my,João Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499330975,3,4,1,0,5,b7jmo07lqav0wfe2mtlzyspak,1,39.2,90.7,2023-01-21T17:15:14.913Z,2023-01-22T09:00:06Z,3988227209,233,5,3988226583,264,,3988226029,56,Back,3988226587,286,,3988226585,152,,3988226581,13,,,,,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499330997,5,4,1,0,5,1uk609mhtsfhokhaewjapb26,0,60.8,9.3,2023-01-21T17:15:14.914Z,2023-01-22T09:00:06Z,3989281927,388,,3988227169,264,,3988227215,233,3,3988226139,56,Right,3988227167,13,,3988227179,285,,3988227173,152,,,,,6437iwpplyfh71o9b7uxdylii,P. Guèye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331203,4,1,1,0,29,b7jmo07lqav0wfe2mtlzyspak,1,39.9,88.3,2023-01-21T17:15:39.206Z,2023-01-22T09:00:05Z,3988227379,56,Back,3988227389,141,70.0,3988227383,140,43.8,3988227395,213,5.0,3988227371,5,,3988227393,212,13.1,3989282081,178,,3988227375,152,,mlqit2c8my1ewqy6avrfhf8q,A. Van Hoorenbeeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499331211,5,1,1,0,30,b7jmo07lqav0wfe2mtlzyspak,1,40.5,76.4,2023-01-21T17:15:40.226Z,2023-01-22T09:00:05Z,3989282147,178,,3988227441,56,Back,3988227445,141,92.1,3988227447,212,10.8,3988227443,140,42.1,3988227449,213,1.4,,,,,,,ezg4lhvy2z4pkyvfrmi17y11x,B. Verstraete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
