id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2521715533,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-03-18T16:20:30.560Z,2023-03-19T10:36:23Z,4106198933,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106198927,197,8908,4106198921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4106628279,194,92ajo8iiqwlmjwndtf7yt6l05,4106198915,130,4,4106198905,30,"99eumu17h5sxriw5vfczvdb6d, ew1thxs8j5mwwqh075kzsjq0a, 243h2yiww7rrz20i0le43jtux, 3s0tyude1pghox634ij87srft, 9ncn3cmp9hd451mjt54t8axn9, 7y7wrtvktvxfki86p41ptoell, 2rn8mnhlrtrbm6du97f54zckq, 92ajo8iiqwlmjwndtf7yt6l05, 65js4yds9vyg0iyck8xh10frp, 9m3bkbdedtddfeix57rj2f7c9, 3m13ipluel0m6cotha7n7vrop, 13gl8a9xwpzphph88xleav07p, mzrka1w28qc7vgr5xmcngqg9, 3zkgg98u1fvuospd2avl4qy2, 1leek57meu5ud379ll63mzdre, czsmg1hjqbmzhz8x91y3b0yc5, 58qrdtv5emnvcojqkmnpx5ffu, 3are60mt98ibeazgcyjvuy7tg",4106198907,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4106198911,59,"28, 2, 3, 16, 5, 88, 18, 8, 68, 77, 7, 6, 11, 17, 22, 27, 34, 90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521715835,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-03-18T16:20:38.816Z,2023-03-18T17:19:58Z,4106200539,197,8173,4106200537,194,auqy1bigw2a1owxg441wojzyt,4106200531,59,"1, 22, 11, 8, 33, 2, 4, 7, 14, 79, 45, 17, 20, 23, 24, 25, 32, 55",4106200527,30,"6qlfe04qjldj3rkeeme6gdi39, e2z19y8is5m24brpa3gzn02qx, bjhjz96omjukrg6tj3mny39t6, 7xs1rx9jos4ls85u362y9hqeh, 5ujoracvgg00kzd0a8rh8oa1h, 6z1isgjrlx4gbcjp5ekawdi39, 8hl43dvm1d57g011yacyoooa1, auqy1bigw2a1owxg441wojzyt, 12c7rhdjh6rja1d2j45n3exyi, f03fccqnepjczr841h0zqdeui, 96xomdtz505yoaz35i5bb8f84, 5zpg8fnqc4luuhlonsn5nbw4q, 2aemkadh3bhtgm5db8r89pvit, bxcrdkrcljgx6l4o0uy4rom3t, 9kywhmzih4xhuz5d1rrxjcpd6, 7y2fbdkqsz35hgsib6rail1hx, 9qm1adecprlczxw7ldbpvoi51, 1ezai0a0n3xem17lwhtxwaml1",4106200535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4106200533,130,8,4106200541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106200529,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521795899,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-03-18T17:16:24.646Z,2023-03-18T17:16:27Z,4106632491,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521795887,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-03-18T17:16:24.646Z,2023-03-19T06:00:45Z,4106632427,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521795937,3,1,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,50,50,2023-03-18T17:16:24.750Z,2023-03-19T06:10:03Z,4106632671,141,35.7,4106632677,279,S,4106632669,140,28.9,4108787113,178,,4106632675,213,3.6,4106632673,212,24.2,4106632667,56,Back,,,,92ajo8iiqwlmjwndtf7yt6l05,C. McGeehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521796069,4,1,1,0,3,2b57rbw94i9ohnbch52owvqtq,0,27.8,40.6,2023-03-18T17:16:28.125Z,2023-03-19T13:29:20Z,4106633409,56,Right,4108787143,178,,4106633419,1,,4106633411,140,65.9,4106633407,155,,4106633417,213,5.8,4106633415,212,44.8,4106633413,141,11.1,9ncn3cmp9hd451mjt54t8axn9,F. Katelaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521795983,3,49,1,0,7,2nhn3ikl1ciq34w3hcp883d6p,1,29.7,92.3,2023-03-18T17:16:31.965Z,2023-03-19T13:29:19Z,,,,,,,,,,,,,,,,,,,,,,,,,96xomdtz505yoaz35i5bb8f84,N. Dorgeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521795993,4,1,1,0,7,2nhn3ikl1ciq34w3hcp883d6p,1,29.7,92.3,2023-03-18T17:16:31.990Z,2023-03-19T13:29:19Z,4106632995,141,87.5,4106632993,140,24.6,4106632999,213,3.7,4108787369,178,,4106632997,212,6.3,4106632991,56,Back,,,,,,,96xomdtz505yoaz35i5bb8f84,N. Dorgeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521796027,5,1,1,0,8,2nhn3ikl1ciq34w3hcp883d6p,1,22.9,88.6,2023-03-18T17:16:33.610Z,2023-03-19T13:29:18Z,4108787463,178,,4106633177,213,0.5,4106633171,140,31.0,4106633173,141,94.8,4106633175,212,9.5,4106633169,56,Back,,,,,,,bjhjz96omjukrg6tj3mny39t6,M. De Cuyper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521796079,6,1,1,0,9,2nhn3ikl1ciq34w3hcp883d6p,1,27.7,99.6,2023-03-18T17:16:34.607Z,2023-03-19T13:29:18Z,4108787659,178,,4106633465,168,,4106633471,141,92.7,4106633467,56,Back,4106633469,140,35.1,4106633475,213,5.7,4106633473,212,9.1,,,,96xomdtz505yoaz35i5bb8f84,N. Dorgeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522201451,979,67,1,0,11,2nhn3ikl1ciq34w3hcp883d6p,1,33.2,97.5,2023-03-18T17:16:36.067Z,2023-03-19T13:29:17Z,4108850247,233,882,,,,,,,,,,,,,,,,,,,,,,f03fccqnepjczr841h0zqdeui,Y. Matsuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522201447,882,67,1,0,11,2b57rbw94i9ohnbch52owvqtq,0,66.8,2.5,2023-03-18T17:16:36.068Z,2023-03-19T13:29:17Z,4108850269,233,979,,,,,,,,,,,,,,,,,,,,,,ew1thxs8j5mwwqh075kzsjq0a,O. Urhoghide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
